Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Orlando Palmeiro LF,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.307,0.397,0.397,0.794,19.0,12.0,-0.086,0.77,0.0,-0.086,-0.07%,1.03,-1.1,2.0,0.0,
Kevin Stocker SS,5.0,1.0,1.0,0.0,0.0,1.0,5.0,0.245,0.361,0.348,0.709,18.0,11.0,-0.09,0.83,0.042,-0.132,-0.07%,1.12,-0.9,1.0,7.0,
Mo Vaughn 1B,4.0,1.0,1.0,0.0,0.0,2.0,5.0,0.286,0.376,0.534,0.91,20.0,12.0,-0.004,1.21,0.107,-0.111,-0.00%,1.62,0.4,19.0,0.0,HBP
Tim Salmon RF,4.0,0.0,2.0,1.0,1.0,1.0,5.0,0.295,0.408,0.564,0.972,21.0,12.0,0.095,1.33,0.155,-0.06,0.08%,1.78,0.8,2.0,0.0,
Garret Anderson CF,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.263,0.285,0.514,0.799,12.0,8.0,-0.213,1.64,0.06,-0.273,-0.17%,2.2,-0.6,2.0,0.0,"2B,GDP"
Troy Glaus 3B,2.0,2.0,1.0,0.0,3.0,0.0,5.0,0.282,0.4,0.599,0.999,22.0,7.0,0.243,1.36,0.261,-0.018,0.19%,1.82,1.6,0.0,5.0,"2B,IW"
Bengie Molina C,3.0,1.0,0.0,1.0,0.0,0.0,5.0,0.273,0.308,0.42,0.728,8.0,6.0,-0.096,1.6,0.029,-0.125,-0.08%,2.14,-2.1,4.0,1.0,"HBP,SH"
Adam Kennedy 2B,4.0,1.0,1.0,4.0,0.0,0.0,5.0,0.273,0.309,0.416,0.724,9.0,7.0,0.326,2.15,0.447,-0.121,0.26%,2.89,1.3,2.0,7.0,"HR,SH"
Ron Gant DH,5.0,0.0,1.0,0.0,0.0,2.0,5.0,0.247,0.319,0.49,0.808,17.0,12.0,0.023,0.61,0.075,-0.051,0.02%,0.83,-0.1,,,2B
,,,,,,,,,,,,,,,,,,,,,,,
Scott Schoeneweis P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Mark Petkovsek P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Mike Holtz P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Shigetoshi Hasegawa P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,37.0,6.0,8.0,6.0,4.0,7.0,45.0,0.216,0.326,0.378,0.704,146.0,87.0,0.198,1.28,1.176,-0.977,0.16%,1.71,-0.8,32.0,21.0,
