Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Rickey Henderson LF,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.24,0.373,0.308,0.68,13.0,9.0,-0.078,0.75,0.0,-0.078,-0.10%,1.59,-1.1,1.0,0.0,SH
Mike Cameron CF,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.257,0.351,0.431,0.783,5.0,4.0,-0.004,0.16,0.0,-0.004,-0.01%,0.34,-0.2,3.0,0.0,
Stan Javier CF-LF,3.0,2.0,2.0,1.0,2.0,0.0,5.0,0.281,0.356,0.401,0.757,19.0,9.0,0.087,0.72,0.107,-0.02,0.11%,1.53,1.3,3.0,0.0,2·2B
Alex Rodriguez SS,3.0,2.0,2.0,2.0,2.0,0.0,5.0,0.334,0.437,0.62,1.057,25.0,12.0,0.049,0.82,0.087,-0.038,0.06%,1.75,2.1,0.0,1.0,HR
Edgar Martinez DH,4.0,0.0,0.0,0.0,1.0,1.0,5.0,0.33,0.417,0.6,1.017,22.0,13.0,-0.077,1.03,0.028,-0.105,-0.10%,2.18,-1.3,,,
John Olerud 1B,4.0,0.0,1.0,2.0,0.0,0.0,4.0,0.28,0.395,0.438,0.833,12.0,10.0,0.043,1.17,0.162,-0.119,0.06%,2.48,0.1,8.0,1.0,"2B,GDP"
Jay Buhner RF,3.0,0.0,1.0,0.0,1.0,0.0,4.0,0.263,0.379,0.533,0.912,12.0,4.0,-0.002,0.65,0.029,-0.03,-0.00%,1.38,-0.1,2.0,0.0,
Charles Gipson RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,0.37,0.333,0.704,,,,,,,,,,3.0,0.0,
Carlos Guillen 3B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.264,0.328,0.383,0.711,18.0,13.0,-0.084,0.79,0.0,-0.084,-0.11%,1.67,-1.2,0.0,1.0,
Joe Oliver C,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.272,0.307,0.494,0.801,11.0,8.0,-0.059,0.52,0.0,-0.059,-0.07%,1.11,-0.8,6.0,0.0,
Mark McLemore 2B,4.0,1.0,3.0,0.0,0.0,0.0,4.0,0.242,0.353,0.309,0.661,8.0,7.0,0.077,0.69,0.129,-0.052,0.10%,1.47,0.8,0.0,3.0,"2·2B,SB,CS"
,,,,,,,,,,,,,,,,,,,,,,,
Paul Abbott P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Jose Paniagua P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,33.0,5.0,9.0,5.0,6.0,4.0,40.0,0.273,0.385,0.515,0.9,145.0,89.0,-0.048,0.78,0.542,-0.589,-0.06%,1.65,-0.5,27.0,6.0,
