Inning,Win Pct
1,0.5
2,0.48
3,0.46
4,0.47
5,0.45
6,0.47
7,0.43
8,0.47
9,0.38
10,0.36
11,0.4
12,0.38
13,0.4
14,0.37
15,0.35
16,0.37
17,0.38
18,0.39
19,0.37
20,0.35
21,0.33
22,0.36
23,0.33
24,0.3
25,0.26
26,0.33
27,0.38
28,0.43
29,0.39
30,0.32
31,0.34
32,0.36
33,0.37
34,0.34
35,0.31
36,0.3
37,0.32
38,0.34
39,0.32
40,0.21
41,0.2
42,0.23
43,0.28
44,0.23
45,0.19
46,0.16
47,0.18
48,0.15
49,0.17
50,0.19
51,0.25
52,0.2
53,0.15
54,0.12
55,0.13
56,0.14
57,0.13
58,0.07
59,0.08
60,0.05
61,0.08
62,0.05
63,0.03
64,0.03
65,0.03
66,0.03
67,0.04
68,0.02
69,0.04
70,0.01
71,0.0
