Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Johnny Damon RF,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.206,0.254,0.3,0.554,12.0,8.0,-0.045,0.45,0.0,-0.045,-0.02%,0.3,-1.0,0.0,1.0,
Mario Valdez LF,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.256,0.396,0.282,0.678,20.0,14.0,-0.016,0.29,0.008,-0.024,-0.01%,0.2,-0.0,1.0,0.0,
Jason Giambi 1B,4.0,1.0,1.0,3.0,0.0,1.0,4.0,0.339,0.5,0.636,1.136,10.0,7.0,0.014,0.41,0.046,-0.032,0.01%,0.27,1.7,9.0,0.0,HR
John Jaha DH,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.133,0.278,0.267,0.544,17.0,10.0,-0.042,0.54,0.0,-0.042,-0.02%,0.36,-0.6,,,
Frank Menechino PH-DH,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.267,0.396,0.558,0.954,6.0,3.0,-0.001,0.03,0.0,-0.001,0%,0.02,-0.2,,,
Terrence Long CF,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.297,0.354,0.469,0.823,12.0,9.0,0.015,0.25,0.029,-0.014,0.01%,0.17,0.1,2.0,0.0,2B
Miguel Tejada SS,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.246,0.329,0.514,0.844,11.0,7.0,-0.044,0.55,0.0,-0.044,-0.02%,0.37,-0.9,2.0,4.0,
Eric Chavez 3B,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.259,0.331,0.474,0.805,10.0,5.0,-0.001,0.44,0.012,-0.012,0%,0.3,-0.2,1.0,2.0,
Mark Bellhorn 2B,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.222,0.333,0.389,0.722,13.0,9.0,-0.043,0.5,0.0,-0.043,-0.02%,0.34,-0.8,2.0,3.0,
Sal Fasano C,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.056,0.105,0.056,0.161,9.0,6.0,-0.015,0.37,0.008,-0.023,-0.01%,0.25,-0.1,7.0,0.0,HBP
,,,,,,,,,,,,,,,,,,,,,,,
Gil Heredia P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
T.J. Mathews P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Chad Bradford P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Team Totals,30.0,3.0,3.0,3.0,1.0,14.0,32.0,0.1,0.156,0.233,0.39,120.0,78.0,-0.178,0.4,0.103,-0.28,-0.07%,0.27,-2.0,24.0,11.0,
