Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Roger Cedeno RF,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.263,0.329,0.346,0.675,15.0,9.0,-0.019,0.54,0.024,-0.043,-0.00%,0.14,-0.6,3.0,0.0,
Damion Easley 2B,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.266,0.35,0.422,0.772,12.0,8.0,-0.026,0.57,0.02,-0.046,-0.00%,0.15,-0.4,3.0,2.0,HBP
Bobby Higginson LF,3.0,0.0,1.0,0.0,1.0,0.0,4.0,0.295,0.415,0.481,0.895,15.0,7.0,0.003,0.56,0.048,-0.045,0%,0.15,0.1,1.0,0.0,CS
Ryan Jackson 1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,0.31,0.352,0.662,,,,,,,,,,1.0,0.0,
Tony Clark 1B,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.291,0.383,0.478,0.861,16.0,9.0,-0.017,0.75,0.037,-0.054,-0.00%,0.2,-0.6,5.0,0.0,
Wendell Magee LF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313,0.39,0.567,0.957,,,,,,,,,,1.0,0.0,
Dean Palmer DH,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.242,0.335,0.439,0.775,15.0,9.0,-0.072,0.78,0.002,-0.073,-0.01%,0.2,-0.7,,,
Robert Fick C,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.328,0.372,0.588,0.96,11.0,7.0,0.007,0.58,0.037,-0.03,0.00%,0.15,-1.0,5.0,0.0,GDP
Deivi Cruz SS,3.0,0.0,2.0,1.0,0.0,0.0,3.0,0.248,0.271,0.367,0.637,7.0,5.0,0.099,0.96,0.112,-0.013,0.01%,0.25,1.1,2.0,3.0,
Jose Macias 3B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.335,0.437,0.772,2.0,1.0,0.0,0.0,0.0,0.0,0%,0.0,-0.1,0.0,0.0,
Shane Halter 3B-SS,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.244,0.298,0.321,0.618,13.0,9.0,-0.108,0.95,0.0,-0.108,-0.02%,0.25,-1.5,1.0,2.0,
Juan Encarnacion CF,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.258,0.318,0.439,0.757,11.0,3.0,-0.027,0.52,0.007,-0.034,-0.00%,0.13,-0.3,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Victor Santos P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Kevin Tolar P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Todd Jones P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
C.J. Nitkowski P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,29.0,1.0,5.0,1.0,4.0,5.0,34.0,0.172,0.294,0.172,0.467,117.0,67.0,-0.16,0.66,0.287,-0.446,-0.03%,0.17,-4.0,24.0,8.0,
