Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Doug Glanville CF,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.27,0.294,0.427,0.721,18.0,12.0,-0.089,1.62,0.091,-0.179,-0.07%,1.96,0.1,3.0,0.0,SB
Jimmy Rollins SS,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.274,0.315,0.401,0.716,14.0,7.0,-0.022,1.53,0.097,-0.119,-0.02%,1.86,0.1,0.0,2.0,2B
Bobby Abreu RF,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.264,0.37,0.5,0.87,20.0,12.0,-0.149,1.21,0.0,-0.149,-0.11%,1.47,-1.4,1.0,0.0,
Scott Rolen 3B,4.0,0.0,2.0,0.0,0.0,1.0,4.0,0.28,0.365,0.445,0.81,18.0,13.0,0.002,1.31,0.112,-0.11,0.00%,1.59,-0.4,1.0,2.0,SB
Travis Lee 1B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.245,0.368,0.432,0.8,15.0,11.0,-0.187,1.7,0.0,-0.187,-0.14%,2.06,-1.6,5.0,2.0,
Pat Burrell LF,4.0,2.0,3.0,1.0,0.0,0.0,4.0,0.306,0.386,0.5,0.886,12.0,7.0,0.169,1.34,0.225,-0.057,0.12%,1.62,1.4,1.0,1.0,HR
Eric Valent DH,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.25,0.25,0.25,0.5,16.0,10.0,0.009,1.76,0.122,-0.112,0.01%,2.13,-0.3,,,
Gary Bennett C,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.214,0.292,0.262,0.554,11.0,6.0,-0.062,1.11,0.0,-0.062,-0.04%,1.34,-0.6,7.0,0.0,
Brian Hunter PH,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.278,0.422,0.361,0.783,7.0,3.0,0.059,1.38,0.059,0.0,0.04%,1.67,0.4,,,
Johnny Estrada C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.259,0.29,0.379,0.67,1.0,1.0,-0.039,4.4,0.0,-0.039,-0.03%,5.34,-0.1,1.0,0.0,SH
Marlon Anderson 2B,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.238,0.302,0.378,0.68,8.0,7.0,-0.206,1.98,0.051,-0.257,-0.15%,2.4,-0.7,3.0,2.0,"SF,GDP"
,,,,,,,,,,,,,,,,,,,,,,,
Randy Wolf P,,,,,,,,,,,,,,,,,,,,,2.0,1.0,
Team Totals,34.0,2.0,9.0,2.0,1.0,9.0,37.0,0.265,0.278,0.382,0.66,140.0,89.0,-0.515,1.58,0.757,-1.271,-0.37%,1.92,-3.0,24.0,10.0,
