Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Luis Castillo 2B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.236,0.333,0.321,0.654,15.0,9.0,-0.102,0.96,0.0,-0.102,-0.05%,0.82,-0.9,0.0,3.0,
Eric Owens CF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.233,0.297,0.329,0.626,18.0,12.0,-0.073,0.7,0.0,-0.073,-0.04%,0.6,-0.7,5.0,1.0,
Cliff Floyd LF,4.0,1.0,1.0,0.0,0.0,0.0,4.0,0.326,0.414,0.613,1.027,10.0,7.0,-0.029,0.82,0.031,-0.06,-0.01%,0.7,-0.3,1.0,0.0,SB
Mike Lowell 3B,3.0,1.0,1.0,1.0,1.0,0.0,4.0,0.309,0.363,0.555,0.918,18.0,8.0,0.168,0.95,0.195,-0.027,0.09%,0.81,1.9,0.0,1.0,HR
Kevin Millar DH,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.325,0.347,0.538,0.886,13.0,9.0,-0.077,1.02,0.021,-0.098,-0.04%,0.88,-0.6,,,
Charles Johnson C,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.293,0.367,0.556,0.922,11.0,7.0,-0.072,1.02,0.023,-0.095,-0.04%,0.87,-0.5,7.0,0.0,HBP
Derrek Lee 1B,4.0,1.0,1.0,2.0,0.0,1.0,4.0,0.218,0.283,0.374,0.658,16.0,11.0,0.071,1.06,0.153,-0.083,0.04%,0.91,1.1,6.0,1.0,HR
Ryan McGuire RF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.209,0.255,0.326,0.581,11.0,5.0,-0.064,0.61,0.0,-0.064,-0.03%,0.53,-0.6,3.0,0.0,
Alex Gonzalez SS,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.254,0.333,0.378,0.711,13.0,7.0,-0.047,0.79,0.008,-0.055,-0.02%,0.67,-0.2,1.0,3.0,
,,,,,,,,,,,,,,,,,,,,,,,
Chuck Smith P,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Armando Almanza P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Vladimir Núñez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,33.0,4.0,5.0,3.0,1.0,2.0,35.0,0.152,0.2,0.333,0.533,125.0,75.0,-0.225,0.88,0.431,-0.657,-0.12%,0.76,-1.0,24.0,10.0,
