Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Quilvio Veras 2B,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.253,0.329,0.361,0.69,8.0,8.0,-0.064,1.23,0.082,-0.147,-0.06%,1.97,-0.4,1.0,2.0,"3B,GDP"
B.J. Surhoff LF,3.0,0.0,2.0,1.0,1.0,0.0,4.0,0.278,0.335,0.415,0.75,15.0,8.0,0.125,0.89,0.141,-0.016,0.12%,1.42,0.9,1.0,0.0,2B
Andruw Jones CF,3.0,0.0,1.0,0.0,1.0,2.0,4.0,0.276,0.333,0.488,0.822,19.0,10.0,0.002,1.35,0.086,-0.085,0.00%,2.16,-0.1,4.0,0.0,SB
Ken Caminiti 3B,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.24,0.324,0.432,0.756,14.0,7.0,-0.102,1.77,0.019,-0.121,-0.10%,2.83,-0.7,0.0,2.0,
Brian Jordan DH,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.275,0.321,0.451,0.772,16.0,11.0,-0.222,1.89,0.0,-0.222,-0.21%,3.03,-1.7,,,
Dave Martinez RF,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.328,0.384,0.425,0.809,9.0,6.0,-0.021,1.11,0.059,-0.08,-0.02%,1.77,-0.2,2.0,0.0,
Javy Lopez C,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.25,0.304,0.392,0.696,16.0,9.0,-0.116,1.3,0.052,-0.168,-0.11%,2.09,-1.0,7.0,0.0,GDP
Jesse Garcia PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.009,2.19,0.009,0.0,0.01%,3.51,0.2,,,SB
Rico Brogna 1B,4.0,0.0,2.0,0.0,0.0,2.0,4.0,0.249,0.3,0.338,0.638,17.0,10.0,-0.076,0.97,0.033,-0.109,-0.07%,1.56,-0.5,7.0,0.0,CS
Mark DeRosa SS,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.404,0.473,0.447,0.92,8.0,6.0,-0.011,0.92,0.039,-0.05,-0.01%,1.47,0.0,2.0,4.0,
Chipper Jones PH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31,0.419,0.623,1.042,2.0,1.0,-0.04,1.36,0.0,-0.04,-0.04%,2.18,-0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,
Jason Marquis P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Kerry Ligtenberg P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,33.0,1.0,9.0,1.0,3.0,7.0,36.0,0.273,0.333,0.364,0.697,124.0,76.0,-0.516,1.3,0.52,-1.038,-0.50%,2.08,-4.0,24.0,9.0,
