Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Craig Counsell 3B,4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.285,0.355,0.362,0.717,16.0,11.0,0.082,0.76,0.116,-0.034,0.07%,1.03,0.8,2.0,4.0,HBP
David Dellucci RF,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.27,0.372,0.514,0.886,8.0,6.0,0.032,1.32,0.1,-0.068,0.03%,1.77,0.4,0.0,0.0,
Jose Guillen PH-RF,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.24,0.286,0.385,0.67,6.0,3.0,-0.024,0.42,0.0,-0.024,-0.02%,0.56,-0.6,0.0,0.0,
Luis Gonzalez LF,5.0,1.0,2.0,2.0,0.0,0.0,5.0,0.303,0.421,0.548,0.968,18.0,11.0,0.107,0.66,0.141,-0.034,0.09%,0.89,1.0,2.0,0.0,"HR,2B"
Erubiel Durazo DH,5.0,1.0,2.0,1.0,0.0,1.0,5.0,0.278,0.4,0.704,1.104,22.0,13.0,-0.048,0.74,0.053,-0.101,-0.04%,1.0,-0.1,,,"HR,CS"
Junior Spivey 2B,5.0,2.0,2.0,1.0,0.0,2.0,5.0,0.324,0.427,0.574,1.001,17.0,12.0,0.069,0.61,0.118,-0.049,0.06%,0.82,0.8,2.0,2.0,"HR,2B"
Steve Finley CF,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.266,0.376,0.5,0.876,19.0,8.0,-0.014,0.76,0.028,-0.042,-0.01%,1.02,-0.3,6.0,0.0,
Mark Grace 1B,3.0,0.0,1.0,1.0,0.0,1.0,3.0,0.255,0.355,0.409,0.764,15.0,8.0,0.015,1.18,0.07,-0.055,0.01%,1.59,-0.0,4.0,1.0,2B
Greg Colbrunn 1B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.308,0.37,0.523,0.893,6.0,4.0,-0.004,0.17,0.0,-0.004,-0.00%,0.23,-0.3,2.0,0.0,
Damian Miller C,3.0,1.0,1.0,1.0,1.0,0.0,4.0,0.281,0.361,0.513,0.874,14.0,5.0,0.007,0.64,0.041,-0.034,0.01%,0.86,0.8,6.0,0.0,HR
Tony Womack SS,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.255,0.313,0.336,0.649,10.0,8.0,-0.038,0.69,0.019,-0.057,-0.03%,0.93,-0.6,2.0,0.0,SB
,,,,,,,,,,,,,,,,,,,,,,,
Rick Helling P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Mike Koplove P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Byung-Hyun Kim P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,38.0,7.0,12.0,7.0,2.0,5.0,41.0,0.316,0.366,0.711,1.076,151.0,89.0,0.184,0.73,0.686,-0.502,0.15%,0.98,2.0,27.0,7.0,
