Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Mark Little CF-LF,4.0,1.0,0.0,0.0,0.0,1.0,5.0,0.167,0.286,0.278,0.563,16.0,11.0,0.021,1.13,0.097,-0.076,0.01%,0.64,-0.3,0.0,0.0,HBP
Terry Shumpert SS-3B,4.0,1.0,0.0,0.0,1.0,1.0,5.0,0.25,0.336,0.39,0.726,15.0,9.0,0.035,1.23,0.115,-0.08,0.01%,0.69,-0.0,0.0,4.0,
Larry Walker DH,4.0,0.0,1.0,2.0,0.0,1.0,4.0,0.308,0.401,0.544,0.944,12.0,8.0,0.101,1.16,0.15,-0.049,0.03%,0.65,1.2,,,2B
Todd Helton 1B,3.0,0.0,2.0,0.0,1.0,0.0,4.0,0.348,0.44,0.652,1.093,13.0,6.0,0.087,0.83,0.112,-0.024,0.03%,0.47,1.0,13.0,3.0,"2·2B,IW"
Greg Norton 3B,3.0,0.0,1.0,1.0,0.0,1.0,4.0,0.186,0.266,0.386,0.652,17.0,12.0,-0.064,1.18,0.039,-0.103,-0.02%,0.66,-0.5,0.0,2.0,SF
Juan Uribe SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.307,0.335,0.641,,,,,,,,,,0.0,0.0,
Todd Hollandsworth RF,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.285,0.332,0.473,0.805,9.0,7.0,-0.02,1.18,0.084,-0.104,-0.01%,0.67,-0.5,3.0,0.0,2B
Benny Agbayani LF,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.224,0.272,0.365,0.636,11.0,5.0,-0.064,1.42,0.012,-0.076,-0.02%,0.8,-0.4,0.0,0.0,
Juan Pierre CF,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.268,0.318,0.313,0.631,2.0,2.0,-0.02,0.67,0.0,-0.02,-0.01%,0.38,-0.6,0.0,0.0,
Bobby Estalella C,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.234,0.326,0.584,0.91,12.0,8.0,-0.137,1.21,0.0,-0.137,-0.05%,0.68,-1.5,7.0,0.0,
Jose Ortiz 2B,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.239,0.306,0.303,0.61,17.0,11.0,-0.022,1.48,0.077,-0.099,-0.01%,0.83,-0.3,2.0,5.0,
,,,,,,,,,,,,,,,,,,,,,,,
Jason Jennings P,,,,,,,,,,,,,,,,,,,,,2.0,0.0,
Todd Jones P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Jose Jimenez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,32.0,3.0,6.0,3.0,4.0,7.0,38.0,0.188,0.289,0.313,0.602,124.0,79.0,-0.083,1.18,0.686,-0.768,-0.03%,0.66,-2.0,27.0,14.0,
