Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Todd Hollandsworth CF,5.0,1.0,2.0,1.0,0.0,0.0,5.0,0.297,0.353,0.502,0.854,14.0,9.0,0.415,1.68,0.509,-0.093,0%,0.0,1.3,1.0,0.0,"HR,2B"
Kevin Mench LF,4.0,0.0,2.0,1.0,0.0,2.0,5.0,0.282,0.352,0.524,0.877,30.0,21.0,-0.035,1.29,0.049,-0.084,0%,0.0,-0.1,4.0,0.0,"2B,SF"
Alex Rodriguez SS,4.0,0.0,0.0,0.0,1.0,2.0,5.0,0.321,0.407,0.654,1.061,19.0,12.0,-0.184,1.44,0.034,-0.219,0%,0.0,-0.9,4.0,2.0,
Rafael Palmeiro 1B,3.0,0.0,1.0,0.0,2.0,0.0,5.0,0.274,0.388,0.59,0.978,21.0,11.0,-0.036,1.47,0.087,-0.123,0%,0.0,0.3,9.0,2.0,
Ivan Rodriguez C,5.0,1.0,1.0,1.0,0.0,0.0,5.0,0.296,0.336,0.496,0.832,19.0,13.0,0.101,1.64,0.325,-0.223,0%,0.0,-1.3,8.0,1.0,"HR,GDP"
Carl Everett RF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.232,0.297,0.411,0.708,13.0,8.0,-0.138,1.3,0.0,-0.138,0%,0.0,-0.9,2.0,0.0,
Herbert Perry 3B,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.26,0.315,0.439,0.754,14.0,8.0,-0.021,1.29,0.07,-0.091,0%,0.0,0.0,1.0,1.0,
Travis Hafner DH,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.238,0.304,0.405,0.709,21.0,11.0,-0.042,1.1,0.033,-0.075,0%,0.0,-0.5,,,
Ruben Rivera PR-DH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,0.29,0.359,0.649,,,0.038,2.41,0.038,0.0,0%,0.0,0.1,,,SB
Michael Young 2B,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.259,0.306,0.376,0.682,12.0,8.0,-0.002,1.4,0.068,-0.07,0%,0.0,-0.2,0.0,4.0,
Mike Lamb PH,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.288,0.336,0.408,0.744,5.0,3.0,-0.108,3.69,0.0,-0.108,0%,0.0,-0.3,,,
Donnie Sadler 2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.218,0.219,0.437,,,,,,,,,,1.0,1.0,
,,,,,,,,,,,,,,,,,,,,,,,
Joaquín Benoit P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Juan Alvarez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Jay Powell P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Danny Kolb P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Rich Rodriguez P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Francisco Cordero P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,36.0,3.0,7.0,3.0,4.0,7.0,41.0,0.194,0.268,0.417,0.685,168.0,104.0,-0.012,1.49,1.213,-1.224,0.00%,0.0,-2.6,30.0,12.0,
