Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Carl Crawford LF,5.0,1.0,1.0,0.0,0.0,0.0,5.0,0.26,0.27,0.315,0.585,13.0,8.0,0.0,0.74,0.062,-0.062,0%,0.69,0.0,2.0,0.0,"2B,SB"
Rocco Baldelli CF,5.0,0.0,1.0,1.0,0.0,2.0,5.0,0.407,0.419,0.559,0.979,25.0,13.0,0.129,0.77,0.167,-0.038,0.07%,0.72,1.1,2.0,0.0,
Aubrey Huff 1B,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.276,0.364,0.448,0.812,19.0,10.0,-0.095,0.84,0.018,-0.113,-0.05%,0.79,-1.3,8.0,0.0,GDP
Ben Grieve DH,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.263,0.388,0.289,0.677,11.0,8.0,0.013,0.88,0.058,-0.045,0.01%,0.82,-0.0,,,
Al Martin RF,3.0,0.0,1.0,1.0,0.0,1.0,3.0,0.344,0.417,0.406,0.823,10.0,7.0,0.045,1.14,0.091,-0.046,0.03%,1.06,0.5,3.0,0.0,
Damian Rolls RF,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.286,0.4,0.286,0.686,1.0,1.0,-0.015,0.57,0.0,-0.015,-0.01%,0.53,-0.3,0.0,0.0,
Marlon Anderson 2B,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.289,0.333,0.368,0.702,13.0,9.0,-0.043,0.92,0.049,-0.092,-0.02%,0.85,-0.4,2.0,4.0,SB
Damion Easley 3B,4.0,1.0,1.0,0.0,0.0,0.0,4.0,0.229,0.25,0.314,0.564,10.0,7.0,-0.052,0.82,0.033,-0.084,-0.03%,0.77,-0.6,1.0,0.0,
Toby Hall C,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.214,0.277,0.333,0.61,16.0,11.0,-0.097,0.92,0.0,-0.097,-0.05%,0.86,-1.2,4.0,1.0,
Rey Ordóñez SS,4.0,1.0,1.0,2.0,0.0,0.0,4.0,0.315,0.321,0.5,0.821,11.0,7.0,0.067,1.06,0.151,-0.084,0.04%,0.99,1.0,2.0,5.0,HR
,,,,,,,,,,,,,,,,,,,,,,,
Steve Parris P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Travis Harper P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Lance Carter P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,36.0,4.0,7.0,4.0,2.0,5.0,38.0,0.194,0.237,0.306,0.542,129.0,81.0,-0.048,0.88,0.629,-0.676,-0.03%,0.82,-1.2,24.0,10.0,
