Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Miguel Cairo 2B,5.0,1.0,1.0,0.0,0.0,1.0,5.0,0.254,0.296,0.369,0.665,25.0,18.0,-0.021,0.77,0.051,-0.072,-0.01%,0.92,-0.6,3.0,4.0,
J.D. Drew RF,4.0,2.0,1.0,3.0,1.0,1.0,5.0,0.339,0.379,0.606,0.985,21.0,13.0,0.277,1.1,0.338,-0.061,0.20%,1.31,2.0,4.0,0.0,HR
Albert Pujols DH,5.0,1.0,2.0,2.0,0.0,0.0,5.0,0.389,0.447,0.727,1.174,19.0,11.0,0.043,0.97,0.136,-0.094,0.03%,1.15,1.3,,,HR
Jim Edmonds CF,5.0,2.0,2.0,0.0,0.0,0.0,5.0,0.303,0.401,0.636,1.037,15.0,9.0,0.111,0.84,0.154,-0.043,0.08%,1.0,0.6,2.0,0.0,2·2B
Kerry Robinson CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.227,0.19,0.418,,,,,,,,,,0.0,0.0,
Scott Rolen 3B,5.0,1.0,2.0,1.0,0.0,1.0,5.0,0.299,0.407,0.558,0.965,22.0,13.0,0.221,1.26,0.297,-0.075,0.16%,1.5,0.7,0.0,3.0,2B
Edgar Renteria SS,5.0,1.0,3.0,1.0,0.0,2.0,5.0,0.336,0.384,0.5,0.884,15.0,10.0,0.053,0.73,0.1,-0.047,0.04%,0.87,0.9,0.0,6.0,2B
Tino Martinez 1B,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.265,0.323,0.415,0.738,10.0,5.0,-0.036,0.75,0.016,-0.052,-0.03%,0.89,-1.1,8.0,0.0,GDP
Eduardo Perez 1B,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.321,0.404,0.5,0.904,5.0,2.0,0.101,1.1,0.101,0.0,0.07%,1.31,1.0,4.0,0.0,
Mike Matheny C,5.0,0.0,1.0,0.0,0.0,1.0,5.0,0.277,0.332,0.364,0.696,22.0,14.0,-0.102,0.99,0.022,-0.123,-0.07%,1.18,-1.1,4.0,0.0,
Orlando Palmeiro LF,3.0,1.0,1.0,1.0,1.0,0.0,4.0,0.277,0.367,0.361,0.728,24.0,13.0,0.03,1.21,0.106,-0.076,0.02%,1.45,0.1,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Woody Williams P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Jeff Fassero P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Kiko Calero P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Steve Kline P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Cal Eldred P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,41.0,9.0,14.0,9.0,3.0,6.0,44.0,0.341,0.386,0.585,0.972,178.0,108.0,0.677,0.96,1.321,-0.643,0.48%,1.14,3.8,27.0,13.0,
