Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Craig Biggio CF,5.0,0.0,1.0,0.0,0.0,1.0,5.0,0.274,0.347,0.441,0.787,14.0,11.0,-0.074,1.42,0.068,-0.141,-0.06%,1.95,-0.6,4.0,0.0,
Morgan Ensberg 3B,5.0,1.0,1.0,1.0,0.0,0.0,5.0,0.328,0.432,0.672,1.104,15.0,9.0,0.018,1.3,0.13,-0.113,0.01%,1.79,0.3,0.0,4.0,HR
Jeff Bagwell 1B,4.0,0.0,1.0,0.0,0.0,3.0,4.0,0.28,0.358,0.46,0.818,22.0,12.0,-0.082,1.02,0.021,-0.103,-0.07%,1.41,-0.5,4.0,1.0,2B
Jeff Kent 2B,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.321,0.384,0.533,0.917,11.0,7.0,0.036,1.24,0.066,-0.03,0.03%,1.71,0.3,1.0,1.0,
Lance Berkman LF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.288,0.402,0.507,0.908,14.0,9.0,-0.2,1.75,0.0,-0.2,-0.17%,2.4,-1.5,1.0,0.0,
Richard Hidalgo RF,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.31,0.402,0.523,0.925,8.0,7.0,-0.102,1.24,0.016,-0.118,-0.08%,1.71,-0.7,1.0,1.0,
Orlando Merced DH,4.0,1.0,2.0,1.0,0.0,1.0,4.0,0.261,0.311,0.414,0.726,22.0,14.0,0.104,1.08,0.164,-0.06,0.09%,1.48,1.0,,,2B
Brad Ausmus C,3.0,0.0,2.0,1.0,0.0,0.0,3.0,0.213,0.278,0.293,0.57,10.0,6.0,0.087,1.19,0.131,-0.044,0.07%,1.64,0.8,8.0,1.0,
Gregg Zaun PH-C,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.269,0.342,0.358,0.7,2.0,2.0,-0.029,1.07,0.0,-0.029,-0.02%,1.47,-0.1,1.0,0.0,
Adam Everett SS,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.245,0.291,0.373,0.663,14.0,10.0,-0.098,1.11,0.0,-0.098,-0.08%,1.52,-0.9,3.0,1.0,
Jose Vizcaino PH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.252,0.282,0.351,0.633,2.0,2.0,-0.079,2.96,0.0,-0.079,-0.07%,4.07,-0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Johnson P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Ricky Stone P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Nate Bland P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Peter Munro P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,38.0,3.0,9.0,3.0,0.0,6.0,38.0,0.237,0.237,0.368,0.605,134.0,89.0,-0.419,1.31,0.596,-1.015,-0.35%,1.81,-2.2,24.0,9.0,
