Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Brian Roberts 2B,4.0,0.0,2.0,1.0,0.0,0.0,5.0,0.279,0.344,0.379,0.722,21.0,13.0,-0.111,1.49,0.049,-0.16,0%,0.0,-0.6,3.0,4.0,"CS,SF"
Luis Matos CF,4.0,1.0,1.0,1.0,0.0,1.0,4.0,0.309,0.359,0.466,0.825,17.0,12.0,0.042,0.7,0.09,-0.049,0%,0.0,0.9,0.0,0.0,HR
Tim Raines Jr. PH-CF,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.167,0.2,0.367,2.0,2.0,-0.107,4.01,0.0,-0.107,0%,0.0,-0.5,1.0,0.0,
Larry Bigbie LF,5.0,0.0,1.0,0.0,0.0,3.0,5.0,0.314,0.374,0.483,0.856,22.0,16.0,-0.056,0.86,0.041,-0.097,0%,0.0,-0.5,1.0,0.0,
Jay Gibbons RF,5.0,1.0,2.0,0.0,0.0,0.0,5.0,0.279,0.334,0.465,0.799,16.0,13.0,-0.044,1.21,0.079,-0.123,0%,0.0,-0.4,3.0,0.0,
Tony Batista 3B,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.234,0.27,0.395,0.665,20.0,11.0,-0.125,1.09,0.0,-0.125,0%,0.0,-1.3,1.0,3.0,
B.J. Surhoff 1B,4.0,1.0,2.0,1.0,0.0,0.0,4.0,0.296,0.355,0.409,0.764,13.0,9.0,0.067,0.91,0.115,-0.047,0%,0.0,0.8,7.0,0.0,2B
Deivi Cruz SS,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.254,0.273,0.385,0.658,17.0,10.0,0.004,0.94,0.069,-0.064,0%,0.0,0.0,2.0,3.0,3B
Jack Cust DH,3.0,1.0,2.0,1.0,1.0,0.0,4.0,0.216,0.333,0.529,0.863,9.0,5.0,0.11,1.33,0.146,-0.036,0%,0.0,1.5,,,HR
Jose Morban PR-DH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149,0.197,0.239,0.436,,,,,,,,,,,,
Brook Fordyce C,4.0,0.0,1.0,1.0,0.0,0.0,4.0,0.279,0.314,0.382,0.696,18.0,13.0,0.027,1.79,0.117,-0.09,0%,0.0,-0.1,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Jason Johnson P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Buddy Groom P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Kerry Ligtenberg P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
B.J. Ryan P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,39.0,5.0,13.0,5.0,1.0,4.0,41.0,0.333,0.341,0.564,0.906,155.0,104.0,-0.193,1.23,0.706,-0.898,0.00%,0.0,-0.2,24.0,12.0,
