Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
Pedro Martinez,5.0,8,7,7,4,3,2,4.82,26,103,61,35,7,19,10,9,2,0,22.0,,,-0.397,1.01,-0.28%,1.18,-4.0
Mark Malaska,1.0,0,0,0,2,1,0,0.0,5,22,13,5,1,7,1,1,0,0,,0.0,0.0,0.081,1.35,0.06%,1.58,0.6
Scott Williamson,1.0,0,0,0,1,1,0,0.0,5,21,13,6,5,2,1,2,0,0,,0.0,0.0,0.095,2.29,0.07%,2.68,0.6
Mike Timlin,0.2,1,0,0,0,0,0,13.5,3,6,4,3,0,1,2,1,1,0,,0.0,0.0,0.026,2.38,0.02%,2.79,0.2
Keith Foulke,1.1,1,0,0,0,0,0,0.0,5,22,13,6,1,6,2,3,1,0,,1.0,0.0,0.248,2.53,0.17%,2.96,1.0
Alan Embree,1.0,0,0,0,0,1,0,4.15,3,18,12,8,1,3,1,1,0,0,,0.0,0.0,0.156,1.95,0.11%,2.28,0.6
"Bronson Arroyo, L (0-1)",0.1,3,5,2,1,0,1,8.53,6,25,16,12,1,3,2,3,2,0,,0.0,0.0,-0.446,1.12,-0.31%,1.3,-3.1
Phil Seibel,0.0,0,0,0,1,0,0,,2,7,2,2,0,0,1,0,0,0,,3.0,2.0,-0.043,0.66,-0.03%,0.77,-2.0
Frank Castillo,0.2,1,0,0,0,0,0,0.0,2,11,7,5,0,2,1,1,1,0,,3.0,1.0,-0.001,0.19,-0.00%,0.23,0.7
Team Totals,11.0,14,12,9,9,6,3,7.36,57,235,141,82,16,43,21,21,7,0,22.0,7.0,3.0,-0.281,1.39,-0.20%,1.63,-5.5
