Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Angel Berroa SS,5.0,2.0,2.0,0.0,0.0,1.0,5.0,0.23,0.254,0.311,0.565,15.0,12.0,0.057,0.83,0.103,-0.046,0.01%,0.35,0.3,0.0,2.0,SB
Carlos Beltrán CF,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.308,0.413,0.644,1.057,15.0,11.0,-0.043,0.87,0.034,-0.077,-0.01%,0.36,-0.6,2.0,0.0,"SB,CS"
Mike Sweeney DH,4.0,1.0,1.0,1.0,1.0,0.0,5.0,0.28,0.327,0.452,0.778,17.0,9.0,0.087,0.85,0.1,-0.013,0.02%,0.35,0.5,,,
Juan Gonzalez RF,4.0,1.0,2.0,1.0,0.0,0.0,4.0,0.283,0.33,0.446,0.776,12.0,7.0,0.089,1.04,0.105,-0.016,0.02%,0.43,0.8,4.0,0.0,
Matt Stairs LF,3.0,1.0,1.0,1.0,0.0,0.0,4.0,0.302,0.392,0.524,0.916,8.0,6.0,0.059,1.3,0.142,-0.082,0.01%,0.55,0.5,3.0,0.0,"2B,HBP"
Joe Randa 3B,4.0,0.0,1.0,1.0,0.0,0.0,4.0,0.287,0.358,0.404,0.762,14.0,8.0,0.033,0.78,0.086,-0.053,0.01%,0.33,0.5,0.0,3.0,
Ken Harvey 1B,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.353,0.411,0.482,0.893,18.0,9.0,0.021,0.47,0.037,-0.016,0.01%,0.2,0.1,8.0,0.0,HBP
Benito Santiago C,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.241,0.268,0.367,0.635,7.0,6.0,-0.101,0.8,0.0,-0.101,-0.03%,0.34,-1.8,6.0,0.0,GDP
Desi Relaford 2B,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.219,0.219,0.281,0.5,16.0,10.0,0.055,0.76,0.097,-0.041,0.01%,0.32,0.3,3.0,3.0,
,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Affeldt P,,,,,,,,,,,,,,,,,,,,,0.0,2.0,
Jason Grimsley P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Mike MacDougal P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Scott Sullivan P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,35.0,6.0,9.0,4.0,2.0,4.0,39.0,0.257,0.333,0.286,0.619,122.0,78.0,0.257,0.85,0.704,-0.445,0.06%,0.36,0.6,26.0,10.0,
