Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Matt Lawton LF,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.304,0.349,0.474,0.823,18.0,12.0,-0.082,0.77,0.0,-0.082,-0.04%,0.59,-0.9,2.0,0.0,
Omar Vizquel SS,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.294,0.359,0.405,0.764,10.0,7.0,-0.03,1.16,0.053,-0.083,-0.01%,0.89,0.1,1.0,2.0,SB
Jody Gerut RF,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.286,0.384,0.46,0.844,24.0,11.0,0.005,1.26,0.068,-0.062,0.00%,0.97,0.5,3.0,0.0,
Victor Martinez C,4.0,1.0,2.0,3.0,0.0,1.0,4.0,0.262,0.342,0.495,0.837,10.0,7.0,0.317,1.36,0.391,-0.074,0.15%,1.04,1.5,3.0,1.0,"HR,2B"
Travis Hafner DH,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.29,0.39,0.52,0.91,20.0,15.0,-0.099,0.89,0.0,-0.099,-0.04%,0.69,-1.1,,,
Ronnie Belliard 2B,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.374,0.462,0.472,0.933,18.0,9.0,-0.078,1.03,0.008,-0.086,-0.04%,0.8,-0.5,3.0,3.0,
Ben Broussard 1B,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.289,0.386,0.408,0.794,16.0,11.0,-0.092,0.85,0.0,-0.092,-0.04%,0.66,-0.9,9.0,0.0,
Lou Merloni 3B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.246,0.306,0.316,0.622,14.0,10.0,-0.101,0.93,0.0,-0.101,-0.05%,0.71,-0.9,0.0,3.0,
Coco Crisp CF,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.217,0.27,0.304,0.575,10.0,6.0,-0.03,0.81,0.02,-0.05,-0.01%,0.62,-0.1,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
CC Sabathia P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Jose Jimenez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Scott Stewart P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,33.0,3.0,6.0,3.0,2.0,13.0,35.0,0.182,0.229,0.303,0.532,140.0,88.0,-0.19,1.02,0.54,-0.729,-0.09%,0.78,-2.4,24.0,10.0,
