Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Sean Burroughs 3B,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.316,0.353,0.378,0.731,14.0,13.0,-0.097,0.73,0.0,-0.097,-0.08%,0.97,-1.4,1.0,0.0,
Mark Loretta 2B,5.0,2.0,3.0,0.0,0.0,1.0,5.0,0.312,0.364,0.442,0.806,15.0,11.0,0.039,0.51,0.057,-0.018,0.03%,0.67,0.4,0.0,6.0,2B
Brian Giles RF,3.0,1.0,2.0,1.0,2.0,0.0,5.0,0.282,0.387,0.481,0.868,28.0,12.0,0.263,0.76,0.275,-0.012,0.21%,1.01,2.3,1.0,0.0,
Phil Nevin 1B,4.0,1.0,1.0,2.0,1.0,1.0,5.0,0.284,0.363,0.454,0.817,19.0,8.0,-0.03,0.85,0.061,-0.091,-0.02%,1.13,0.4,6.0,0.0,HR
Jay Payton CF,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.287,0.369,0.403,0.772,17.0,13.0,-0.092,0.69,0.001,-0.093,-0.07%,0.92,-0.6,3.0,0.0,
Terrence Long LF,4.0,1.0,1.0,0.0,0.0,0.0,4.0,0.292,0.339,0.396,0.735,21.0,14.0,0.034,0.59,0.056,-0.022,0.03%,0.79,0.4,5.0,0.0,
Jon Knott PH-LF,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.143,0.0,0.143,7.0,4.0,0.001,0.0,0.001,0.0,0.00%,0.0,0.1,0.0,0.0,
Ramon Hernandez C,5.0,2.0,2.0,0.0,0.0,1.0,5.0,0.252,0.331,0.406,0.738,21.0,13.0,-0.039,0.6,0.055,-0.093,-0.03%,0.8,-0.1,10.0,0.0,"2B,GDP"
Xavier Nady DH,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,10.0,-0.022,0.77,0.023,-0.044,-0.02%,1.02,-0.5,,,
Khalil Greene SS,4.0,1.0,3.0,2.0,0.0,0.0,4.0,0.272,0.358,0.382,0.74,19.0,14.0,0.071,0.6,0.098,-0.027,0.06%,0.79,1.6,1.0,1.0,SB
,,,,,,,,,,,,,,,,,,,,,,,
Brian Lawrence P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Scott Linebrink P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Jay Witasick P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,40.0,8.0,12.0,7.0,3.0,3.0,43.0,0.3,0.349,0.425,0.774,175.0,112.0,0.128,0.66,0.627,-0.497,0.10%,0.88,2.6,27.0,7.0,
