Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Cesar Izturis SS,6.0,2.0,4.0,2.0,0.0,1.0,6.0,0.318,0.352,0.397,0.749,23.0,16.0,0.247,0.62,0.248,0.0,0.19%,0.8,2.8,1.0,1.0,"2B,2·SB"
Jayson Werth LF,5.0,2.0,2.0,2.0,1.0,2.0,6.0,0.267,0.353,0.667,1.02,34.0,19.0,0.187,0.68,0.228,-0.041,0.14%,0.87,1.8,1.0,0.0,HR
Milton Bradley CF,5.0,1.0,0.0,1.0,1.0,1.0,6.0,0.265,0.349,0.412,0.761,30.0,18.0,-0.072,0.61,0.018,-0.089,-0.06%,0.79,-0.5,2.0,0.0,
Shawn Green 1B,4.0,1.0,2.0,2.0,1.0,0.0,5.0,0.245,0.341,0.417,0.758,22.0,14.0,-0.037,0.8,0.049,-0.086,-0.03%,1.03,1.0,7.0,1.0,GDP
Jason Grabowski 1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.305,0.432,0.737,,,,,,,,,,0.0,0.0,
Paul Lo Duca C,5.0,1.0,2.0,1.0,0.0,0.0,5.0,0.355,0.394,0.477,0.871,13.0,7.0,-0.015,0.72,0.061,-0.076,-0.01%,0.92,1.1,7.0,0.0,2B
David Ross C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.217,0.304,0.52,,,,,,,,,,5.0,0.0,
Adrián Beltré 3B,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.3,0.335,0.548,0.883,23.0,14.0,-0.076,0.42,0.0,-0.076,-0.06%,0.54,-1.0,0.0,5.0,
Juan Encarnacion RF,3.0,4.0,2.0,1.0,2.0,1.0,5.0,0.253,0.286,0.448,0.734,21.0,10.0,0.141,0.44,0.141,0.0,0.11%,0.57,1.4,3.0,0.0,"HR,2B"
Olmedo Saenz DH,3.0,2.0,2.0,4.0,1.0,1.0,5.0,0.278,0.349,0.556,0.904,13.0,6.0,0.174,0.67,0.174,0.0,0.13%,0.87,3.4,,,"HR,HBP"
Alex Cora 2B,5.0,1.0,0.0,1.0,0.0,1.0,5.0,0.282,0.371,0.409,0.78,22.0,15.0,-0.053,0.63,0.007,-0.06,-0.04%,0.8,-1.4,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Jeff Weaver P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Guillermo Mota P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Darren Dreifort P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Eric Gagne P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,41.0,14.0,15.0,14.0,6.0,7.0,48.0,0.366,0.458,0.659,1.117,201.0,119.0,0.496,0.62,0.926,-0.428,0.38%,0.79,8.7,27.0,8.0,
