Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Ryan Freel 2B,2.0,0.0,0.0,0.0,2.0,1.0,4.0,0.294,0.409,0.418,0.827,23.0,10.0,-0.013,0.76,0.061,-0.075,-0.00%,0.11,0.1,0.0,2.0,
Joe Randa DH,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.285,0.359,0.462,0.82,17.0,13.0,-0.018,0.94,0.045,-0.063,-0.00%,0.13,-0.7,,,
Ken Griffey Jr. CF,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.272,0.338,0.485,0.824,16.0,11.0,-0.111,0.7,0.012,-0.124,-0.01%,0.1,-0.6,3.0,0.0,
Wily Mo Peña RF,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.286,0.321,0.714,1.035,15.0,10.0,-0.056,0.57,0.0,-0.056,-0.01%,0.08,-0.9,1.0,0.0,
Adam Dunn 1B,3.0,0.0,1.0,0.0,1.0,1.0,4.0,0.244,0.404,0.55,0.954,17.0,10.0,-0.032,0.6,0.019,-0.05,-0.00%,0.09,0.2,8.0,0.0,
Felipe Lopez SS,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.297,0.344,0.542,0.886,17.0,13.0,-0.056,0.56,0.0,-0.056,-0.01%,0.08,-1.0,1.0,4.0,
Jacob Cruz LF,4.0,0.0,2.0,0.0,0.0,1.0,4.0,0.296,0.367,0.519,0.885,12.0,8.0,0.008,0.51,0.039,-0.031,0.00%,0.07,-0.1,1.0,0.0,2B
Jason LaRue C,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.231,0.331,0.374,0.706,14.0,10.0,-0.082,0.74,0.0,-0.082,-0.01%,0.1,-1.2,8.0,0.0,
Luis Lopez 3B,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.217,0.25,0.304,0.554,10.0,7.0,0.016,0.41,0.028,-0.012,0.00%,0.06,0.3,2.0,1.0,
,,,,,,,,,,,,,,,,,,,,,,,
Aaron Harang P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Randy Keisler P,,,,,,,,,,,,,,,,,,,,,0.0,2.0,
Todd Coffey P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,32.0,1.0,8.0,0.0,3.0,13.0,35.0,0.25,0.314,0.281,0.596,141.0,92.0,-0.344,0.66,0.204,-0.549,-0.03%,0.09,-3.9,24.0,9.0,
