Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Matt Lawton RF,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.269,0.371,0.438,0.809,14.0,9.0,-0.023,1.46,0.105,-0.128,-0.01%,0.78,-0.6,3.0,0.0,
Freddy Sanchez 3B,4.0,0.0,2.0,0.0,1.0,0.0,5.0,0.289,0.347,0.393,0.74,24.0,13.0,0.063,0.97,0.097,-0.035,0.02%,0.52,0.7,1.0,2.0,
Jason Bay LF,3.0,1.0,1.0,0.0,1.0,0.0,5.0,0.304,0.39,0.556,0.946,16.0,7.0,-0.029,1.25,0.081,-0.11,-0.01%,0.67,-0.2,4.0,0.0,"2B,HBP"
Daryle Ward 1B,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.277,0.341,0.51,0.85,17.0,13.0,-0.243,1.73,0.025,-0.268,-0.08%,0.92,-1.7,8.0,2.0,GDP
Ryan Doumit DH,3.0,1.0,1.0,1.0,1.0,2.0,5.0,0.286,0.359,0.486,0.845,25.0,17.0,0.107,1.5,0.189,-0.082,0.03%,0.81,1.1,,,HBP
Rob Mackowiak CF,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.324,0.406,0.489,0.895,15.0,9.0,-0.151,1.43,0.019,-0.17,-0.05%,0.77,-0.8,1.0,0.0,"HBP,SH,GDP"
Jose Castillo 2B,5.0,0.0,2.0,0.0,0.0,0.0,5.0,0.269,0.312,0.381,0.693,18.0,11.0,-0.023,1.07,0.065,-0.088,-0.01%,0.57,-0.6,2.0,3.0,
Humberto Cota C,5.0,0.0,3.0,1.0,0.0,1.0,5.0,0.26,0.316,0.439,0.755,14.0,11.0,0.214,1.56,0.284,-0.07,0.07%,0.84,0.3,5.0,0.0,2B
Jack Wilson SS,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.226,0.265,0.347,0.612,19.0,11.0,-0.126,1.58,0.008,-0.134,-0.04%,0.84,-1.1,2.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,
David Williams P,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
Rick White P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Jose Mesa P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,35.0,2.0,10.0,2.0,5.0,5.0,44.0,0.286,0.419,0.343,0.761,162.0,101.0,-0.211,1.39,0.873,-1.085,-0.07%,0.74,-2.9,27.0,11.0,
