Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3","Top of the 1st, Indians Batting, Tied 0-0, Red Sox' Wade Miller facing 1-2-3"
t1,0-0,0,---,"4,(3-0) BBBB",,CLE,Grady Sizemore,Wade Miller,3%,53%,Walk
t1,0-0,0,1--,"3,(1-1) BCX",,CLE,Casey Blake,Wade Miller,5%,59%,Single to LF (Ground Ball); Sizemore to 2B
t1,0-0,0,12-,"1,(0-0) X",R,CLE,Travis Hafner,Wade Miller,12%,71%,Double to LF (Fly Ball); Sizemore Scores; Blake to 3B
t1,1-0,0,-23,"4,(2-1) BCBX",RO,CLE,Victor Martinez,Wade Miller,0%,71%,Groundout: 2B-1B; Blake Scores; Hafner to 3B
t1,2-0,1,--3,"8,(3-2) CBCFFBBB",,CLE,Ben Broussard,Wade Miller,1%,73%,Walk
t1,2-0,1,1-3,"2,(1-0) BX",O,CLE,Ronnie Belliard,Wade Miller,-5%,68%,Popfly: 2B
t1,2-0,2,1-3,"5,(2-2) BCCBX",O,CLE,Jody Gerut,Wade Miller,-4%,64%,Groundout: 1B unassisted
,,,,,,,,,"2 runs, 2 hits, 0 errors, 2 LOB. Indians 2, Red Sox 0.","2 runs, 2 hits, 0 errors, 2 LOB. Indians 2, Red Sox 0.","2 runs, 2 hits, 0 errors, 2 LOB. Indians 2, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3","Bottom of the 1st, Red Sox Batting, Behind 0-2, Indians' Cliff Lee facing 1-2-3"
b1,0-2,0,---,"3,(0-2) CSX",O,BOS,Johnny Damon,Cliff Lee,2%,66%,Flyball: CF
b1,0-2,1,---,"4,(1-2) CBCX",O,BOS,Edgar Renteria,Cliff Lee,2%,68%,Flyball: CF
b1,0-2,2,---,"3,(1-1) SBX",O,BOS,David Ortiz,Cliff Lee,1%,69%,Flyball: CF
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Indians 2, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 2, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Indians 2, Red Sox 0."
"Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1","Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1","Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1","Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1","Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1","Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1","Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1","Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1","Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1","Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1","Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1","Top of the 2nd, Indians Batting, Ahead 2-0, Red Sox' Wade Miller facing 8-9-1"
t2,2-0,0,---,"1,(0-0) X",R,CLE,Aaron Boone,Wade Miller,8%,77%,Home Run (Fly Ball to LF-CF)
t2,3-0,0,---,"5,(2-2) BFCBS",O,CLE,Jhonny Peralta,Wade Miller,-1%,75%,Strikeout Swinging
t2,3-0,1,---,"3,(0-2) FCX",O,CLE,Grady Sizemore,Wade Miller,-1%,74%,Groundout: 2B-1B
t2,3-0,2,---,"5,(2-2) CBCBX",,CLE,Casey Blake,Wade Miller,1%,76%,Reached on E6 (Ground Ball); Blake to 2B/Adv on E6 (throw)
t2,3-0,2,-2-,"4,(3-0) BBBB",,CLE,Travis Hafner,Wade Miller,1%,76%,Walk
t2,3-0,2,12-,"4,(1-2) BSSX",O,CLE,Victor Martinez,Wade Miller,-3%,74%,Groundout: 2B-1B
,,,,,,,,,"1 run, 1 hit, 2 errors, 2 LOB. Indians 3, Red Sox 0.","1 run, 1 hit, 2 errors, 2 LOB. Indians 3, Red Sox 0.","1 run, 1 hit, 2 errors, 2 LOB. Indians 3, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-3, Indians' Cliff Lee facing 4-5-6"
b2,0-3,0,---,"4,(3-0) BBBB",,BOS,Manny Ramirez,Cliff Lee,-4%,70%,Walk
b2,0-3,0,1--,"2,(1-0) BX",O,BOS,Kevin Millar,Cliff Lee,3%,73%,Popfly: SS
b2,0-3,1,1--,"5,(1-2) BCFFX",,BOS,Jason Varitek,Cliff Lee,-8%,65%,Double to LF (Line Drive to Deep LF); Ramirez to 3B
b2,0-3,1,-23,"6,(3-2) FBBCBX",RO,BOS,Jay Payton,Cliff Lee,1%,67%,Groundout: SS-1B; Ramirez Scores; Varitek to 3B
b2,1-3,2,--3,"4,(1-2) CBSX",O,BOS,Kevin Youkilis,Cliff Lee,4%,70%,Popfly: 2B
,,,,,,,,,"1 run, 1 hit, 0 errors, 1 LOB. Indians 3, Red Sox 1.","1 run, 1 hit, 0 errors, 1 LOB. Indians 3, Red Sox 1.","1 run, 1 hit, 0 errors, 1 LOB. Indians 3, Red Sox 1."
