Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Scott Podsednik LF,5.0,2.0,2.0,0.0,0.0,0.0,5.0,0.282,0.348,0.337,0.685,13.0,10.0,-0.015,0.79,0.05,-0.065,0%,0.03,-0.1,3.0,0.0,
Tadahito Iguchi 2B,4.0,1.0,1.0,1.0,0.0,1.0,5.0,0.283,0.351,0.449,0.799,14.0,12.0,-0.068,0.99,0.025,-0.094,-0.00%,0.04,0.5,1.0,4.0,"HR,HBP"
Carl Everett DH,5.0,2.0,3.0,3.0,0.0,0.0,5.0,0.264,0.315,0.469,0.784,15.0,12.0,0.184,1.14,0.242,-0.058,0.00%,0.04,2.3,,,HR
Paul Konerko 1B,5.0,2.0,2.0,2.0,0.0,0.0,5.0,0.268,0.367,0.52,0.887,15.0,12.0,0.053,0.84,0.094,-0.04,0.00%,0.03,1.7,11.0,1.0,HR
Aaron Rowand CF,5.0,0.0,1.0,2.0,0.0,3.0,5.0,0.285,0.336,0.409,0.744,23.0,17.0,0.043,1.26,0.17,-0.127,0.00%,0.05,1.0,0.0,0.0,3B
Jermaine Dye RF,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.265,0.327,0.486,0.813,19.0,11.0,-0.104,0.97,0.0,-0.104,-0.00%,0.04,-0.9,1.0,0.0,
A.J. Pierzynski C,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.27,0.324,0.472,0.796,13.0,10.0,-0.054,0.97,0.028,-0.082,-0.00%,0.04,-0.2,5.0,0.0,
Joe Crede 3B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.243,0.297,0.43,0.727,11.0,9.0,-0.099,0.97,0.0,-0.099,-0.00%,0.04,-0.9,0.0,4.0,
Juan Uribe SS,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.248,0.285,0.387,0.672,10.0,7.0,0.016,0.72,0.039,-0.023,0%,0.03,0.1,2.0,3.0,
Geoff Blum PH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.231,0.31,0.355,0.665,2.0,2.0,-0.01,0.38,0.0,-0.01,0%,0.01,-0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,
Mark Buehrle P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Luis Vizcaino P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Neal Cotts P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Bobby Jenks P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,40.0,8.0,12.0,8.0,0.0,8.0,41.0,0.3,0.317,0.575,0.892,135.0,102.0,-0.054,0.95,0.648,-0.702,0.00%,0.04,3.1,24.0,12.0,
