Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Derek Jeter SS,5.0,1.0,1.0,2.0,0.0,1.0,5.0,0.307,0.389,0.449,0.838,20.0,15.0,-0.004,0.86,0.092,-0.096,-0.01%,4.46,0.9,2.0,6.0,HR
Alex Rodriguez 3B,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.318,0.42,0.605,1.025,22.0,12.0,-0.017,1.01,0.05,-0.067,-0.05%,5.23,-0.0,0.0,2.0,SB
Jason Giambi 1B,3.0,0.0,1.0,0.0,1.0,1.0,4.0,0.274,0.444,0.541,0.986,15.0,8.0,0.059,0.97,0.093,-0.034,0.18%,5.02,0.5,12.0,2.0,
Gary Sheffield RF,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.291,0.379,0.51,0.889,10.0,8.0,-0.075,1.5,0.032,-0.107,-0.23%,7.73,-0.4,0.0,0.0,HBP
Hideki Matsui LF,4.0,0.0,3.0,1.0,0.0,1.0,4.0,0.302,0.365,0.489,0.854,17.0,13.0,0.236,1.61,0.262,-0.026,0.73%,8.36,2.1,1.0,0.0,2B
Jorge Posada C,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.258,0.348,0.426,0.774,14.0,12.0,-0.244,1.72,0.0,-0.244,-0.76%,8.89,-2.1,6.0,1.0,
Ruben Sierra DH,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.235,0.271,0.38,0.651,12.0,10.0,-0.241,2.2,0.0,-0.241,-0.75%,11.37,-2.0,,,
Bernie Williams CF,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.251,0.323,0.368,0.692,10.0,7.0,-0.097,0.9,0.0,-0.097,-0.30%,4.67,-0.9,1.0,0.0,
Robinson Canó 2B,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.295,0.318,0.458,0.777,9.0,8.0,-0.007,0.7,0.043,-0.05,-0.02%,3.62,-0.0,1.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,
Chien-Ming Wang P,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
Al Leiter P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Scott Proctor P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,34.0,3.0,7.0,3.0,2.0,9.0,37.0,0.206,0.27,0.324,0.594,129.0,93.0,-0.39,1.26,0.572,-0.962,-1.22%,6.5,-1.9,24.0,15.0,
