Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Kevin Youkilis 1B,3.0,2.0,2.0,1.0,2.0,1.0,5.0,0.314,0.429,0.471,0.899,26.0,13.0,0.083,1.02,0.117,-0.034,0.07%,1.34,1.0,7.0,2.0,HR
Willie Harris PR-CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.263,0.067,0.33,,,-0.004,0.26,0.0,-0.004,-0.00%,0.34,-0.3,1.0,0.0,CS
Mark Loretta 2B,4.0,1.0,2.0,0.0,0.0,0.0,4.0,0.227,0.281,0.303,0.584,18.0,10.0,-0.007,1.53,0.072,-0.079,-0.01%,2.0,-0.1,0.0,4.0,
David Ortiz DH,4.0,0.0,1.0,3.0,0.0,1.0,4.0,0.274,0.383,0.619,1.003,14.0,9.0,0.196,1.91,0.291,-0.094,0.15%,2.5,1.6,,,2B
Manny Ramirez LF,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.297,0.437,0.455,0.892,14.0,8.0,-0.026,0.84,0.034,-0.06,-0.02%,1.1,-0.3,0.0,0.0,
Trot Nixon RF,3.0,0.0,1.0,0.0,1.0,0.0,4.0,0.307,0.411,0.467,0.878,15.0,8.0,-0.037,0.8,0.023,-0.061,-0.03%,1.04,-0.1,1.0,0.0,
Jason Varitek C,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.247,0.33,0.365,0.695,13.0,7.0,-0.12,1.1,0.0,-0.12,-0.09%,1.44,-1.4,5.0,1.0,
Mike Lowell 3B,4.0,2.0,3.0,0.0,0.0,0.0,4.0,0.35,0.398,0.563,0.961,16.0,8.0,0.189,1.1,0.206,-0.016,0.15%,1.44,1.2,3.0,2.0,"3·2B,SB,GDP"
Wily Mo Peña CF,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.317,0.362,0.54,0.902,11.0,9.0,-0.029,1.19,0.079,-0.108,-0.02%,1.55,-0.4,3.0,0.0,
J.T. Snow 1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.36,0.158,0.518,,,,,,,,,,2.0,0.0,
Alex Gonzalez SS,3.0,1.0,1.0,1.0,0.0,1.0,4.0,0.19,0.275,0.253,0.528,14.0,9.0,0.109,1.25,0.164,-0.055,0.08%,1.63,0.1,3.0,2.0,"2B,SH"
,,,,,,,,,,,,,,,,,,,,,,,
Curt Schilling P,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
Mike Timlin P,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Jonathan Papelbon P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,33.0,6.0,12.0,5.0,3.0,5.0,37.0,0.364,0.417,0.606,1.023,141.0,81.0,0.354,1.16,0.986,-0.631,0.28%,1.52,1.4,27.0,12.0,
