Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Alfonso Soriano LF,5.0,0.0,1.0,1.0,0.0,2.0,5.0,0.286,0.348,0.575,0.923,15.0,12.0,-0.003,0.59,0.055,-0.058,0%,0.21,-0.8,1.0,0.0,
Jose Vidro 2B,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.294,0.35,0.392,0.743,14.0,9.0,-0.066,0.64,0.0,-0.066,-0.01%,0.23,-1.1,1.0,5.0,
Jose Guillen RF,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.22,0.278,0.416,0.695,19.0,8.0,-0.014,0.41,0.02,-0.034,-0.00%,0.15,-0.3,5.0,0.0,
Ryan Zimmerman 3B,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.274,0.329,0.464,0.792,22.0,13.0,-0.073,0.69,0.0,-0.073,-0.02%,0.24,-1.0,0.0,4.0,
Matt LeCroy DH,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.233,0.329,0.383,0.712,11.0,8.0,-0.051,0.61,0.0,-0.051,-0.01%,0.22,-0.6,,,
Daryle Ward PH-DH,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.304,0.403,0.661,1.064,4.0,3.0,0.002,0.03,0.002,0.0,0%,0.01,0.6,,,2B
Royce Clayton SS,4.0,1.0,2.0,0.0,0.0,1.0,4.0,0.254,0.309,0.329,0.639,13.0,10.0,0.016,0.34,0.029,-0.013,0.00%,0.12,0.8,0.0,4.0,SB
Robert Fick 1B,3.0,0.0,1.0,1.0,1.0,2.0,4.0,0.282,0.3,0.385,0.685,23.0,13.0,-0.051,0.52,0.009,-0.06,-0.01%,0.18,0.3,13.0,0.0,SB
Damian Jackson CF,3.0,1.0,2.0,1.0,1.0,1.0,4.0,0.225,0.289,0.438,0.727,23.0,11.0,0.068,0.43,0.074,-0.007,0.01%,0.15,1.3,1.0,0.0,2B
Brian Schneider C,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.231,0.302,0.308,0.61,15.0,12.0,-0.068,0.66,0.0,-0.068,-0.01%,0.23,-1.4,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
Shawn Hill P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Mike Stanton P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Saul Rivera P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Gary Majewski P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,34.0,3.0,7.0,3.0,3.0,12.0,37.0,0.206,0.27,0.265,0.535,159.0,99.0,-0.24,0.52,0.189,-0.43,-0.05%,0.18,-2.2,24.0,13.0,
