Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
José Reyes SS,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.297,0.356,0.488,0.843,21.0,12.0,-0.082,0.64,0.0,-0.082,-0.02%,0.28,-1.2,1.0,3.0,
Paul Lo Duca C,5.0,1.0,2.0,0.0,0.0,0.0,5.0,0.282,0.323,0.394,0.717,15.0,12.0,0.062,0.62,0.083,-0.021,0.02%,0.27,0.3,5.0,0.0,
Carlos Beltrán CF,2.0,1.0,2.0,1.0,2.0,0.0,4.0,0.291,0.403,0.623,1.026,25.0,14.0,0.015,1.02,0.089,-0.073,0.00%,0.44,1.0,2.0,0.0,"HR,CS"
Carlos Delgado 1B,3.0,1.0,1.0,1.0,1.0,0.0,4.0,0.262,0.346,0.532,0.878,18.0,8.0,0.084,1.24,0.125,-0.041,0.02%,0.54,0.9,7.0,0.0,HR
David Wright 3B,3.0,0.0,0.0,0.0,1.0,2.0,4.0,0.332,0.401,0.6,1.001,20.0,12.0,-0.071,1.58,0.044,-0.115,-0.02%,0.69,-1.0,0.0,0.0,
Julio Franco DH,3.0,0.0,0.0,1.0,1.0,1.0,4.0,0.306,0.368,0.435,0.803,18.0,10.0,0.073,1.07,0.104,-0.031,0.02%,0.47,0.4,,,
Xavier Nady RF,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.267,0.325,0.497,0.823,12.0,7.0,-0.094,1.25,0.009,-0.103,-0.03%,0.55,-0.7,4.0,0.0,HBP
Eli Marrero PH-RF,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.222,0.349,0.486,0.835,6.0,3.0,0.01,0.07,0.01,0.0,0.00%,0.03,1.0,0.0,0.0,HR
Chris Woodward 2B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.238,0.311,0.338,0.649,14.0,10.0,-0.133,1.25,0.0,-0.133,-0.03%,0.55,-1.6,3.0,2.0,
Lastings Milledge LF,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.25,0.307,0.45,0.757,21.0,16.0,0.01,0.53,0.04,-0.03,0.00%,0.23,-0.3,2.0,0.0,HBP
,,,,,,,,,,,,,,,,,,,,,,,
Alay Soler P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Heath Bell P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
Duaner Sanchez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,31.0,4.0,6.0,4.0,5.0,6.0,38.0,0.194,0.342,0.484,0.826,170.0,104.0,-0.126,0.97,0.504,-0.629,-0.03%,0.42,-1.2,24.0,7.0,
