Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,0,1,2,0,1,2
Esteban Loaiza,5.0,6.0,3.0,3.0,6.0,4.0,1.0,6.34,27.0,107.0,57.0,29.0,5.0,23.0,8.0,9.0,4.0,0.0,41.0,,,-0.077,0.89,-0.06%,1.19,-0.1,1.0,Jason Kendall,C,1.0,Kevin Youkilis,1B
Chad Gaudin,0.2,1.0,0.0,0.0,1.0,0.0,0.0,3.89,4.0,22.0,13.0,8.0,1.0,4.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.007,0.67,0.01%,0.9,0.1,2.0,Nick Swisher,1B,2.0,Mark Loretta,2B
Brad Halsey,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.95,1.0,6.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.029,1.07,0.02%,1.43,0.5,3.0,Bobby Kielty,LF,3.0,David Ortiz,DH
Justin Duchscherer,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.52,4.0,27.0,18.0,13.0,0.0,5.0,1.0,2.0,0.0,0.0,,0.0,0.0,0.094,1.44,0.08%,1.94,0.6,4.0,Frank Thomas,DH,4.0,Manny Ramirez,LF
Kiko Calero,1.1,1.0,0.0,0.0,2.0,0.0,0.0,3.19,6.0,26.0,12.0,6.0,1.0,5.0,1.0,3.0,1.0,0.0,,0.0,0.0,0.122,1.94,0.10%,2.6,0.6,5.0,Jay Payton,RF,5.0,Trot Nixon,RF
"Huston Street, W (3-3)",1.2,0.0,0.0,0.0,0.0,2.0,0.0,3.12,5.0,21.0,16.0,8.0,3.0,5.0,2.0,1.0,0.0,0.0,,1.0,0.0,0.3,2.24,0.24%,3.0,1.2,6.0,Bobby Crosby,SS,6.0,Jason Varitek,C
"Scott Sauerbeck, H (4)",0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.91,1.0,6.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.055,2.04,0.04%,2.73,0.3,7.0,Mark Kotsay,CF,7.0,Mike Lowell,3B
"Kirk Saarloos, S (2)",0.2,1.0,1.0,1.0,1.0,0.0,0.0,5.4,4.0,23.0,16.0,10.0,2.0,4.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.054,1.86,0.04%,2.5,-0.7,8.0,Mark Ellis,2B,8.0,Coco Crisp,CF
Team Totals,11.0,9.0,4.0,4.0,11.0,6.0,1.0,3.27,52.0,238.0,138.0,78.0,12.0,48.0,16.0,19.0,6.0,0.0,41.0,3.0,0.0,0.584,1.28,0.47%,1.72,2.4,9.0,Antonio Perez,3B,9.0,Alex Gonzalez,SS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esteban Loaiza,P,,Jon Lester,P
