Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Chone Figgins CF,3.0,3.0,1.0,0.0,2.0,0.0,6.0,0.263,0.337,0.357,0.694,23.0,10.0,0.136,1.36,0.188,-0.052,0.12%,2.08,0.9,11.0,0.0,"2·SB,SH"
Maicer Izturis 3B,4.0,1.0,2.0,0.0,1.0,0.0,6.0,0.293,0.373,0.413,0.786,19.0,11.0,-0.054,1.64,0.113,-0.167,-0.05%,2.5,-0.1,0.0,2.0,"2B,SB,SH"
Orlando Cabrera SS,5.0,0.0,0.0,2.0,0.0,2.0,6.0,0.284,0.345,0.414,0.759,17.0,14.0,-0.182,1.94,0.072,-0.254,-0.17%,2.97,-0.5,3.0,1.0,SF
Vladimir Guerrero DH,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.314,0.357,0.509,0.866,6.0,6.0,-0.062,0.79,0.0,-0.062,-0.06%,1.21,-0.7,,,
Curtis Pride PH-DH,3.0,1.0,1.0,2.0,0.0,1.0,3.0,0.6,0.6,1.4,2.0,10.0,6.0,0.193,1.83,0.298,-0.105,0.18%,2.8,0.9,,,HR
Garret Anderson LF,5.0,0.0,1.0,1.0,0.0,2.0,5.0,0.269,0.313,0.408,0.721,18.0,13.0,-0.034,1.08,0.083,-0.117,-0.03%,1.65,-0.1,1.0,0.0,2B
Juan Rivera RF,4.0,1.0,1.0,0.0,1.0,0.0,5.0,0.297,0.352,0.553,0.904,20.0,13.0,-0.071,1.19,0.047,-0.118,-0.07%,1.81,0.0,2.0,1.0,2B
Howie Kendrick 1B,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.322,0.375,0.458,0.833,13.0,7.0,0.004,1.03,0.065,-0.061,0.00%,1.58,-0.4,2.0,0.0,SB
Robb Quinlan 1B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.304,0.317,0.471,0.788,8.0,6.0,-0.05,1.93,0.0,-0.05,-0.05%,2.95,-0.2,5.0,0.0,
Adam Kennedy 2B,5.0,0.0,1.0,0.0,0.0,1.0,5.0,0.263,0.315,0.37,0.686,19.0,13.0,-0.101,1.14,0.029,-0.131,-0.09%,1.74,-0.5,1.0,2.0,
José Molina C,4.0,0.0,1.0,1.0,0.0,2.0,4.0,0.236,0.276,0.347,0.624,13.0,12.0,-0.055,1.12,0.04,-0.095,-0.05%,1.72,-0.1,5.0,0.0,
Mike Napoli C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.256,0.399,0.517,0.917,6.0,2.0,0.082,2.41,0.082,0.0,0.07%,3.68,0.4,2.0,0.0,HBP
,,,,,,,,,,,,,,,,,,,,,,,
Jered Weaver P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Scot Shields P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Francisco Rodríguez P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Hector Carrasco P,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
J.C. Romero P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,40.0,6.0,10.0,6.0,4.0,10.0,48.0,0.25,0.326,0.4,0.726,172.0,113.0,-0.194,1.38,1.017,-1.212,-0.18%,2.1,-0.4,32.0,7.0,
