Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Frank Catalanotto LF,4.0,1.0,2.0,1.0,0.0,0.0,4.0,0.319,0.399,0.472,0.871,18.0,12.0,0.111,0.98,0.152,-0.041,0.00%,0.03,1.1,1.0,0.0,2·2B
Reed Johnson LF,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.324,0.397,0.496,0.893,4.0,2.0,-0.01,0.36,0.0,-0.01,0%,0.01,-0.3,1.0,0.0,
Aaron Hill 2B,4.0,1.0,2.0,1.0,1.0,1.0,5.0,0.289,0.341,0.372,0.713,23.0,12.0,0.002,0.81,0.091,-0.088,0%,0.03,0.6,1.0,5.0,HR
Vernon Wells CF,4.0,1.0,0.0,0.0,1.0,0.0,5.0,0.316,0.371,0.571,0.942,14.0,6.0,-0.118,0.66,0.009,-0.127,-0.00%,0.02,-1.4,3.0,0.0,GDP
Lyle Overbay 1B,4.0,1.0,2.0,2.0,1.0,1.0,5.0,0.31,0.368,0.511,0.879,19.0,10.0,0.117,0.56,0.13,-0.012,0.00%,0.02,2.0,11.0,0.0,2B
Alex Rios RF,4.0,0.0,1.0,1.0,1.0,1.0,5.0,0.294,0.345,0.497,0.842,19.0,10.0,0.038,0.64,0.099,-0.061,0.00%,0.02,0.5,2.0,0.0,"2B,IW"
Gregg Zaun C,5.0,1.0,1.0,0.0,0.0,0.0,5.0,0.264,0.361,0.444,0.804,17.0,11.0,-0.004,0.57,0.054,-0.058,0%,0.02,-0.7,4.0,1.0,2B
Adam Lind DH,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.2,0.2,0.4,0.6,16.0,10.0,-0.036,0.56,0.016,-0.052,-0.00%,0.02,-1.0,,,2B
John Hattig 3B,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.2,0.429,0.2,0.629,19.0,8.0,0.017,0.72,0.032,-0.015,0%,0.02,0.3,0.0,3.0,
Troy Glaus PH-3B,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.256,0.368,0.532,0.899,4.0,0.0,0.005,0.83,0.005,0.0,0%,0.03,0.1,1.0,0.0,IW
John McDonald SS,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.221,0.265,0.302,0.567,14.0,10.0,-0.101,0.93,0.019,-0.12,-0.00%,0.03,-1.6,3.0,4.0,"2B,GDP"
,,,,,,,,,,,,,,,,,,,,,,,
A.J. Burnett P,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
Team Totals,36.0,5.0,10.0,5.0,7.0,4.0,43.0,0.278,0.395,0.556,0.951,167.0,91.0,0.021,0.7,0.607,-0.584,-0.00%,0.02,-0.2,27.0,13.0,
