Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
1,Paul Abbott,34,SEA,7,5,0,26.1,8,2,6,0,0,1.000,,,2.73,1.14,P
2,Brent Abernathy,24,TBD,116,115,109,1015.0,581,253,316,12,85,.979,-1,-2,5.05,4.91,2B
3,Juan Acevedo,32,DET,65,0,0,74.2,16,4,11,1,0,.938,,,1.81,0.23,P
4,Jeremy Affeldt,23,KCR,34,7,0,77.2,20,4,14,2,1,.900,,,2.09,0.53,P
5,Benny Agbayani,30,BOS,13,9,8,97.0,26,24,1,1,0,.962,4,48,2.32,1.92,OF
6,Luis Alicea,36,KCR,65,43,31,403.0,209,72,129,8,22,.962,2,7,4.49,2.96,2B-3B-1B-OF-SS
7,Chad Allen,27,CLE,4,3,3,29.0,4,4,0,0,0,1.000,0,-17,1.24,1.00,OF
8,Sandy Alomar,36,CHW,50,46,43,404.0,309,293,14,2,3,.994,-1,-3,6.84,6.14,C
9,Juan Alvarez,28,TEX,52,0,0,39.2,9,5,4,0,1,1.000,,,2.04,0.17,P
10,Wilson Álvarez,32,TBD,23,10,0,75.0,8,2,6,0,0,1.000,,,0.96,0.35,P
11,Alfredo Amézaga,24,ANA,5,3,2,34.0,18,7,11,0,1,1.000,1,21,4.76,3.60,SS
12,Brady Anderson,38,CLE,29,22,16,208.2,53,52,0,1,0,.981,-2,-10,2.24,1.79,OF
13,Garret Anderson,30,ANA,147,147,125,1276.2,311,302,7,2,3,.994,12,11,2.18,2.10,OF
14,Matt Anderson,25,DET,12,0,0,11.0,2,1,1,0,1,1.000,,,1.64,0.17,P
15,Shane Andrews,30,BOS,7,3,2,34.0,16,9,7,0,2,1.000,1,25,4.24,2.29,3B-1B-OF
16,Kevin Appier,34,ANA,32,32,0,188.1,32,18,14,0,0,1.000,,,1.53,1.00,P
17,Alex Arias,34,NYY,5,2,1,20.0,7,0,6,1,1,.857,1,30,2.70,1.20,3B-SS
18,Rolando Arrojo,36,BOS,29,8,0,81.1,21,13,6,2,2,.905,,,2.10,0.66,P
19,Miguel Asencio,21,KCR,31,21,0,123.1,26,14,11,1,1,.962,,,1.82,0.81,P
20,Jeff Austin,25,KCR,10,0,0,11.0,0,0,0,0,0,,,,0.00,0.00,P
21,Bruce Aven,30,CLE,7,6,4,50.0,12,12,0,0,0,1.000,1,29,2.16,1.71,OF
22,Brandon Backe,24,TBD,9,0,0,13.0,0,0,0,0,0,,,,0.00,0.00,P
23,Carlos Baerga,33,BOS,18,10,7,90.0,58,25,32,1,4,.983,0,1,5.70,3.17,2B-3B
