Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Baltimore Orioles,50,5.19,0.683,162,1458,1083,12969.0,6026,4323,1609,94,175,0.984,-5,0,-9,1,3
Boston Red Sox,49,4.12,0.68,162,1458,1162,13341.0,5944,4447,1390,107,126,0.982,10,1,85,2,1
Chicago White Sox,51,5.06,0.7,162,1458,1184,12795.0,5920,4265,1541,114,157,0.981,16,1,-12,-1,-10
Cleveland Indians,41,3.48,0.683,162,1458,1072,12966.0,5845,4322,1447,76,167,0.987,42,4,55,3,10
Detroit Tigers,48,5.52,0.668,162,1458,1119,12783.0,5734,4261,1389,84,146,0.985,-51,-5,-115,-8,-5
Houston Astros,46,4.32,0.682,162,1458,1044,13014.0,5963,4338,1526,99,153,0.983,-15,-1,21,-1,-5
Kansas City Royals,49,4.88,0.685,162,1458,1126,12939.0,5916,4313,1524,79,145,0.987,-24,-2,-55,-5,4
Los Angeles Angels,55,4.38,0.7,162,1458,1125,12966.0,5864,4322,1462,80,135,0.986,43,4,52,7,5
Minnesota Twins,52,4.86,0.692,162,1458,1130,12924.0,5863,4308,1477,78,143,0.987,37,3,26,0,-4
New York Yankees,51,4.07,0.703,162,1458,1131,13038.0,5909,4346,1468,95,102,0.984,29,3,28,-2,-11
Oakland Athletics,54,5.1,0.686,162,1458,1111,12879.0,6011,4293,1597,121,162,0.98,-34,-3,-41,-1,0
Seattle Mariners,61,4.77,0.7,162,1458,1154,12963.0,5846,4321,1422,103,147,0.982,17,2,7,-2,-5
Tampa Bay Rays,53,4.35,0.701,162,1458,1129,13005.0,5868,4335,1433,100,129,0.983,18,2,44,-3,-7
Texas Rangers,51,5.04,0.695,162,1458,1131,12909.0,6027,4303,1616,108,173,0.982,50,5,4,1,1
Toronto Blue Jays,60,4.84,0.682,162,1458,1073,13185.0,6057,4395,1570,92,145,0.985,-35,-3,6,0,6
League Average,49,4.67,0.689,162,1458,1118,12978.0,5920,4326,1498,95,147,0.984,6,0,6,0,-1
,728,4.67,0.689,2430,21870,16774,194676.0,88793,64892,22471,1430,2205,0.984,96,1,96,-1,-12
