Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
1,Kurt Abbott,31,NYM,61,35,23,374.0,186,74,105,7,13,.962,-2,-8,4.31,2.71,SS-2B-3B-OF
2,Bobby Abreu,26,PHI,152,150,147,1330.2,354,337,13,4,2,.989,15,13,2.37,2.30,OF
3,Juan Acevedo,30,MIL,62,0,0,82.2,16,8,8,0,0,1.000,,,1.74,0.26,P
4,Terry Adams,27,LAD,66,0,0,84.1,37,14,21,2,0,.946,,,3.74,0.53,P
5,Benny Agbayani,28,NYM,110,94,41,775.1,162,155,3,4,0,.975,0,0,1.83,1.44,OF
6,Rick Aguilera,38,CHC,54,0,0,47.2,13,6,7,0,0,1.000,,,2.45,0.24,P
7,Scott Aldred,32,PHI,23,0,0,20.1,3,1,2,0,0,1.000,,,1.33,0.13,P
8,Antonio Alfonseca,28,FLA,68,0,0,70.0,16,1,14,1,1,.938,,,1.93,0.22,P
9,Edgardo Alfonzo,26,NYM,146,145,117,1240.2,688,316,362,10,84,.985,1,1,4.92,4.64,2B
10,Dusty Allen,27,SDP,3,2,1,15.0,2,2,0,0,0,1.000,0,16,1.20,0.67,OF-1B
11,Armando Almanza,27,FLA,67,0,0,46.1,4,1,3,0,0,1.000,,,0.78,0.06,P
12,Carlos Almánzar,26,SDP,62,0,0,69.2,14,3,11,0,0,1.000,,,1.81,0.23,P
13,Moisés Alou,33,HOU,121,120,94,1012.2,203,192,5,6,0,.970,-13,-16,1.75,1.63,OF
14,Clemente Álvarez,32,PHI,2,1,0,8.0,10,10,0,0,0,1.000,0,0,11.25,5.00,C
15,Gabe Alvarez,26,SDP,5,0,0,13.0,1,0,1,0,0,1.000,-1,-65,0.69,0.20,3B-OF
16,Brian Anderson,28,ARI,33,32,2,213.1,61,13,47,1,4,.984,,,2.53,1.82,P
17,Jimmy Anderson,24,PIT,27,26,1,144.0,37,5,31,1,2,.973,,,2.25,1.33,P
18,Marlon Anderson,26,PHI,41,41,37,362.1,189,87,100,2,32,.989,-1,-2,4.64,4.56,2B
19,Shane Andrews,28,CHC,62,45,39,430.0,172,59,101,12,13,.930,-5,-15,3.35,2.50,3B-1B
20,Rick Ankiel,20,STL,31,30,0,175.0,29,8,14,7,2,.759,,,1.13,0.71,P
21,Alex Arias,32,PHI,50,35,29,346.1,148,45,98,5,20,.966,-1,-4,3.72,2.86,SS-3B-2B
22,Tony Armas,22,MON,17,17,0,95.0,19,7,12,0,1,1.000,,,1.80,1.12,P
23,Jamie Arnold,26,TOT,14,4,0,39.1,5,1,4,0,0,1.000,,,1.14,0.36,P
24,Rolando Arrojo,34,COL,19,19,0,101.1,32,10,18,4,4,.875,,,2.49,1.47,P
25,Bronson Arroyo,23,PIT,20,12,0,71.2,9,3,5,1,0,.889,,,1.00,0.40,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
26,Andy Ashby,32,TOT,31,31,3,199.1,47,14,30,3,0,.936,,,1.99,1.42,P
27,Pedro Astacio,31,COL,32,32,3,196.1,42,20,22,0,0,1.000,,,1.93,1.31,P
28,Rich Aurilia,28,SFG,140,139,118,1193.0,642,218,403,21,110,.967,2,2,4.68,4.44,SS
29,Bruce Aven,28,TOT,50,32,20,299.0,62,61,0,1,0,.984,2,6,1.84,1.22,OF
30,Manny Aybar,28,TOT,54,0,0,79.1,23,9,14,0,0,1.000,,,2.61,0.43,P
31,Jeff Bagwell,32,HOU,158,157,141,1362.0,1389,1264,116,9,128,.994,0,0,9.12,8.73,1B
32,Paul Bako,28,TOT,81,65,55,587.0,473,438,31,4,4,.992,0,0,7.19,5.79,C-1B
