Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
Arizona Diamondbacks,45,4.18,0.703,162,1458,1086,13137.0,6022,4379,1559,84,148,0.986,49,5
Atlanta Braves,47,3.97,0.702,162,1458,1116,13026.0,6081,4342,1636,103,133,0.983,61,6
Chicago Cubs,43,4.33,0.688,162,1458,966,12933.0,5913,4311,1493,109,113,0.982,-12,-1
Cincinnati Reds,49,5.25,0.684,162,1458,1033,12984.0,6199,4328,1733,138,136,0.978,-39,-4
Colorado Rockies,52,5.59,0.691,162,1458,1107,12870.0,6080,4290,1694,96,167,0.984,61,6
Florida Marlins,42,4.59,0.692,162,1458,1160,12942.0,6083,4314,1666,103,174,0.983,13,1
Houston Astros,43,4.75,0.692,162,1458,1061,13092.0,6136,4364,1662,110,138,0.982,-3,0
Los Angeles Dodgers,41,4.59,0.696,162,1458,1108,13056.0,6054,4352,1586,116,138,0.981,-33,-3
Milwaukee Brewers,46,4.98,0.696,162,1458,1130,12927.0,6141,4309,1729,103,156,0.983,-7,-1
Montreal Expos,46,5.01,0.682,162,1458,1145,12882.0,6023,4294,1621,108,139,0.982,-46,-4
New York Mets,43,4.4,0.694,162,1458,1034,13011.0,6014,4337,1576,101,132,0.983,-1,0
Philadelphia Phillies,44,4.44,0.699,162,1458,1212,13008.0,6030,4336,1603,91,145,0.985,42,4
Pittsburgh Pirates,49,5.3,0.687,162,1458,1035,12747.0,6181,4249,1799,133,168,0.978,-3,0
San Diego Padres,48,5.01,0.686,162,1458,1058,12966.0,6074,4322,1607,145,127,0.976,-46,-4
San Francisco Giants,41,4.62,0.692,162,1458,1019,13170.0,6158,4390,1650,118,170,0.981,6,1
St. Louis Cardinals,39,4.22,0.703,162,1458,1055,12918.0,6080,4306,1664,110,156,0.982,61,6
League Average,42,4.7,0.693,162,1458,1083,12979.0,6079,4326,1642,110,146,0.982,6,0
,678,4.7,0.693,2592,23328,17325,207669.0,97269,69223,26278,1768,2340,0.982,103,1
