Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,Bobby Abreu,40,NYM,31,26,7,206.0,39,37,0,2,0,.949,-5,-26,-7,-40,-2,1.62,1.19,OF
2,Tony Abreu,29,SFG,2,0,0,6.2,3,2,1,0,0,1.000,0,36,0,0,0,4.05,1.50,2B-3B
3,Cristhian Adames,22,COL,7,2,2,32.1,24,8,16,0,4,1.000,2,63,1,37,0,6.68,3.43,SS-2B
4,Matt Adams,25,STL,133,132,124,1163.0,1204,1115,80,9,111,.993,-7,-7,6,6,0,9.25,8.98,1B
5,Mike Adams,35,PHI,22,0,0,18.2,5,0,5,0,1,1.000,,,-1,-11,0,2.41,0.23,P
6,Ehire Adrianza,24,SFG,34,20,12,198.0,104,32,70,2,12,.981,3,19,-3,-18,-2,4.64,2.91,2B-SS-3B
7,Jeremy Affeldt,35,SFG,62,0,0,55.1,20,0,20,0,2,1.000,,,4,14,0,3.25,0.32,P
8,Nick Ahmed,24,ARI,20,18,17,167.1,74,27,45,2,13,.973,-2,-14,1,7,0,3.87,3.60,SS-2B
9,Arismendy Alcántara,22,CHC,70,69,66,629.2,214,142,66,6,9,.972,-3,-6,6,11,-1,2.97,2.85,OF-2B
10,Abraham Almonte,25,SDP,25,24,15,206.0,73,67,4,2,1,.973,9,52,5,29,-1,3.10,2.84,OF
11,Yonder Alonso,27,SDP,78,72,64,632.0,615,569,44,2,45,.997,3,6,9,17,3,8.73,7.66,1B-3B
12,Aaron Altherr,23,PHI,1,1,1,9.0,3,3,0,0,0,1.000,1,93,1,133,0,3.00,3.00,OF
13,Dario Álvarez,25,NYM,4,0,0,1.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
14,Henderson Alvarez III,24,MIA,30,30,3,187.0,56,18,36,2,5,.964,,,5,5,0,2.60,1.80,P
15,Pedro Álvarez,27,PIT,104,100,80,860.1,359,100,234,25,29,.930,-7,-9,-18,-25,-2,3.49,3.21,3B-1B
16,R.J. Alvarez,23,SDP,10,0,0,8.0,2,0,2,0,0,1.000,,,1,25,0,2.25,0.20,P
17,Alexi Amarista,25,SDP,138,119,102,1084.0,460,178,273,9,44,.980,1,1,8,8,2,3.74,3.18,SS-3B-2B-OF
18,Héctor Ambriz,30,SDP,1,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
19,Brett Anderson,26,COL,8,8,0,43.1,5,0,5,0,0,1.000,,,-1,-5,0,1.04,0.63,P
20,Chase Anderson,26,ARI,21,21,0,114.1,26,9,16,1,1,.962,,,2,3,0,1.97,1.19,P
21,Nolan Arenado,23,COL,111,111,105,967.0,364,69,280,15,31,.959,10,13,12,15,2,3.25,3.14,3B
22,Joaquín Arias,29,SFG,81,40,25,417.0,220,132,85,3,26,.986,1,3,-1,-3,-1,4.68,2.52,3B-1B-SS-2B
23,Jake Arrieta,28,CHC,25,25,1,156.2,39,17,20,2,1,.949,,,-3,-4,0,2.13,1.48,P
24,Bronson Arroyo,37,ARI,14,14,1,86.0,25,12,12,1,2,.960,,,-1,-2,0,2.51,1.71,P
25,Erisbel Arruebarrena,24,LAD,21,9,9,116.0,43,14,26,3,6,.930,-2,-21,-1,-10,0,3.10,1.90,SS
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
26,Cody Asche,24,PHI,112,105,90,924.2,281,59,206,16,18,.943,-9,-11,-6,-8,-1,2.58,2.37,3B
27,Phillippe Aumont,25,PHI,5,0,0,5.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
28,Luis Avilán,24,ATL,62,0,0,43.1,15,5,10,0,2,1.000,,,1,5,0,3.12,0.24,P
29,Dylan Axelrod,28,CIN,5,4,0,18.1,4,1,3,0,0,1.000,,,0,0,0,1.96,0.80,P
30,John Axford,31,PIT,13,0,0,11.0,4,2,2,0,0,1.000,,,0,0,0,3.27,0.31,P
31,Javier Báez,21,CHC,52,52,49,465.0,255,105,140,10,40,.961,-1,-3,-3,-8,0,4.74,4.45,SS-2B
32,Pedro Báez,26,LAD,20,0,0,24.0,2,1,1,0,0,1.000,,,1,8,0,0.75,0.10,P
33,Homer Bailey,28,CIN,23,23,1,145.2,30,13,17,0,2,1.000,,,2,3,0,1.85,1.30,P
34,Jeff Baker,33,MIA,65,41,28,395.0,347,284,60,3,32,.991,-5,-16,-3,-9,1,7.84,5.21,1B-2B-3B
35,John Baker,33,CHC,56,51,47,464.0,469,437,30,2,2,.996,-6,-16,-5,-13,-2,9.06,8.34,C-P
36,Clint Barmes,35,PIT,44,26,19,271.1,119,38,79,2,11,.983,2,7,4,18,0,3.88,2.60,SS-2B-3B-1B
37,Brandon Barnes,28,COL,74,55,45,516.0,119,114,3,2,1,.983,4,10,4,9,2,2.04,1.58,OF
38,Darwin Barney,28,TOT,81,61,56,576.0,260,96,160,4,29,.985,3,6,7,14,1,4.00,3.16,2B-SS
39,Tucker Barnhart,23,CIN,20,14,12,132.0,124,110,14,0,2,1.000,1,9,1,9,1,8.45,6.20,C
40,Aaron Barrett,26,WSN,50,0,0,40.2,7,2,4,1,0,.857,,,0,0,0,1.33,0.12,P
41,Antonio Bastardo,28,PHI,67,0,0,64.0,3,1,1,1,0,.667,,,-2,-6,-1,0.28,0.03,P
42,Mike Baxter,29,LAD,1,1,1,9.0,3,3,0,0,0,1.000,0,13,0,0,0,3.00,3.00,OF
43,Pedro Beato,27,ATL,3,0,0,4.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
44,Josh Beckett,34,LAD,20,20,1,115.2,18,8,8,2,1,.889,,,-1,-2,0,1.24,0.80,P
45,Dallas Beeler,25,CHC,2,2,0,11.0,3,0,3,0,0,1.000,,,1,18,0,2.45,1.50,P
46,Matt Belisle,34,COL,66,1,0,64.2,19,6,12,1,1,.947,,,2,6,0,2.51,0.27,P
47,Trevor Bell,27,CIN,2,0,0,0.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
48,Brandon Belt,26,SFG,59,56,49,488.2,558,499,55,4,48,.993,5,12,3,7,0,10.20,9.23,1B-OF
49,Joaquín Benoit,36,SDP,53,0,0,54.1,5,0,5,0,0,1.000,,,-1,-4,0,0.83,0.09,P
50,Christian Bergman,26,COL,10,10,0,54.2,11,5,6,0,0,1.000,,,1,4,0,1.81,1.10,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
51,Roger Bernadina,30,TOT,31,12,8,138.0,33,33,0,0,0,1.000,0,-2,2,17,0,2.15,1.06,OF-1B
52,Christian Bethancourt,22,ATL,31,29,29,260.1,234,216,15,3,1,.987,1,5,-4,-18,0,7.99,7.45,C
53,Chad Bettis,25,COL,21,0,0,24.2,11,0,10,1,0,.909,,,1,8,0,3.65,0.48,P
54,Jeff Bianchi,27,MIL,21,15,13,161.1,74,23,48,3,7,.959,-1,-4,2,15,0,3.96,3.09,SS-3B-2B
55,Vic Black,26,NYM,41,0,0,34.2,6,2,3,1,1,.833,,,-1,-6,0,1.30,0.12,P
56,Charlie Blackmon,27,COL,142,135,112,1201.1,330,317,6,7,2,.979,8,8,0,0,-1,2.42,2.27,OF
57,Andrés Blanco,30,PHI,20,11,8,105.2,43,6,36,1,5,.977,-1,-7,-1,-11,0,3.58,2.00,3B-SS-2B
