Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Fernando Abad*,37,COL,1,0,1.000,4.26,6,0,2,0,0,0,6.1,11,3,3,2,3,0,2,0,0,0,32,124,8.15,2.211,15.6,2.8,4.3,2.8,0.67
2,Andrew Abbott*,24,CIN,8,6,.571,3.87,21,21,0,0,0,0,109.1,100,47,47,16,44,0,120,1,1,1,459,118,4.20,1.317,8.2,1.3,3.6,9.9,2.73
3,Cory Abbott,27,WSN,1,2,.333,6.64,22,0,10,0,0,0,39.1,48,29,29,9,19,0,40,4,1,4,183,65,5.95,1.703,11.0,2.1,4.3,9.2,2.11
4,Austin Adams,32,ARI,0,1,.000,5.71,24,0,1,0,0,0,17.1,16,12,11,1,8,0,22,5,0,2,81,78,3.72,1.385,8.3,0.5,4.2,11.4,2.75
5,Joan Adon,24,WSN,2,4,.333,6.45,12,10,2,0,0,0,51.2,60,37,37,8,24,3,48,3,0,6,240,67,4.98,1.626,10.5,1.4,4.2,8.4,2.00
6,Sandy Alcántara,27,MIA,7,12,.368,4.14,28,28,0,3,1,0,184.2,176,91,85,22,48,0,151,5,1,4,762,108,4.03,1.213,8.6,1.1,2.3,7.4,3.15
7,Scott Alexander*,33,SFG,7,3,.700,4.66,55,8,11,0,0,1,48.1,55,30,25,2,11,3,31,1,0,7,208,91,3.26,1.366,10.2,0.4,2.0,5.8,2.82
8,Kolby Allard*,25,ATL,0,1,.000,6.57,4,3,1,0,0,0,12.1,16,9,9,2,4,0,13,0,0,1,56,69,4.23,1.622,11.7,1.5,2.9,9.5,3.25
9,Yency Almonte,29,LAD,3,2,.600,5.06,49,0,5,0,0,0,48.0,43,30,27,6,24,2,49,4,0,3,208,86,4.59,1.396,8.1,1.1,4.5,9.2,2.04
10,José Alvarado*,28,PHI,0,2,.000,1.74,42,0,12,0,0,10,41.1,30,15,8,3,18,1,64,0,0,3,172,249,2.41,1.161,6.5,0.7,3.9,13.9,3.56
11,Adbert Alzolay,28,CHC,2,5,.286,2.67,58,0,38,0,0,22,64.0,52,23,19,5,13,0,67,5,2,0,253,168,3.02,1.016,7.3,0.7,1.8,9.4,5.15
12,Chase Anderson,35,COL,1,6,.143,5.75,17,17,0,0,0,0,81.1,88,53,52,17,32,0,62,7,0,1,354,88,5.89,1.475,9.7,1.9,3.5,6.9,1.94
13,Nick Anderson,32,ATL,4,0,1.000,3.06,35,0,3,0,0,1,35.1,30,14,12,3,9,0,36,0,0,1,141,146,3.09,1.104,7.6,0.8,2.3,9.2,4.00
14,Clayton Andrews*,26,MIL,0,1,.000,27.00,4,0,1,0,0,0,3.1,10,11,10,3,2,0,4,0,0,1,22,18,14.36,3.600,27.0,8.1,5.4,10.8,2.00
15,Tejay Antone,29,CIN,0,0,,1.59,5,1,0,0,0,0,5.2,3,1,1,0,2,0,7,0,0,0,21,304,1.84,0.882,4.8,0.0,3.2,11.1,3.50
16,Graham Ashcraft,25,CIN,7,9,.438,4.76,26,26,0,0,0,0,145.2,148,78,77,23,52,0,111,10,1,3,624,96,5.06,1.373,9.1,1.4,3.2,6.9,2.13
17,Javier Assad,25,CHC,5,3,.625,3.05,32,10,9,0,0,0,109.1,93,38,37,13,41,1,94,3,1,3,449,147,4.29,1.226,7.7,1.1,3.4,7.7,2.29
18,Pedro Avila,26,SDP,2,2,.500,3.22,14,6,2,0,0,0,50.1,43,23,18,3,25,0,54,5,1,5,220,128,3.67,1.351,7.7,0.5,4.5,9.7,2.16
19,Anthony Banda*,29,WSN,0,0,,6.43,10,0,5,0,0,0,7.0,9,5,5,1,5,0,6,1,0,1,35,70,5.97,2.000,11.6,1.3,6.4,7.7,1.20
20,Daniel Bard,38,COL,4,2,.667,4.56,50,0,11,0,0,1,49.1,35,30,25,5,49,3,47,8,1,2,232,111,6.13,1.703,6.4,0.9,8.9,8.6,0.96
21,Scott Barlow,30,SDP,0,2,.000,3.07,25,0,1,0,0,0,29.1,23,13,10,1,12,2,32,4,0,0,123,135,3.15,1.193,7.1,0.3,3.7,9.8,2.67
22,Jacob Barnes,33,STL,0,1,.000,5.93,13,0,5,0,0,0,13.2,18,11,9,1,3,0,8,1,0,0,61,75,3.91,1.537,11.9,0.7,2.0,5.3,2.67
23,Matt Barnes,33,MIA,1,0,1.000,5.48,24,1,3,0,0,0,21.1,25,13,13,2,10,1,20,1,1,2,99,83,4.15,1.641,10.5,0.8,4.2,8.4,2.00
24,Tucker Barnhart,32,CHC,0,0,,2.25,4,0,4,0,0,0,4.0,7,1,1,0,0,0,0,0,0,0,19,216,3.26,1.750,15.8,0.0,0.0,0.0,
25,Matt Beaty,30,SFG,0,0,,27.00,1,0,1,0,0,0,1.0,3,3,3,0,1,0,1,0,0,0,7,21,4.26,4.000,27.0,0.0,9.0,9.0,1.00
