Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,50,26.7,4.64,162,6260,5665,752,1479,285,56,190,709,137,31,463,1427,0.261,0.32,0.432,0.752,93,2446,117,50,43,38,43,1113
Atlanta Braves,60,28.9,4.03,161,6192,5514,649,1404,295,27,122,615,75,34,502,1240,0.255,0.321,0.384,0.705,89,2119,145,59,64,52,60,1160
Chicago Cubs,45,27.4,4.99,162,6335,5503,808,1409,293,30,199,767,66,34,656,1339,0.256,0.343,0.429,0.772,104,2359,107,96,42,37,45,1217
Cincinnati Reds,52,27.8,4.42,162,6094,5487,716,1403,277,33,164,678,139,51,452,1284,0.256,0.316,0.408,0.724,91,2238,129,52,58,44,37,1014
Colorado Rockies,47,27.8,5.22,162,6236,5614,845,1544,318,47,204,805,66,39,494,1330,0.275,0.336,0.457,0.794,97,2568,113,40,54,34,35,1089
Los Angeles Dodgers,55,28.9,4.48,162,6164,5518,725,1376,272,21,189,680,45,26,525,1321,0.249,0.319,0.409,0.728,95,2257,120,58,30,32,31,1106
Miami Marlins,53,28.3,4.07,161,6134,5547,655,1460,259,42,128,626,71,28,447,1213,0.263,0.322,0.394,0.716,96,2187,140,54,46,38,40,1171
Milwaukee Brewers,50,27.5,4.14,162,6061,5330,671,1299,249,19,194,641,181,56,599,1543,0.244,0.322,0.407,0.729,92,2168,131,37,53,39,34,1071
New York Mets,46,29.5,4.14,162,6115,5459,671,1342,240,19,218,649,42,18,517,1302,0.246,0.316,0.417,0.733,97,2274,123,62,35,41,43,1120
Philadelphia Phillies,49,26.9,3.77,162,5992,5434,610,1305,231,35,161,574,96,45,424,1376,0.24,0.301,0.384,0.685,82,2089,112,58,46,30,33,1043
Pittsburgh Pirates,55,28.9,4.5,162,6261,5542,729,1426,277,32,153,696,110,45,561,1334,0.257,0.332,0.402,0.734,96,2226,133,81,41,36,39,1173
San Diego Padres,58,28.1,4.23,162,6001,5419,686,1275,257,26,177,654,125,45,449,1500,0.235,0.299,0.39,0.689,86,2115,93,58,36,36,30,965
San Francisco Giants,45,29.2,4.41,162,6271,5565,715,1437,280,54,130,675,79,36,572,1107,0.258,0.329,0.398,0.728,97,2215,120,42,42,46,43,1188
St. Louis Cardinals,41,28.5,4.81,162,6223,5548,779,1415,299,32,225,745,35,26,526,1318,0.255,0.325,0.442,0.767,104,2453,117,70,37,41,28,1113
Washington Nationals,43,28.8,4.71,162,6201,5490,763,1403,268,29,203,735,121,39,536,1252,0.256,0.326,0.426,0.751,96,2338,102,64,48,63,49,1105
League Average,48,28.2,4.44,162,6169,5509,718,1398,273,33,177,683,93,37,515,1326,0.254,0.322,0.412,0.734,94,2270,120,59,45,40,39,1110
,718,28.2,4.44,2428,92540,82635,10774,20977,4100,502,2657,10249,1388,553,7723,19886,0.254,0.322,0.412,0.734,94,34052,1802,881,675,607,590,16648
