Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,47,31.9,5.05,162,6349,5595,818,1494,284,35,208,776,71,38,587,1052,0.267,0.341,0.442,0.783,94,2472,105,57,71,36,73,1183
Atlanta Braves,47,30.4,4.5,162,6152,5498,729,1432,263,24,174,696,85,46,493,1039,0.26,0.324,0.412,0.736,87,2265,132,45,64,52,51,1095
Chicago Cubs,43,30.7,4.8,162,6219,5406,777,1409,268,32,194,748,67,36,577,1077,0.261,0.336,0.43,0.766,101,2323,132,66,117,53,72,1156
Cincinnati Reds,50,28.0,4.54,162,6222,5583,735,1464,304,22,176,690,103,54,468,1172,0.262,0.324,0.419,0.744,87,2340,130,65,66,40,47,1115
Colorado Rockies,53,28.2,5.7,162,6394,5690,923,1663,324,61,213,874,132,54,511,1027,0.292,0.354,0.483,0.837,97,2748,116,61,81,50,50,1158
Florida Marlins,42,27.3,4.58,162,6184,5542,742,1461,325,30,166,713,89,40,470,1145,0.264,0.326,0.423,0.749,95,2344,118,67,60,45,43,1117
Houston Astros,45,30.3,5.23,162,6325,5528,847,1500,313,29,208,805,64,49,581,1119,0.271,0.347,0.451,0.798,100,2495,128,89,71,56,52,1151
Los Angeles Dodgers,41,30.2,4.68,162,6169,5493,758,1399,264,27,206,714,89,42,519,1062,0.255,0.323,0.425,0.748,99,2335,115,56,57,44,45,1075
Milwaukee Brewers,46,29.4,4.57,162,6148,5488,740,1378,273,30,209,712,66,36,488,1399,0.251,0.319,0.426,0.745,93,2338,102,72,65,35,44,1067
Montreal Expos,47,27.6,4.14,162,6026,5379,670,1361,320,28,131,622,101,51,478,1071,0.253,0.319,0.396,0.715,83,2130,151,60,64,45,59,1024
New York Mets,44,30.4,3.96,162,6156,5459,642,1361,273,18,147,608,66,48,545,1062,0.249,0.323,0.387,0.71,87,2111,124,65,52,35,59,1181
Philadelphia Phillies,46,26.9,4.6,162,6219,5497,746,1431,295,29,164,708,153,47,551,1125,0.26,0.329,0.414,0.743,93,2276,104,43,67,61,52,1157
Pittsburgh Pirates,49,27.7,4.06,162,6027,5398,657,1333,256,25,161,618,93,73,467,1106,0.247,0.313,0.393,0.706,79,2122,114,67,60,35,51,1058
San Diego Padres,48,28.9,4.87,162,6278,5482,789,1379,273,26,161,753,129,44,678,1273,0.252,0.336,0.399,0.735,97,2187,121,41,29,48,37,1160
San Francisco Giants,41,31.4,4.93,162,6408,5612,799,1493,304,40,235,775,57,42,625,1090,0.266,0.342,0.46,0.802,112,2582,108,50,67,54,79,1242
St. Louis Cardinals,40,28.8,5.02,162,6177,5450,814,1469,274,32,199,768,91,35,529,1089,0.27,0.339,0.441,0.78,100,2404,125,65,83,50,51,1095
League Average,43,29.3,4.7,162,6216,5506,762,1439,288,30,184,724,91,46,535,1119,0.261,0.331,0.425,0.756,94,2342,120,61,67,46,54,1127
,688,29.3,4.7,2592,99453,88100,12186,23027,4613,488,2952,11580,1456,735,8567,17908,0.261,0.331,0.425,0.756,94,37472,1925,969,1074,739,865,18034
