Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,Ronald Acuna Jr.,20,ATL,108,107,95,936.0,192,184,3,5,0,.974,-3,-4,3,3,1,1.80,1.73,OF
2,Austin Adams,27,WSN,2,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
3,Lane Adams,28,ATL,8,2,2,29.1,9,9,0,0,0,1.000,2,86,0,0,0,2.76,1.13,OF
4,Matt Adams,29,TOT,78,68,47,581.1,447,411,33,3,33,.993,-1,-1,3,6,2,6.87,5.62,1B-OF
5,Jesús Aguilar,28,MIL,133,121,94,1065.1,988,895,89,4,92,.996,5,6,8,9,1,8.31,7.18,1B-3B
6,Nick Ahmed,28,ARI,148,135,133,1239.2,606,165,432,9,98,.985,22,21,28,27,3,4.33,4.03,SS
7,Matt Albers,35,MIL,34,0,0,34.1,4,1,3,0,0,1.000,,,0,0,0,1.05,0.12,P
8,Ozzie Albies,21,ATL,157,151,149,1361.2,647,248,389,10,94,.985,6,5,13,11,-1,4.21,4.06,2B
9,Sandy Alcántara,22,MIA,6,6,0,34.0,5,2,3,0,0,1.000,,,0,0,0,1.32,0.83,P
10,Scott Alexander,28,LAD,73,2,0,66.0,17,1,16,0,2,1.000,,,2,6,0,2.32,0.23,P
11,Jorge Alfaro,25,PHI,105,98,90,870.0,958,888,59,11,6,.989,-4,-6,4,6,-6,9.80,9.02,C-3B
12,Kolby Allard,20,ATL,3,1,0,8.0,1,1,0,0,0,1.000,,,0,0,0,1.13,0.33,P
13,Yency Almonte,24,COL,14,0,0,14.2,1,0,1,0,0,1.000,,,0,0,0,0.61,0.07,P
14,Albert Almora,24,CHC,138,94,82,922.1,272,266,3,3,0,.989,12,16,12,15,2,2.62,1.95,OF
15,Aaron Altherr,27,PHI,79,57,43,524.2,98,95,2,1,0,.990,-2,-5,-1,-2,0,1.66,1.23,OF
16,Brian Anderson,25,MIA,153,153,138,1358.0,313,209,95,9,8,.971,-11,-10,-2,-1,-1,2.01,1.88,OF-3B
17,Chase Anderson,30,MIL,30,30,0,158.0,24,5,18,1,2,.958,,,2,3,0,1.31,0.77,P
