Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,50,5.49,0.665,162,1458,1105,13062.0,6118,4354,1663,101,143,0.983,-31,-3,-24,2,11
Atlanta Braves,59,4.84,0.692,161,1449,1164,13029.0,6009,4343,1565,101,134,0.983,9,1,-14,-3,-8
Chicago Cubs,45,3.43,0.728,162,1458,1017,13137.0,6115,4379,1635,101,116,0.983,95,9,107,6,-2
Cincinnati Reds,52,5.27,0.694,162,1458,1151,12978.0,5977,4326,1549,102,142,0.983,10,1,-14,-4,2
Colorado Rockies,47,5.31,0.667,162,1458,1125,12864.0,6147,4288,1749,110,148,0.982,5,0,11,0,-5
Los Angeles Dodgers,55,3.94,0.699,162,1458,1060,13077.0,5887,4359,1448,80,101,0.986,21,2,56,1,-4
Miami Marlins,52,4.24,0.683,161,1449,1056,12915.0,5897,4305,1506,86,137,0.985,-7,-1,4,0,9
Milwaukee Brewers,49,4.52,0.68,162,1458,1117,12909.0,6110,4303,1671,136,145,0.978,3,0,24,-1,1
New York Mets,46,3.81,0.678,162,1458,1052,13023.0,5950,4341,1519,90,138,0.985,-18,-2,3,-2,5
Philadelphia Phillies,49,4.91,0.681,162,1458,1094,12933.0,5911,4311,1503,97,142,0.984,17,2,-11,-3,-4
Pittsburgh Pirates,54,4.68,0.676,162,1458,1037,13056.0,6208,4352,1745,111,172,0.982,-18,-2,-6,-1,-6
San Diego Padres,58,4.75,0.687,162,1458,1107,12960.0,6052,4320,1623,109,165,0.982,-15,-1,-3,0,-1
San Francisco Giants,45,3.9,0.702,162,1458,1135,13143.0,6092,4381,1639,72,136,0.988,44,4,75,6,3
St. Louis Cardinals,40,4.4,0.679,162,1458,996,13035.0,6199,4345,1747,107,169,0.983,-23,-2,-10,-1,0
Washington Nationals,42,3.78,0.7,162,1458,1147,13137.0,5877,4379,1425,73,142,0.988,49,4,2,0,3
League Average,48,4.48,0.687,162,1457,1091,13017.0,6037,4339,1599,98,142,0.984,9,0,13,0,0
,713,4.48,0.687,2428,21852,16363,195258.0,90549,65086,23987,1476,2130,0.984,141,1,200,0,3
