Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
1,Andy Abad,28,OAK,1,0,0,1.0,2,2,0,0,1,1.000,0,0,18.00,2.00,1B
2,Paul Abbott,33,SEA,28,27,1,163.0,29,16,13,0,3,1.000,,,1.60,1.04,P
3,Brent Abernathy,23,TBD,79,78,76,680.2,366,150,209,7,56,.981,-1,-2,4.75,4.54,2B
4,Israel Alcántara,28,BOS,12,9,5,76.0,30,25,3,2,1,.933,-2,-27,3.32,2.33,OF-1B
5,Luis Alicea,35,KCR,84,73,64,658.1,349,117,218,14,50,.960,-1,-1,4.58,3.94,2B-3B
6,Chad Allen,26,MIN,27,26,17,228.2,62,57,3,2,0,.968,-2,-12,2.36,2.22,OF
7,Carlos Almánzar,27,NYY,10,0,0,10.2,3,1,2,0,0,1.000,,,2.53,0.30,P
8,Erick Almonte,23,NYY,4,0,0,10.0,8,4,3,1,1,.875,0,-36,6.30,1.75,SS
9,Roberto Alomar,33,CLE,157,156,130,1324.0,696,268,423,5,88,.993,-5,-4,4.70,4.40,2B
10,Sandy Alomar,35,CHW,69,63,55,545.0,390,367,19,4,5,.990,1,2,6.37,5.59,C
11,Brady Anderson,37,BAL,120,108,98,968.1,250,239,8,3,4,.988,2,2,2.30,2.06,OF
12,Garret Anderson,29,ANA,149,149,135,1307.2,324,313,9,2,2,.994,6,6,2.22,2.16,OF
13,Matt Anderson,24,DET,62,0,0,56.0,14,9,5,0,0,1.000,,,2.25,0.23,P
14,Rolando Arrojo,35,BOS,41,9,0,103.1,29,12,17,0,3,1.000,,,2.53,0.71,P
15,Jeff Austin,24,KCR,21,0,0,26.0,6,2,2,2,0,.667,,,1.38,0.19,P
16,Mike Bacsik,23,CLE,3,0,0,9.0,1,0,1,0,0,1.000,,,1.00,0.33,P
17,Danys Báez,23,CLE,43,0,0,50.1,8,4,3,1,0,.875,,,1.25,0.16,P
18,Cory Bailey,30,KCR,53,0,0,67.1,11,4,6,1,1,.909,,,1.34,0.19,P
19,James Baldwin,29,CHW,17,16,2,95.2,24,7,17,0,3,1.000,,,2.26,1.41,P
20,John Bale,27,BAL,14,0,0,26.2,3,1,2,0,0,1.000,,,1.01,0.21,P
21,Grant Balfour,23,MIN,2,0,0,2.2,1,0,1,0,0,1.000,,,3.38,0.50,P
22,Willie Banks,32,BOS,5,0,0,10.2,0,0,0,0,0,,,,0.00,0.00,P
23,Lorenzo Barceló,23,CHW,17,0,0,21.0,5,3,2,0,0,1.000,,,2.14,0.29,P
24,John Barnes,25,MIN,9,6,6,58.0,19,16,1,2,0,.895,1,21,2.64,1.89,OF
25,Larry Barnes,26,ANA,16,10,7,103.0,93,86,7,0,5,1.000,1,7,8.13,5.47,1B-OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
26,Tony Batista,27,TOT,121,116,113,1043.0,384,107,261,16,37,.958,12,14,3.18,3.04,3B-SS
27,Rick Bauer,24,BAL,6,6,0,33.0,4,1,2,1,1,.750,,,0.82,0.50,P
28,Rod Beck,32,BOS,68,0,0,80.2,19,3,16,0,2,1.000,,,2.12,0.28,P
29,Kevin Beirne,27,TOR,5,0,0,7.0,4,1,3,0,0,1.000,,,5.14,0.80,P
30,David Bell,28,SEA,134,121,116,1136.0,369,98,257,14,22,.962,19,20,2.81,2.61,3B-1B
31,Rob Bell,24,TEX,18,18,0,105.1,16,7,9,0,2,1.000,,,1.37,0.89,P
32,Mark Bellhorn,26,OAK,26,16,13,169.0,73,21,47,5,4,.932,-2,-14,3.62,2.52,2B-3B-SS-OF
33,Clay Bellinger,32,NYY,47,22,9,237.2,82,45,34,3,8,.963,0,0,2.99,1.58,3B-OF-1B-SS
34,Carlos Beltrán,24,KCR,152,152,145,1324.0,423,404,14,5,6,.988,5,5,2.84,2.75,OF
35,Joaquín Benoit,23,TEX,1,1,0,5.0,0,0,0,0,0,,,,0.00,0.00,P
36,Brandon Berger,26,KCR,5,5,4,41.0,7,7,0,0,0,1.000,0,-6,1.54,1.40,OF
37,Adam Bernero,24,DET,5,0,0,12.1,4,3,1,0,0,1.000,,,2.92,0.80,P
38,Ángel Berroa,23,KCR,14,12,12,112.2,64,21,40,3,9,.953,1,11,4.87,4.36,SS
39,Dante Bichette,37,BOS,53,52,32,427.2,88,80,4,4,1,.955,-3,-9,1.77,1.58,OF
40,Rocky Biddle,25,CHW,30,21,0,128.2,22,6,15,1,0,.955,,,1.47,0.70,P
41,Nick Bierbrodt,23,TBD,11,11,0,61.1,7,1,6,0,0,1.000,,,1.03,0.64,P
42,Larry Bigbie,23,BAL,40,33,28,304.2,73,71,2,0,1,1.000,-1,-4,2.16,1.83,OF
43,Willie Blair,35,DET,9,4,0,24.0,6,3,3,0,0,1.000,,,2.25,0.67,P
44,Casey Blake,27,TOT,12,6,5,71.0,52,45,5,2,4,.962,-1,-15,6.34,3.85,1B-3B
45,Brian Boehringer,32,NYY,22,0,0,34.2,2,0,2,0,0,1.000,,,0.52,0.09,P
46,Bret Boone,32,SEA,156,152,148,1370.0,705,286,409,10,90,.986,12,10,4.57,4.46,2B
47,Pedro Borbón,33,TOR,71,0,0,53.1,9,3,6,0,0,1.000,,,1.52,0.13,P
48,Pat Borders,38,SEA,5,1,1,19.0,13,10,2,1,0,.923,0,0,5.68,2.40,C
49,Mike Bordick,35,BAL,58,58,56,508.2,259,107,146,6,28,.977,-4,-9,4.48,4.36,SS
50,Dave Borkowski,24,DET,15,0,0,29.2,6,1,4,1,1,.833,,,1.52,0.33,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
51,Toby Borland,32,ANA,2,0,0,3.1,2,1,1,0,0,1.000,,,5.40,1.00,P
52,Brian Bowles,24,TOR,2,0,0,3.2,0,0,0,0,0,,,,0.00,0.00,P
53,Chad Bradford,26,OAK,35,0,0,36.2,8,0,8,0,0,1.000,,,1.96,0.23,P
54,Milton Bradley,23,CLE,9,3,3,44.2,14,12,1,1,0,.929,2,46,2.62,1.44,OF
55,Darren Bragg,31,NYY,3,0,0,8.0,2,2,0,0,0,1.000,0,45,2.25,0.67,OF
56,Jeff Brantley,37,TEX,18,0,0,21.0,0,0,0,0,0,,,,0.00,0.00,P
57,Russell Branyan,25,CLE,97,81,50,723.2,203,78,111,14,8,.931,-9,-14,2.35,1.80,3B-OF
58,Leslie Brea,27,BAL,2,0,0,2.0,0,0,0,0,0,,,,0.00,0.00,P
59,Scott Brosius,34,NYY,120,120,114,1080.2,342,82,238,22,21,.936,-1,-1,2.67,2.62,3B-OF
60,Dee Brown,23,KCR,83,79,75,701.0,164,159,3,2,1,.988,3,5,2.08,1.95,OF
61,Cliff Brumbaugh,27,TEX,6,4,2,31.0,6,6,0,0,0,1.000,-2,-77,1.74,1.00,OF
62,Brian Buchanan,27,MIN,46,36,18,290.0,73,70,1,2,0,.973,-2,-8,2.20,1.54,OF
63,Mark Buehrle,22,CHW,32,32,4,221.1,63,11,49,3,5,.952,,,2.44,1.88,P
64,Jay Buhner,36,SEA,12,10,2,73.0,15,15,0,0,0,1.000,-1,-8,1.85,1.25,OF
65,Dave Burba,34,CLE,32,27,1,150.2,35,17,18,0,1,1.000,,,2.09,1.09,P
66,Jamie Burke,29,ANA,9,0,0,11.1,13,12,1,0,0,1.000,0,21,10.32,1.44,C-1B
67,Morgan Burkhart,29,BOS,5,4,4,36.0,31,29,2,0,4,1.000,-1,-33,7.75,6.20,1B
68,Ellis Burks,36,CLE,20,19,12,144.2,27,25,2,0,0,1.000,-3,-27,1.68,1.35,OF
69,Homer Bush,28,TOR,78,76,68,660.2,411,153,254,4,68,.990,2,4,5.54,5.22,2B
70,Paul Byrd,30,KCR,16,15,1,93.1,21,5,15,1,0,.952,,,1.93,1.25,P
71,Eric Byrnes,25,OAK,12,8,2,80.0,15,14,0,1,0,.933,0,2,1.58,1.17,OF
72,Jolbert Cabrera,28,CLE,135,57,37,687.0,225,130,89,6,12,.973,-1,-2,2.87,1.44,OF-3B-2B-SS
73,Mickey Callaway,26,TBD,2,0,0,5.0,0,0,0,0,0,,,,0.00,0.00,P
74,Mike Cameron,28,SEA,149,140,132,1272.1,424,410,8,6,2,.986,11,10,2.96,2.81,OF
75,Ken Caminiti,38,TEX,53,51,47,441.2,150,42,99,9,10,.940,-4,-12,2.87,2.66,3B
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
76,José Canseco,36,CHW,2,2,0,13.0,1,1,0,0,0,1.000,0,-28,0.69,0.50,OF
77,Javier Cardona,25,DET,44,30,21,270.1,150,132,15,3,1,.980,2,9,4.89,3.34,C
78,Chris Carpenter,26,TOR,34,34,3,215.2,36,11,25,0,6,1.000,,,1.50,1.06,P
79,Héctor Carrasco,31,MIN,56,0,0,73.2,6,0,5,1,0,.833,,,0.61,0.09,P
80,Vinny Castilla,33,TBD,24,24,23,206.1,76,26,45,5,5,.934,1,3,3.10,2.96,3B
81,Alberto Castillo,31,TOR,66,44,28,404.2,353,324,25,4,0,.989,3,9,7.76,5.29,C
82,Carlos Castillo,26,BOS,2,0,0,3.0,1,1,0,0,0,1.000,,,3.00,0.50,P
83,Frank Castillo,32,BOS,26,26,0,136.2,32,16,16,0,1,1.000,,,2.11,1.23,P
