Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,Andy Abad,30,BOS,8,4,3,45.0,37,35,1,1,2,.973,0,11,0,0,,7.20,4.50,1B-OF
2,Paul Abbott,35,KCR,10,8,0,47.2,15,8,6,1,0,.933,,,1,4,,2.64,1.40,P
3,Brent Abernathy,25,TOT,11,7,7,76.1,42,13,28,1,4,.976,2,27,-2,-31,,4.83,3.73,2B
4,Juan Acevedo,33,TOT,39,0,0,38.1,9,6,2,1,0,.889,,,-2,-63,,1.88,0.21,P
5,Jon Adkins,25,CHW,4,0,0,9.1,3,2,1,0,0,1.000,,,-1,-21,,2.89,0.75,P
6,Jeremy Affeldt,24,KCR,36,18,0,126.0,24,4,19,1,2,.958,,,-2,-3,,1.64,0.64,P
7,Kurt Ainsworth,24,BAL,3,0,0,2.1,1,1,0,0,0,1.000,,,0,0,,3.86,0.33,P
8,Erick Almonte,25,NYY,31,29,21,252.1,128,49,67,12,13,.906,-7,-35,-8,-38,,4.14,3.74,SS
9,Héctor Almonte,27,BOS,7,0,0,7.2,1,1,0,0,0,1.000,,,0,0,,1.17,0.14,P
10,Roberto Alomar,35,CHW,67,65,57,557.1,293,119,171,3,37,.990,-5,-12,-5,-11,,4.68,4.33,2B
11,Sandy Alomar,37,CHW,75,57,43,511.0,388,371,16,1,3,.997,0,0,-3,-8,,6.82,5.16,C
12,Alfredo Amézaga,25,ANA,35,32,28,287.1,133,51,77,5,12,.962,2,6,-1,-3,,4.01,3.46,SS-3B
13,Brian Anderson,31,TOT,32,31,2,197.2,47,8,37,2,2,.957,,,7,42,,2.05,1.41,P
14,Garret Anderson,31,ANA,144,144,130,1241.1,340,326,13,1,2,.997,25,24,0,0,,2.46,2.35,OF
15,Jason Anderson,24,NYY,22,0,0,20.2,1,1,0,0,0,1.000,,,0,0,,0.44,0.05,P
16,Marlon Anderson,29,TBD,137,120,113,1087.1,563,198,350,15,91,.973,-4,-5,1,1,,4.54,4.00,2B-OF
17,Matt Anderson,26,DET,23,0,0,23.1,4,1,2,1,0,.750,,,0,0,,1.16,0.13,P
18,Kevin Appier,35,TOT,23,23,0,111.2,10,4,6,0,0,1.000,,,-2,-21,,0.81,0.43,P
19,Bronson Arroyo,26,BOS,6,0,0,17.1,2,2,0,0,0,1.000,,,0,0,,1.04,0.33,P
20,Miguel Asencio,22,KCR,8,8,1,48.1,10,2,7,1,1,.900,,,-1,-4,,1.68,1.13,P
21,Steve Avery,33,DET,19,0,0,16.0,7,4,3,0,1,1.000,,,0,0,,3.94,0.37,P
22,Brandon Backe,25,TBD,28,0,0,44.2,6,3,3,0,1,1.000,,,1,4,,1.21,0.21,P
23,Danys Báez,25,CLE,73,0,0,75.2,17,5,11,1,0,.941,,,2,5,,1.90,0.22,P
24,Rocco Baldelli,21,TBD,154,149,147,1322.2,456,437,14,5,4,.989,3,2,4,3,,3.07,2.93,OF
25,James Baldwin,31,MIN,10,0,0,15.0,7,3,3,1,0,.857,,,-1,-13,,3.60,0.60,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
26,Grant Balfour,25,MIN,17,1,0,26.0,4,0,4,0,0,1.000,,,1,8,,1.38,0.24,P
27,Josh Bard,25,CLE,87,80,75,715.2,546,486,55,5,7,.991,3,5,2,3,,6.80,6.22,C
28,Tony Batista,29,BAL,154,154,151,1364.1,403,91,292,20,33,.950,-1,-1,-2,-2,,2.53,2.49,3B
29,Rick Bauer,26,BAL,35,0,0,61.1,11,2,9,0,1,1.000,,,2,7,,1.61,0.31,P
30,Rob Bell,26,TBD,19,18,0,101.0,20,9,10,1,0,.950,,,1,2,,1.69,1.00,P
31,Carlos Beltrán,26,KCR,130,129,119,1123.0,386,371,10,5,3,.987,15,16,0,0,,3.05,2.93,OF
32,Alan Benes,31,TEX,4,4,0,15.0,3,2,1,0,0,1.000,,,-2,-27,,1.80,0.75,P
33,Armando Benítez,30,TOT,24,0,0,23.2,3,3,0,0,0,1.000,,,0,0,,1.14,0.13,P
34,Joaquín Benoit,25,TEX,25,17,0,105.0,24,8,15,1,0,.958,,,3,6,,1.97,0.92,P
35,Jason Bere,32,CLE,2,2,0,6.2,2,0,2,0,0,1.000,,,0,0,,2.70,1.00,P
36,Dave Berg,32,TOR,48,40,29,348.1,149,66,78,5,10,.966,-5,-17,-13,-44,,3.72,2.88,2B-3B-OF-1B-SS
37,Brandon Berger,28,KCR,11,8,5,69.2,17,16,1,0,0,1.000,2,31,-4,-68,,2.20,1.55,OF
38,Adam Bernero,26,DET,18,17,0,100.2,20,6,14,0,1,1.000,,,-2,-4,,1.79,1.11,P
39,Ángel Berroa,25,KCR,158,158,149,1381.2,761,264,473,24,108,.968,2,1,-9,-8,,4.80,4.66,SS
40,Rafael Betancourt,28,CLE,33,0,0,38.0,3,1,2,0,0,1.000,,,-1,-5,,0.71,0.09,P
41,Nick Bierbrodt,25,TOT,18,5,0,43.1,3,1,2,0,1,1.000,,,-2,-55,,0.62,0.17,P
42,Larry Bigbie,25,BAL,80,78,74,686.0,171,165,5,1,0,.994,-7,-11,-20,-34,,2.23,2.13,OF
43,Casey Blake,29,CLE,151,148,120,1324.2,542,222,301,19,51,.965,11,10,14,13,,3.55,3.06,3B-1B
44,Hank Blalock,22,TEX,142,132,128,1179.0,373,112,245,16,33,.957,3,3,27,27,,2.73,2.46,3B-2B
45,Willie Bloomquist,25,SEA,72,50,38,480.0,161,72,85,4,11,.975,11,28,4,10,,2.94,2.07,3B-SS-OF-2B-1B
46,Hiram Bocachica,27,DET,6,5,5,45.0,12,11,1,0,0,1.000,0,0,0,0,,2.40,2.00,OF
47,Jeremy Bonderman,20,DET,33,28,0,162.0,40,14,25,1,2,.975,,,-3,-4,,2.17,1.18,P
48,Aaron Boone,30,NYY,54,52,50,462.1,153,36,111,6,7,.961,4,9,5,13,,2.86,2.72,3B
49,Bret Boone,34,SEA,158,158,145,1375.0,701,268,426,7,107,.990,5,4,-4,-4,,4.54,4.39,2B
50,Chris Bootcheck,24,ANA,4,1,0,10.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
51,Joe Borchard,24,CHW,16,15,14,133.0,32,32,0,0,0,1.000,-3,-28,0,0,,2.17,2.00,OF
52,Pat Borders,40,SEA,9,4,2,39.0,31,29,2,0,0,1.000,2,55,-1,-25,,7.15,3.44,C-3B
