Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
1,Jeff Abbott,28,FLA,17,8,8,85.2,27,26,0,1,0,.963,0,6,2.73,1.53,OF
2,Kurt Abbott,32,ATL,2,1,0,10.0,10,2,8,0,0,1.000,2,204,9.00,5.00,2B-SS
3,Bobby Abreu,27,PHI,162,159,154,1411.1,327,308,11,8,4,.976,1,1,2.03,1.97,OF
4,Jose Acevedo,23,CIN,18,18,0,96.0,14,4,10,0,1,1.000,,,1.31,0.78,P
5,Juan Acevedo,31,TOT,57,0,0,60.1,11,4,6,1,1,.909,,,1.49,0.17,P
6,Terry Adams,28,LAD,43,22,0,166.1,45,13,31,1,2,.978,,,2.38,1.02,P
7,Benny Agbayani,29,NYM,84,82,39,631.2,130,123,1,6,0,.954,-12,-23,1.77,1.48,OF
8,Kurt Ainsworth,22,SFG,2,0,0,2.0,0,0,0,0,0,,,,0.00,0.00,P
9,Cory Aldridge,22,ATL,4,1,1,12.0,2,2,0,0,0,1.000,0,-20,1.50,0.50,OF
10,Antonio Alfonseca,29,FLA,58,0,0,61.2,14,6,8,0,1,1.000,,,2.04,0.24,P
11,Edgardo Alfonzo,27,NYM,122,119,103,1026.1,519,211,301,7,61,.987,1,1,4.49,4.20,2B
12,Armando Almanza,28,FLA,52,0,0,41.0,3,0,3,0,0,1.000,,,0.66,0.06,P
13,Moisés Alou,34,HOU,130,130,97,1116.2,217,205,10,2,3,.991,-4,-4,1.73,1.65,OF
14,Brian Anderson,29,ARI,29,22,1,133.1,43,9,32,2,2,.953,,,2.77,1.41,P
15,Jimmy Anderson,25,PIT,34,34,1,206.1,48,8,37,3,0,.938,,,1.96,1.32,P
16,Marlon Anderson,27,PHI,140,138,123,1210.2,669,270,387,12,86,.982,9,9,4.88,4.69,2B
17,Rick Ankiel,21,STL,6,6,0,24.0,3,0,3,0,0,1.000,,,1.13,0.50,P
18,Kevin Appier,33,NYM,33,33,1,206.2,34,11,21,2,2,.941,,,1.39,0.97,P
19,Alex Arias,33,SDP,56,31,17,316.2,198,132,61,5,13,.975,-2,-6,5.49,3.16,1B-2B-SS-3B
20,Tony Armas,23,MON,34,34,0,196.2,37,14,20,3,1,.919,,,1.56,1.00,P
21,Bronson Arroyo,24,PIT,24,13,1,88.1,20,3,15,2,1,.900,,,1.83,0.75,P
22,Andy Ashby,33,LAD,2,2,0,11.2,1,0,1,0,0,1.000,,,0.77,0.50,P
23,Pedro Astacio,32,TOT,26,26,4,169.2,36,10,25,1,1,.972,,,1.86,1.35,P
24,Justin Atchley,27,CIN,15,0,0,10.1,0,0,0,0,0,,,,0.00,0.00,P
25,Rich Aurilia,29,SFG,149,146,132,1313.0,686,246,423,17,108,.975,5,4,4.59,4.49,SS
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
26,Brad Ausmus,32,HOU,127,120,107,1056.2,1013,948,62,3,9,.997,12,14,8.60,7.95,C
27,Bruce Aven,29,LAD,9,1,1,30.0,5,5,0,0,0,1.000,-1,-40,1.50,0.56,OF
28,Manny Aybar,29,CHC,17,1,0,22.2,5,2,2,1,0,.800,,,1.59,0.24,P
29,Benito Báez,24,FLA,8,0,0,9.1,1,0,1,0,0,1.000,,,0.96,0.13,P
30,Jeff Bagwell,33,HOU,160,159,149,1414.2,1446,1291,143,12,123,.992,1,1,9.12,8.96,1B
31,Paul Bako,29,ATL,60,45,32,397.1,351,319,29,3,1,.991,0,0,7.88,5.80,C
32,James Baldwin,29,LAD,12,12,0,79.1,14,5,8,1,1,.929,,,1.47,1.08,P
33,Rod Barajas,25,ARI,50,31,20,278.1,191,179,11,1,3,.995,-2,-9,6.14,3.80,C
34,Glen Barker,30,HOU,60,5,3,120.0,36,36,0,0,0,1.000,2,15,2.70,0.60,OF
35,Andy Barkett,28,PIT,14,11,8,95.2,54,50,4,0,2,1.000,1,8,5.08,3.86,OF-1B
36,Michael Barrett,24,MON,131,129,120,1126.0,937,880,50,7,6,.993,-13,-14,7.43,7.10,C
37,Kimera Bartee,28,COL,10,3,1,39.2,9,8,0,1,0,.889,1,15,1.82,0.80,OF
38,Miguel Batista,30,ARI,48,18,0,139.1,25,7,17,1,1,.960,,,1.55,0.50,P
39,Danny Bautista,29,ARI,61,42,30,412.2,106,102,4,0,2,1.000,4,13,2.31,1.74,OF
40,Josh Beckett,21,FLA,4,4,0,24.0,6,0,6,0,0,1.000,,,2.25,1.50,P
41,Joe Beimel,24,PIT,42,15,0,115.1,22,3,17,2,0,.909,,,1.56,0.48,P
42,Todd Belitz,25,COL,8,0,0,9.1,1,0,1,0,0,1.000,,,0.96,0.13,P
43,Derek Bell,32,PIT,46,42,36,371.1,82,78,3,1,1,.988,0,-1,1.96,1.76,OF
44,Jay Bell,35,ARI,115,111,87,967.1,406,175,224,7,46,.983,-4,-4,3.71,3.33,2B-3B
45,Rob Bell,24,CIN,9,9,0,44.1,7,1,6,0,1,1.000,,,1.42,0.78,P
46,Ronnie Belliard,26,MIL,96,93,90,826.2,508,213,290,5,66,.990,14,20,5.48,5.24,2B
47,Adrián Beltré,22,LAD,125,122,115,1089.0,337,103,218,16,18,.953,-4,-4,2.65,2.55,3B-SS
48,Marvin Benard,30,SFG,109,85,54,781.0,226,213,5,8,2,.965,-2,-3,2.51,2.00,OF
49,Alan Benes,29,STL,9,1,0,14.2,1,1,0,0,0,1.000,,,0.61,0.11,P
50,Andy Benes,33,STL,27,19,0,107.1,16,7,9,0,1,1.000,,,1.34,0.59,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
51,Armando Benítez,28,NYM,73,0,0,76.1,8,4,4,0,0,1.000,,,0.94,0.11,P
52,Gary Bennett,29,TOT,43,36,27,328.0,258,247,9,2,3,.992,-1,-4,7.02,5.95,C
53,Jason Bere,30,CHC,32,32,2,188.0,28,12,15,1,0,.964,,,1.29,0.84,P
54,Dave Berg,30,FLA,66,46,41,447.1,204,66,130,8,26,.961,-1,-3,3.94,2.84,2B-SS-3B
55,Peter Bergeron,23,MON,101,97,90,846.2,227,220,6,1,1,.996,-7,-10,2.40,2.24,OF
56,Lance Berkman,25,HOU,155,153,126,1368.0,318,306,6,6,1,.981,-3,-2,2.05,2.01,OF
57,Wilson Betemit,19,ATL,1,0,0,1.0,0,0,0,0,0,,0,0,0.00,0.00,SS
58,Nick Bierbrodt,23,ARI,5,5,0,23.0,9,1,8,0,1,1.000,,,3.52,1.80,P
59,Craig Biggio,35,HOU,154,152,139,1344.2,680,280,389,11,86,.984,-11,-9,4.48,4.34,2B
60,Henry Blanco,29,MIL,102,94,81,837.1,719,645,68,6,9,.992,5,7,7.66,6.99,C
61,Matt Blank,25,MON,5,4,0,22.2,8,1,7,0,0,1.000,,,3.18,1.60,P
62,Geoff Blum,28,MON,137,120,98,1076.0,403,215,180,8,27,.980,-5,-5,3.30,2.63,3B-OF-2B-1B-SS
63,Hiram Bocachica,25,LAD,38,24,12,216.0,86,32,47,7,8,.919,-3,-14,3.29,1.98,2B-3B-OF
64,Brian Boehringer,32,SFG,29,0,0,34.1,1,1,0,0,0,1.000,,,0.26,0.03,P
65,Tim Bogar,34,LAD,6,2,0,24.0,12,10,2,0,1,1.000,0,-15,4.50,2.00,SS-1B-3B
66,Brian Bohanon,32,COL,20,19,0,97.0,17,5,12,0,0,1.000,,,1.58,0.85,P
67,Barry Bonds,36,SFG,143,141,115,1231.2,260,246,8,6,1,.977,-5,-4,1.86,1.78,OF
68,Ricky Bones,32,FLA,61,0,0,64.0,21,4,16,1,3,.952,,,2.81,0.33,P
69,Bobby Bonilla,38,STL,42,31,20,271.1,252,239,11,2,27,.992,-2,-11,8.29,5.68,1B-OF-P
70,Aaron Boone,28,CIN,103,101,95,884.2,298,72,207,19,17,.936,-6,-7,2.84,2.71,3B
71,Joe Borowski,30,CHC,1,1,0,1.2,0,0,0,0,0,,,,0.00,0.00,P
72,Ricky Bottalico,31,PHI,66,0,0,67.0,14,3,10,1,0,.929,,,1.75,0.20,P
