Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,David Aardsma,24,CHC,45,0,0,53.0,6,1,5,0,1,1.000,,,-1,-4,0,1.02,0.13,P
2,Reggie Abercrombie,25,FLA,93,67,48,620.2,184,176,3,5,1,.973,-4,-7,-8,-15,-8,2.60,1.92,OF
3,Bobby Abreu,32,PHI,97,95,93,848.0,183,178,4,1,0,.995,-5,-7,-12,-16,2,1.93,1.88,OF
4,Jeremy Accardo,24,SFG,38,0,0,40.1,8,2,6,0,0,1.000,,,1,5,0,1.79,0.21,P
5,Mike Adams,27,MIL,2,0,0,2.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
6,Jon Adkins,28,SDP,55,0,0,54.1,14,1,12,1,2,.929,,,1,4,0,2.15,0.24,P
7,Jeremy Affeldt,27,COL,27,0,0,27.1,8,1,7,0,1,1.000,,,-1,-7,0,2.63,0.30,P
8,Chris Aguila,27,FLA,31,18,9,181.2,41,39,2,0,0,1.000,2,10,2,13,0,2.03,1.32,OF
9,Matt Albers,23,HOU,4,2,0,15.0,8,4,4,0,1,1.000,,,0,0,0,4.80,2.00,P
10,Manny Alexander,35,SDP,22,9,8,108.1,50,14,34,2,9,.960,1,13,1,14,0,3.99,2.18,SS-3B
11,Eliézer Alfonzo,27,SFG,84,80,73,700.1,603,567,31,5,3,.992,0,0,-2,-3,-2,7.68,7.12,C
12,Sandy Alomar,40,LAD,18,11,10,115.1,83,80,2,1,1,.988,-2,-21,-2,-18,1,6.40,4.56,C
13,Moisés Alou,39,SFG,92,90,56,725.2,178,173,1,4,0,.978,0,0,-10,-16,-4,2.16,1.89,OF
14,Alfredo Amézaga,28,FLA,109,82,51,754.2,279,209,64,6,20,.978,-6,-9,6,9,-3,3.26,2.31,OF-2B-SS-3B-1B
