Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Baltimore Orioles,20,28.3,4.94,74,88,0.457,4.56,162,162,160,2,9,0,38,1427.2,1458,800,724,180,580,32,1052,52,11,70,6242,95,4.51,1.428,9.2,1.1,3.7,6.6,1.81,1159
Boston Red Sox,26,33.6,4.97,95,67,0.586,4.74,162,162,156,6,8,0,38,1429.0,1550,805,752,164,440,28,959,89,4,56,6227,96,4.28,1.393,9.8,1.0,2.8,6.0,2.18,1135
Chicago White Sox,17,29.3,3.98,99,63,0.611,3.61,162,162,153,9,10,4,54,1475.2,1392,645,592,167,459,42,1040,52,9,65,6176,125,4.12,1.254,8.5,1.0,2.8,6.3,2.27,1104
Cleveland Indians,17,29.2,3.96,93,69,0.574,3.61,162,162,156,6,10,0,51,1452.2,1363,642,582,157,413,20,1050,41,4,26,6048,117,3.92,1.223,8.4,1.0,2.6,6.5,2.54,1048
Detroit Tigers,23,28.0,4.86,71,91,0.438,4.51,162,162,155,7,2,0,37,1435.2,1504,787,719,193,461,33,907,51,5,53,6139,94,4.57,1.369,9.4,1.2,2.9,5.7,1.97,1045
Kansas City Royals,22,25.7,5.77,56,106,0.346,5.49,162,162,158,4,4,0,25,1413.1,1640,935,862,178,580,33,924,74,9,69,6370,80,4.74,1.571,10.4,1.1,3.7,5.9,1.59,1195
Los Angeles Angels of Anaheim,18,28.5,3.97,95,67,0.586,3.68,162,162,155,7,11,3,54,1464.1,1419,643,598,158,443,24,1126,48,1,70,6158,116,3.89,1.272,8.7,1.0,2.7,6.9,2.54,1122
Minnesota Twins,15,27.9,4.09,83,79,0.512,3.71,162,162,153,9,8,4,44,1464.1,1458,662,604,169,348,38,965,43,4,35,6072,120,4.0,1.233,9.0,1.0,2.1,5.9,2.77,1017
New York Yankees,28,34.2,4.87,95,67,0.586,4.52,162,162,154,8,14,4,46,1430.2,1495,789,718,164,463,25,985,84,6,37,6182,94,4.28,1.369,9.4,1.0,2.9,6.2,2.13,1101
Oakland Athletics,20,26.6,4.06,88,74,0.543,3.69,162,162,153,9,12,2,38,1450.1,1315,658,594,154,504,42,1075,60,3,41,6080,118,4.08,1.254,8.2,1.0,3.1,6.7,2.13,1071
Seattle Mariners,21,31.4,4.64,69,93,0.426,4.49,162,162,156,6,7,2,39,1427.2,1483,751,712,179,496,32,892,57,4,36,6172,94,4.56,1.386,9.3,1.1,3.1,5.6,1.8,1138
Tampa Bay Devil Rays,21,27.4,5.78,67,95,0.414,5.39,162,162,161,1,4,0,43,1421.2,1570,936,851,194,615,41,949,64,5,53,6384,81,4.89,1.537,9.9,1.2,3.9,6.0,1.54,1183
Texas Rangers,30,30.5,5.3,79,83,0.488,4.96,162,162,160,2,6,1,46,1440.0,1589,858,794,159,522,31,932,60,4,44,6371,93,4.37,1.466,9.9,1.0,3.3,5.8,1.79,1193
Toronto Blue Jays,18,28.2,4.35,80,82,0.494,4.06,162,162,153,9,8,3,35,1447.0,1475,705,653,185,444,29,958,68,5,39,6166,110,4.42,1.326,9.2,1.2,2.8,6.0,2.16,1120
League Average,21,29.2,4.68,82,80,0.504,4.35,162,162,156,6,8,2,42,1441.0,1479,758,697,172,483,32,987,60,5,50,6199,100,4.33,1.362,9.2,1.1,3.0,6.2,2.04,1116
,292,29.2,4.68,1144,1124,0.504,4.35,2268,2268,2183,85,113,23,588,20180.0,20711,10616,9755,2401,6768,450,13814,843,74,694,86787,100,4.33,1.362,9.2,1.1,3.0,6.2,2.04,15631
