Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,20,31.7,4.16,98,64,0.605,3.92,162,162,148,14,10,5,40,1446.2,1361,674,630,170,421,30,1303,54,11,48,6067,116,3.67,1.232,8.5,1.1,2.6,8.1,3.1,1053
Atlanta Braves,20,31.1,3.51,101,59,0.631,3.13,161,161,158,3,15,2,57,1467.1,1302,565,511,123,554,63,1058,42,4,40,6131,133,3.83,1.265,8.0,0.8,3.4,6.5,1.91,1164
Chicago Cubs,22,27.6,4.69,67,95,0.414,4.29,162,162,151,11,9,3,23,1441.1,1373,759,687,167,606,53,1333,58,2,44,6236,94,4.0,1.373,8.6,1.0,3.8,8.3,2.2,1153
Cincinnati Reds,21,28.7,4.78,78,84,0.481,4.27,162,162,160,2,8,1,42,1453.2,1502,774,690,173,550,63,980,56,2,52,6296,100,4.41,1.412,9.3,1.1,3.4,6.1,1.78,1161
Colorado Rockies,22,28.5,5.54,73,89,0.451,5.2,162,162,161,1,8,0,43,1426.2,1554,898,825,225,582,49,920,64,6,42,6345,92,5.08,1.497,9.8,1.4,3.7,5.8,1.58,1167
Florida Marlins,21,26.1,4.71,79,83,0.488,4.36,162,162,151,11,12,6,36,1456.1,1449,763,706,151,631,46,1104,58,7,55,6340,92,4.21,1.428,9.0,0.9,3.9,6.8,1.75,1208
Houston Astros,21,27.3,4.29,84,78,0.519,4.0,162,162,160,2,11,2,43,1445.0,1423,695,642,151,546,78,1219,55,3,38,6205,108,3.88,1.363,8.9,0.9,3.4,7.6,2.23,1175
Los Angeles Dodgers,19,31.0,3.97,92,70,0.568,3.69,162,162,158,4,15,2,56,1457.2,1311,643,598,165,555,45,1132,46,3,33,6139,103,4.12,1.28,8.1,1.0,3.4,7.0,2.04,1123
Milwaukee Brewers,25,26.8,5.07,56,106,0.346,4.73,162,162,155,7,4,3,32,1432.1,1468,821,752,199,666,82,1026,62,8,64,6339,86,4.86,1.49,9.2,1.3,4.2,6.4,1.54,1221
Montreal Expos,20,27.7,4.43,83,79,0.512,3.97,162,162,153,9,3,1,39,1453.0,1475,718,641,165,508,80,1088,46,5,51,6246,107,4.08,1.365,9.1,1.0,3.1,6.7,2.14,1169
New York Mets,25,30.3,4.37,75,86,0.466,3.89,161,161,152,9,10,6,36,1442.2,1408,703,624,163,543,75,1107,55,7,22,6212,103,4.14,1.352,8.8,1.0,3.4,6.9,2.04,1181
Philadelphia Phillies,20,28.5,4.5,80,81,0.497,4.17,161,161,156,5,9,3,47,1449.2,1381,724,671,153,570,54,1075,70,5,68,6222,93,4.18,1.346,8.6,0.9,3.5,6.7,1.89,1149
Pittsburgh Pirates,19,28.1,4.53,72,89,0.447,4.23,161,161,159,2,7,1,47,1412.2,1447,730,664,163,572,93,920,55,5,34,6131,101,4.49,1.429,9.2,1.0,3.6,5.9,1.61,1163
San Diego Padres,37,27.8,5.03,66,96,0.407,4.62,162,162,157,5,10,2,40,1436.1,1522,815,737,177,582,61,1108,66,4,51,6333,81,4.37,1.465,9.5,1.1,3.6,6.9,1.9,1209
San Francisco Giants,17,29.2,3.8,95,66,0.59,3.54,162,162,152,10,13,5,43,1437.1,1349,616,566,116,523,44,992,36,2,36,6056,109,3.8,1.302,8.4,0.7,3.3,6.2,1.9,1128
St. Louis Cardinals,26,30.2,4.0,97,65,0.599,3.7,162,162,158,4,9,2,42,1446.1,1355,648,595,141,547,39,1009,60,2,40,6135,109,4.09,1.315,8.4,0.9,3.4,6.3,1.84,1148
League Average,21,28.8,4.46,81,81,0.501,4.11,162,162,156,6,10,3,42,1444.0,1418,722,659,163,560,60,1086,55,5,45,6215,101,4.2,1.369,8.8,1.0,3.5,6.8,1.94,1161
,332,28.8,4.46,1296,1290,0.501,4.11,2588,2588,2489,99,153,44,666,23105.0,22680,11546,10539,2602,8956,955,17374,883,76,718,99433,101,4.2,1.369,8.8,1.0,3.5,6.8,1.94,18572
