Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Tuesday, Mar 25",boxscore,BOS,@,OAK,W,6,5,10,1-0,1,up 0.5,Okajima,Street,Papelbon,3:39,N,44628,.99,+,
2,"Wednesday, Mar 26",boxscore,BOS,@,OAK,L,1,5,,1-1,1,Tied,Harden,Lester,,2:51,N,44735,1.05,-,
Gm#,April,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
3,"Tuesday, Apr 1",boxscore,BOS,@,OAK,W,2,1,,2-1,1,Tied,Matsuzaka,Blanton,Papelbon,2:39,N,36067,1.03,+,
4,"Wednesday, Apr 2",boxscore,BOS,@,OAK,W,5,0,,3-1,1,up 1.0,Lester,Embree,,3:00,D,21625,1.02,++,
5,"Friday, Apr 4",boxscore,BOS,@,TOR,L,3,6,,3-2,1,Tied,Marcum,Aardsma,Accardo,2:24,N,50171,1.19,-,
6,"Saturday, Apr 5",boxscore,BOS,@,TOR,L,2,10,,3-3,4,1.0,Litsch,Buchholz,,3:02,D,35238,1.18,--,
7,"Sunday, Apr 6",boxscore,BOS,@,TOR,L,4,7,,3-4,5,2.0,Halladay,Beckett,Accardo,2:58,D,30114,1.15,---,
8,"Tuesday, Apr 8",boxscore,BOS,,DET,W,5,0,,4-4,3,2.5,Matsuzaka,Rogers,,3:29,D,36567,.96,+,
9,"Wednesday, Apr 9",boxscore,BOS,,DET,L,2,7,,4-5,3,3.0,Bonderman,Lester,,3:45,N,37190,1.01,-,
10,"Thursday, Apr 10",boxscore,BOS,,DET,W,12,6,,5-5,2,1.5,Wakefield,Robertson,Papelbon,3:44,N,37612,.97,+,
11,"Friday, Apr 11",boxscore,BOS,,NYY,L,1,4,,5-6,5,1.5,Wang,Timlin,,2:59,N,37624,1.14,-,
12,"Saturday, Apr 12",boxscore,BOS,,NYY,W,4,3,,6-6,3,1.5,Beckett,Mussina,Papelbon,2:49,D,37461,1.11,+,
13,"Sunday, Apr 13",boxscore,BOS,,NYY,W,8,5,,7-6,3,0.5,Matsuzaka,Hughes,,3:55,N,37876,1.13,++,
14,"Monday, Apr 14",boxscore,BOS,@,CLE,W,6,4,,8-6,2,0.5,Timlin,Borowski,Papelbon,3:40,N,21802,1.06,+++,
15,"Tuesday, Apr 15",boxscore,BOS,@,CLE,W,5,3,,9-6,1,up 0.5,Aardsma,Lewis,Okajima,3:24,N,25135,1.09,++++,
16,"Wednesday, Apr 16",boxscore,BOS,@,NYY,L,9,15,,9-7,1,Tied,Hawkins,Tavarez,Bruney,4:08,N,54667,1.26,-,
17,"Thursday, Apr 17",boxscore,BOS,@,NYY,W,7,5,,10-7,1,up 0.5,Beckett,Mussina,,3:20,N,55088,1.32,+,
18,"Friday, Apr 18",boxscore,BOS,,TEX,W,11,3,,11-7,1,up 0.5,Matsuzaka,Mendoza,,3:13,N,37902,1.15,++,
19,"Saturday, Apr 19",boxscore,BOS,,TEX,W,5,3,,12-7,1,up 0.5,López,Benoit,Papelbon,2:56,N,37958,1.24,+++,
20,"Sunday, Apr 20",boxscore,BOS,,TEX,W,6,5,,13-7,1,up 1.5,Wakefield,Wilson,Papelbon,2:40,D,37480,1.23,++++,
21,"Monday, Apr 21",boxscore,BOS,,TEX,W,8,3,,14-7,1,up 2.0,Buchholz,Nippert,,3:33,D,37539,1.22,+++++,
22,"Tuesday, Apr 22",boxscore,BOS,,LAA,W,7,6,,15-7,1,up 3.0,Timlin,Oliver,Papelbon,3:21,N,37982,1.25,++++++,
23,"Wednesday, Apr 23",boxscore,BOS,,LAA,L,4,6,,15-8,1,up 2.0,Garland,Hansen,Rodríguez,2:52,N,38172,1.30,-,
24,"Thursday, Apr 24",boxscore,BOS,,LAA,L,5,7,,15-9,1,up 1.0,Saunders,Delcarmen,Rodríguez,3:17,D,37848,1.23,--,
25,"Friday, Apr 25",boxscore,BOS,@,TBR,L-wo,4,5,11,15-10,1,up 0.5,Dohmann,Timlin,,4:00,N,30290,1.39,---,
26,"Saturday, Apr 26",boxscore,BOS,@,TBR,L,1,2,,15-11,1,Tied,Dohmann,Buchholz,Percival,2:47,N,36048,1.41,----,
27,"Sunday, Apr 27",boxscore,BOS,@,TBR,L,0,3,,15-12,1,Tied,Shields,Beckett,,2:25,D,32363,1.41,-----,
28,"Tuesday, Apr 29",boxscore,BOS,,TOR,W-wo,1,0,,16-12,2,0.5,Papelbon,Halladay,,2:18,N,37215,1.26,+,
29,"Wednesday, Apr 30",boxscore,BOS,,TOR,W-wo,2,1,,17-12,1,up 0.5,Papelbon,Downs,,3:00,N,37710,1.30,++,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
30,"Thursday, May 1",boxscore,BOS,,TOR,L,0,3,,17-13,1,Tied,Burnett,Wakefield,Ryan,2:44,N,37821,1.33,-,
31,"Friday, May 2",boxscore,BOS,,TBR,W,7,3,,18-13,1,up 0.5,Buchholz,Jackson,,3:16,N,37541,1.41,+,
32,"Saturday, May 3",boxscore,BOS,,TBR,W,12,4,,19-13,1,up 1.5,Beckett,Shields,,3:13,N,37700,1.44,++,
33,"Sunday, May 4",boxscore,BOS,,TBR,W,7,3,,20-13,1,up 2.5,Lester,Kazmir,Papelbon,3:39,D,37091,1.44,+++,
34,"Monday, May 5",boxscore,BOS,@,DET,W,6,3,,21-13,1,up 3.5,Matsuzaka,Bonderman,Papelbon,3:29,N,39478,1.30,++++,
