Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 6",boxscore,NYY,,TOR,L,1,6,,0-1,4,1.0,Hutchison,Tanaka,,2:59,D,48469,1.04,-,
2,"Wednesday, Apr 8",boxscore,NYY,,TOR,W,4,3,,1-1,2,0.5,Betances,Loup,Miller,2:56,N,31020,.99,+,
3,"Thursday, Apr 9",boxscore,NYY,,TOR,L,3,6,,1-2,4,1.0,Norris,Sabathia,Castro,2:52,N,32152,1.02,-,
4,"Friday, Apr 10",boxscore,NYY,,BOS,L,5,6,19,1-3,4,2.0,Wright,Rogers,,6:49,N,41292,.99,--,
5,"Saturday, Apr 11",boxscore,NYY,,BOS,L,4,8,,1-4,5,3.0,Kelly,Warren,,3:13,D,46678,.93,---,
6,"Sunday, Apr 12",boxscore,NYY,,BOS,W,14,4,,2-4,5,2.0,Tanaka,Buchholz,,3:24,N,43019,.86,+,
7,"Monday, Apr 13",boxscore,NYY,@,BAL,W,6,5,,3-4,4,2.0,Pineda,Hunter,Miller,3:09,N,21633,.90,++,
8,"Tuesday, Apr 14",boxscore,NYY,@,BAL,L,3,4,,3-5,5,3.0,González,Sabathia,Britton,2:29,N,19283,.98,-,
9,"Wednesday, Apr 15",boxscore,NYY,@,BAL,L,5,7,,3-6,5,3.0,Brach,Carpenter,Britton,3:14,N,23409,.91,--,
10,"Friday, Apr 17",boxscore,NYY,@,TBR,W,5,4,,4-6,5,3.0,Betances,Jepsen,Miller,3:12,N,15752,.89,+,
11,"Saturday, Apr 18",boxscore,NYY,@,TBR,W,9,0,,5-6,5,2.0,Tanaka,Odorizzi,,3:07,N,20824,.94,++,
12,"Sunday, Apr 19",boxscore,NYY,@,TBR,W,5,3,,6-6,3,1.0,Pineda,Andriese,Miller,3:33,D,21791,1.01,+++,
13,"Monday, Apr 20",boxscore,NYY,@,DET,L,1,2,,6-7,3,2.0,Simon,Sabathia,Soria,2:20,N,27540,1.01,-,
14,"Tuesday, Apr 21",boxscore,NYY,@,DET,W,5,2,,7-7,2,2.0,Eovaldi,Lobstein,Miller,3:24,N,27031,.94,+,
15,"Wednesday, Apr 22",boxscore,NYY,@,DET,W,13,4,,8-7,2,1.0,Warren,Price,,3:35,N,27389,.99,++,
16,"Thursday, Apr 23",boxscore,NYY,@,DET,W,2,1,,9-7,1,Tied,Betances,Gorzelanny,Miller,3:02,D,27754,1.03,+++,
17,"Friday, Apr 24",boxscore,NYY,,NYM,W,6,1,,10-7,1,Tied,Pineda,deGrom,,2:33,N,45310,1.05,++++,
18,"Saturday, Apr 25",boxscore,NYY,,NYM,L,2,8,,10-8,1,Tied,Harvey,Sabathia,,2:45,D,47909,1.08,-,
19,"Sunday, Apr 26",boxscore,NYY,,NYM,W,6,4,,11-8,1,Tied,Shreve,Niese,Miller,2:45,N,47510,1.05,+,
20,"Monday, Apr 27",boxscore,NYY,,TBR,W,4,1,,12-8,1,up 1.0,Wilson,Gomes,Miller,2:59,N,34590,1.25,++,
21,"Tuesday, Apr 28",boxscore,NYY,,TBR,W,4,2,,13-8,1,up 2.0,Whitley,Odorizzi,Martin,2:58,N,36934,1.35,+++,
22,"Wednesday, Apr 29",boxscore,NYY,,TBR,L,2,3,13,13-9,1,up 1.0,Gomes,Shreve,Frieri,3:58,D,30055,1.40,-,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
23,"Friday, May 1",boxscore,NYY,@,BOS,W,3,2,,14-9,1,up 1.0,Rogers,Tazawa,Miller,3:14,N,35444,1.29,+,
24,"Saturday, May 2",boxscore,NYY,@,BOS,W,4,2,,15-9,1,up 2.0,Eovaldi,Miley,Betances,2:44,D,36611,1.31,++,
25,"Sunday, May 3",boxscore,NYY,@,BOS,W,8,5,,16-9,1,up 3.0,Warren,Kelly,Miller,3:52,N,33198,1.37,+++,
26,"Monday, May 4",boxscore,NYY,@,TOR,L,1,3,,16-10,1,up 2.0,Dickey,Martin,Cecil,2:18,N,19217,1.37,-,
27,"Tuesday, May 5",boxscore,NYY,@,TOR,W,6,3,,17-10,1,up 3.0,Pineda,Estrada,Miller,2:54,N,21519,1.37,+,
28,"Wednesday, May 6",boxscore,NYY,@,TOR,L,1,5,,17-11,1,up 2.0,Buehrle,Sabathia,,2:30,N,21312,1.40,-,
29,"Thursday, May 7",boxscore,NYY,,BAL,W,4,3,,18-11,1,up 3.0,Eovaldi,Tillman,Miller,2:51,N,39816,1.36,+,
30,"Friday, May 8",boxscore,NYY,,BAL,W,5,4,,19-11,1,up 3.0,Betances,González,Miller,3:05,N,38731,1.40,++,
31,"Saturday, May 9",boxscore,NYY,,BAL,L,2,6,,19-12,1,up 2.0,Chen,Whitley,Britton,2:55,D,41280,1.37,-,
32,"Sunday, May 10",boxscore,NYY,,BAL,W,6,2,,20-12,1,up 3.0,Pineda,Norris,,3:03,D,39059,1.43,+,
33,"Monday, May 11",boxscore,NYY,@,TBR,W,11,5,,21-12,1,up 4.0,Sabathia,Colomé,,2:48,N,10619,1.54,++,
34,"Tuesday, May 12",boxscore,NYY,@,TBR,L,2,4,,21-13,1,up 3.0,Jepsen,Eovaldi,Boxberger,2:33,N,10417,1.51,-,
35,"Wednesday, May 13",boxscore,NYY,@,TBR,L,2,3,,21-14,1,up 2.0,Karns,Warren,Boxberger,2:41,N,11924,1.51,--,
36,"Thursday, May 14",boxscore,NYY,@,TBR,L,1,6,,21-15,1,up 1.0,Ramírez,Whitley,Andriese,2:45,N,11977,1.49,---,
37,"Friday, May 15",boxscore,NYY,@,KCR,L,1,12,,21-16,1,up 1.0,Young,Pineda,,3:12,N,34584,1.25,----,
38,"Saturday, May 16",boxscore,NYY,@,KCR,W,5,1,,22-16,1,up 2.0,Sabathia,Duffy,,2:52,N,31871,1.33,+,
39,"Sunday, May 17",boxscore,NYY,@,KCR,L,0,6,,22-17,1,up 1.0,Volquez,Capuano,,3:03,D,31251,1.33,-,
40,"Tuesday, May 19",boxscore,NYY,@,WSN,L-wo,6,8,10,22-18,1,Tied,Grace,Miller,,3:20,N,37355,1.25,--,
41,"Wednesday, May 20",boxscore,NYY,@,WSN,L,2,3,,22-19,1,Tied,Zimmermann,Warren,Storen,2:43,N,37648,1.21,---,
42,"Friday, May 22",boxscore,NYY,,TEX,L,9,10,,22-20,2,1.5,Lewis,Pineda,Ohlendorf,3:19,N,40008,1.23,----,
43,"Saturday, May 23",boxscore,NYY,,TEX,L,4,15,,22-21,2,1.5,Martinez,Sabathia,,3:03,D,42067,1.18,-----,
44,"Sunday, May 24",boxscore,NYY,,TEX,L,2,5,,22-22,2,1.5,Gallardo,Capuano,Tolleson,3:25,N,45681,1.13,------,
45,"Monday, May 25",boxscore,NYY,,KCR,W,14,1,,23-22,2,0.5,Eovaldi,Guthrie,,3:12,D,36031,1.13,+,
46,"Tuesday, May 26",boxscore,NYY,,KCR,W,5,1,,24-22,1,up 0.5,Warren,Vargas,,2:31,N,33414,1.18,++,
47,"Wednesday, May 27",boxscore,NYY,,KCR,W,4,2,,25-22,1,up 1.5,Pineda,Young,Miller,2:42,D,32734,1.24,+++,
48,"Thursday, May 28",boxscore,NYY,@,OAK,L,4,5,,25-23,1,up 1.0,Scribner,Sabathia,Clippard,2:50,N,21795,1.26,-,
49,"Friday, May 29",boxscore,NYY,@,OAK,L,2,6,,25-24,1,up 1.0,Gray,Capuano,Clippard,2:49,N,23540,1.19,--,
50,"Saturday, May 30",boxscore,NYY,@,OAK,W,5,3,,26-24,1,up 1.0,Shreve,Hahn,Miller,3:06,N,25223,1.23,+,
51,"Sunday, May 31",boxscore,NYY,@,OAK,L,0,3,,26-25,1,Tied,Chavez,Warren,Clippard,2:21,D,25457,1.31,-,
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
52,"Monday, Jun 1",boxscore,NYY,@,SEA,W,7,2,,27-25,1,up 1.0,Pineda,Hernández,,2:55,N,26082,1.27,+,
53,"Tuesday, Jun 2",boxscore,NYY,@,SEA,W,5,3,11,28-25,1,up 1.0,Wilson,Wilhelmsen,Miller,3:55,N,27442,1.29,++,
54,"Wednesday, Jun 3",boxscore,NYY,@,SEA,W,3,1,,29-25,1,up 1.0,Tanaka,Walker,Miller,2:21,D,32701,1.33,+++,
55,"Friday, Jun 5",boxscore,NYY,,LAA,W,8,7,,30-25,1,up 0.5,Eovaldi,Weaver,Betances,3:27,N,40310,1.40,++++,
56,"Saturday, Jun 6",boxscore,NYY,,LAA,W,8,2,,31-25,1,up 1.5,Warren,Richards,,3:05,N,40096,1.42,+++++,
57,"Sunday, Jun 7",boxscore,NYY,,LAA,W,6,2,,32-25,1,up 1.5,Sabathia,Wilson,,2:20,D,43178,1.40,++++++,
58,"Tuesday, Jun 9",boxscore,NYY,,WSN,W,6,1,,33-25,1,up 2.5,Tanaka,Scherzer,,2:51,N,36613,1.40,+++++++,
59,"Wednesday, Jun 10",boxscore,NYY,,WSN,L,4,5,11,33-26,1,up 1.5,Treinen,Capuano,Storen,3:36,D,39847,1.42,-,
60,"Friday, Jun 12",boxscore,NYY,@,BAL,L,3,11,,33-27,1,up 1.0,Jiménez,Pineda,,3:18,N,33203,1.64,--,
61,"Saturday, Jun 13",boxscore,NYY,@,BAL,L,4,9,,33-28,1,Tied,Roe,Martin,,3:14,N,38909,1.56,---,
62,"Sunday, Jun 14",boxscore,NYY,@,BAL,W,5,3,,34-28,1,Tied,Shreve,Wright,Betances,3:29,D,36343,1.55,+,
63,"Monday, Jun 15",boxscore,NYY,@,MIA,L,1,2,,34-29,2,1.0,Koehler,Tanaka,Ramos,2:41,N,33961,1.37,-,
64,"Tuesday, Jun 16",boxscore,NYY,@,MIA,L,2,12,,34-30,2,1.0,Phelps,Eovaldi,,3:09,N,33083,1.33,--,
