Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
Arizona Diamondbacks,,6101,-148,4,-4,35,60,-54,-6.6,179,126,10.5,0.498,0.499,7.3,3.4,90,"$52,067,546"
Atlanta Braves,,6374,12,-2,-2,52,60,120,10.5,187,308,28.3,0.505,0.505,23.5,5.3,256,"$71,655,833"
Chicago Cubs,,6268,-70,-9,1,31,58,11,-0.1,183,195,17.3,0.5,0.502,14.6,2.7,164,"$99,287,332"
Cincinnati Reds,,6332,-49,-3,-3,-51,61,-46,-5.8,186,140,11.9,0.498,0.5,17.3,-5.1,191,"$68,142,480"
Colorado Rockies,,6498,-17,7,-2,14,63,65,5.2,190,255,23.3,0.503,0.504,22.2,1.4,241,"$53,541,000"
Florida Marlins,,6344,28,-8,2,-57,56,21,0.8,185,207,18.4,0.501,0.501,24.4,-5.8,264,"$30,127,000"
Houston Astros,,6324,-78,-15,3,-53,56,-86,-9.8,186,100,8.0,0.496,0.498,13.5,-5.4,154,"$87,379,000"
Los Angeles Dodgers,,6282,-85,-4,9,-5,56,-29,-4.0,183,155,13.5,0.499,0.5,14.3,-0.7,160,"$108,059,524"
Milwaukee Brewers,,6238,-3,2,1,-14,59,45,3.2,184,229,20.7,0.502,0.502,22.4,-1.4,242,"$65,236,500"
New York Mets,,6344,5,10,9,32,59,115,10.1,183,299,27.5,0.505,0.505,24.7,3.0,267,"$114,947,663"
Philadelphia Phillies,,6537,49,12,-2,40,64,162,14.8,188,350,32.9,0.507,0.506,29.3,3.8,310,"$88,668,213"
Pittsburgh Pirates,,6214,-71,-15,-1,-22,59,-50,-6.2,183,133,11.3,0.498,0.499,13.9,-2.3,155,"$38,537,833"
San Diego Padres,,6326,-26,-1,-3,-5,59,24,1.2,185,210,19.0,0.501,0.501,19.9,-0.6,215,"$57,726,567"
San Francisco Giants,,6213,-159,1,1,12,56,-89,-10.1,183,94,7.4,0.496,0.498,6.5,0.8,82,"$90,219,056"
St. Louis Cardinals,,6211,-51,-4,-9,34,52,22,0.9,184,205,18.5,0.501,0.502,15.4,3.1,171,"$89,904,823"
Washington Nationals,,6201,-84,-4,-1,-18,51,-57,-6.8,183,127,10.7,0.498,0.499,12.9,-2.2,145,"$30,537,500"
,0.0,100807,-746,-29,-3,25,929,176,-2.6,2953,3131,279.1,0.5,0.501,281.9,0.0,3105,"$1,146,037,870"
