Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Anaheim Angels,1452.1,562,162,644,3.99,4.9,0.61,0.01,99.1,4.26,38,4.1,1.32,-0.9,18.4,205,0.507,0.502,"$26,744,167"
Baltimore Orioles,1450.2,569,162,773,4.8,5.01,0.27,-0.01,96.4,4.57,-43,-3.4,1.23,-0.8,11.0,125,0.494,0.501,"$19,030,863"
Boston Red Sox,1446.0,500,162,665,4.14,4.83,0.39,0.01,100.9,4.49,51,6.2,1.14,-1.4,19.9,218,0.512,0.503,"$52,373,333"
Chicago White Sox,1423.0,585,162,798,5.05,4.74,0.08,0.0,101.0,4.71,-59,-4.9,1.08,-1.1,8.9,105,0.492,0.5,"$13,395,833"
Cleveland Indians,1424.2,583,162,837,5.29,4.83,-0.31,0.0,99.3,5.1,-36,-1.8,1.02,-1.0,12.1,129,0.497,0.5,"$37,593,448"
Detroit Tigers,1414.0,533,161,864,5.5,4.93,-0.26,0.0,96.0,4.98,-87,-7.1,1.14,-0.7,7.0,76,0.487,0.499,"$21,795,500"
Kansas City Royals,1441.0,583,162,891,5.56,4.91,-0.13,-0.01,110.3,5.54,-9,0.0,1.13,-1.3,13.8,157,0.5,0.501,"$16,590,000"
Minnesota Twins,1444.2,596,161,712,4.44,4.79,0.13,-0.02,100.0,4.64,27,3.1,1.23,0.0,18.2,193,0.505,0.504,"$29,702,500"
New York Yankees,1452.0,495,161,697,4.32,4.81,-0.35,0.02,99.2,5.14,126,13.2,1.3,0.1,28.4,294,0.527,0.507,"$60,407,219"
Oakland Athletics,1452.0,570,162,654,4.05,4.94,-0.04,0.02,96.9,4.85,122,13.2,1.35,-1.2,27.1,290,0.523,0.506,"$13,330,000"
Seattle Mariners,1445.1,505,162,699,4.35,4.92,0.03,0.01,95.4,4.67,45,5.5,1.3,-0.5,20.0,212,0.511,0.505,"$30,283,333"
Tampa Bay Devil Rays,1440.1,467,161,918,5.74,4.98,-0.05,0.0,99.7,5.01,-122,-11.3,1.12,-1.8,1.9,45,0.476,0.496,"$13,528,000"
Texas Rangers,1439.2,649,162,882,5.51,4.93,-0.14,-0.02,105.6,5.34,-34,-2.4,1.32,-1.9,10.8,132,0.496,0.5,"$30,104,803"
Toronto Blue Jays,1438.1,623,162,828,5.18,4.93,-0.05,-0.02,103.0,5.11,-18,-0.7,1.17,-1.4,13.0,149,0.499,0.501,"$25,272,333"
,20164.0,7820,2264,10862,4.85,4.89,0.01,0.0,100.2,4.88,0,13.8,1.2,-13.8,210.6,2329,0.502,0.502,"$390,151,332"
