Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1402.0,731,162,956,6.14,4.86,-0.2,-0.03,0.05,102.9,5.23,-149,-13.4,1.05,-0.5,-0.4,-4,0.482,0.498,"$3,400,000"
Boston Red Sox,1419.0,725,162,749,4.75,4.78,0.1,0.0,0.09,107.5,5.13,52,6.3,1.2,-1.1,18.9,198,0.509,0.502,"$82,570,000"
Chicago White Sox,1403.1,674,162,636,4.08,4.63,-0.18,0.02,0.06,101.4,4.95,128,14.4,1.15,-1.1,26.7,273,0.521,0.505,"$50,446,333"
Cleveland Indians,1408.0,697,162,727,4.65,4.69,-0.03,0.0,0.07,99.6,4.77,12,2.0,1.04,-1.0,14.5,158,0.503,0.502,"$4,645,500"
Detroit Tigers,1419.2,739,162,756,4.79,4.7,-0.21,-0.02,0.1,98.5,4.92,12,1.8,1.09,-1.0,14.4,158,0.502,0.5,"$26,970,000"
Houston Astros,1445.0,674,162,658,4.1,4.63,0.45,0.02,0.1,98.7,4.23,14,2.0,1.21,-1.4,14.4,163,0.503,0.501,"$71,100,000"
Kansas City Royals,1417.1,718,162,788,5.0,4.75,0.19,-0.01,0.06,104.4,4.81,-38,-2.9,1.06,-1.1,9.6,108,0.496,0.5,"$34,950,000"
Los Angeles Angels,1421.2,724,162,804,5.09,4.78,-0.19,-0.01,0.06,102.1,5.12,-3,0.8,1.11,-0.6,13.8,144,0.501,0.501,"$46,600,000"
Minnesota Twins,1419.1,691,162,834,5.29,4.68,0.24,-0.01,0.12,98.3,4.47,-137,-12.0,1.16,-1.8,-0.1,10,0.483,0.499,"$45,875,000"
New York Yankees,1435.1,674,162,669,4.19,4.82,-0.19,0.0,0.09,99.5,5.09,134,14.7,1.41,-0.6,27.8,282,0.522,0.505,"$96,780,000"
Oakland Athletics,1433.0,666,162,687,4.31,4.71,-0.03,0.02,0.06,95.3,4.59,37,4.3,1.08,-1.3,16.7,184,0.506,0.502,"$25,887,500"
Seattle Mariners,1440.1,746,162,748,4.67,4.72,-0.01,0.0,0.11,95.3,4.61,-18,-0.7,1.27,-0.3,12.8,131,0.499,0.501,"$37,420,500"
Tampa Bay Rays,1455.2,693,162,651,4.02,4.67,0.44,-0.02,0.11,94.4,4.08,2,1.2,1.24,-1.0,14.2,152,0.502,0.501,"$20,120,500"
Texas Rangers,1424.1,669,162,815,5.15,4.8,0.59,0.0,0.1,101.8,4.38,-130,-11.8,1.01,-1.5,0.4,17,0.482,0.498,"$25,907,666"
Toronto Blue Jays,1405.1,698,162,663,4.25,4.76,0.15,0.01,0.07,103.1,4.83,83,9.4,1.05,-1.5,21.4,228,0.514,0.503,"$50,820,500"
,21349.1,10519,2430,11141,4.7,4.73,0.08,0.0,0.08,100.2,4.75,0,15.9,1.14,-15.9,205.1,2201,0.502,0.501,"$623,493,499"
