Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1466.2,712,162,713,4.38,4.24,0.33,-0.02,105.0,4.08,-49,-4.5,1.16,-0.8,7.9,75,0.494,0.5,"$25,058,500"
Atlanta Braves,1425.1,694,162,760,4.8,4.27,-0.3,0.0,97.9,4.48,-51,-4.6,1.23,-0.5,7.7,69,0.493,0.5,"$24,943,750"
Chicago Cubs,1461.1,714,162,608,3.74,4.14,0.02,0.0,97.2,4.01,42,5.6,1.24,-1.4,17.3,165,0.508,0.502,"$72,826,300"
Cincinnati Reds,1453.1,683,162,754,4.67,4.16,-0.07,-0.01,100.8,4.25,-68,-6.1,1.08,-1.1,5.9,54,0.491,0.5,"$50,967,286"
Colorado Rockies,1426.1,746,162,844,5.33,4.24,-0.23,-0.02,116.9,5.2,-21,-1.3,1.06,-1.3,10.3,99,0.498,0.5,"$34,316,000"
Los Angeles Dodgers,1445.2,677,162,595,3.7,4.2,0.01,0.01,94.9,3.99,44,7.0,1.24,-1.7,18.3,166,0.51,0.504,"$101,703,929"
Miami Marlins,1427.0,648,162,678,4.28,4.18,0.13,0.0,96.6,3.91,-59,-5.8,1.13,-1.0,6.0,61,0.491,0.499,"$40,835,000"
Milwaukee Brewers,1435.0,658,162,737,4.62,4.15,-0.18,-0.01,101.1,4.37,-42,-3.7,0.92,-1.4,7.8,79,0.494,0.501,"$35,176,000"
New York Mets,1462.2,647,162,613,3.77,4.16,-0.1,0.02,96.7,4.14,58,7.6,1.14,-1.1,19.6,181,0.512,0.503,"$34,140,075"
Philadelphia Phillies,1436.1,665,162,809,5.07,4.2,-0.48,-0.01,98.0,4.57,-80,-6.8,0.92,-0.9,5.3,40,0.49,0.5,"$14,579,000"
Pittsburgh Pirates,1489.2,662,162,596,3.6,4.14,0.16,0.0,99.1,3.95,57,7.0,1.22,-1.2,19.1,182,0.511,0.503,"$45,029,166"
San Diego Padres,1440.1,678,162,731,4.57,4.22,-0.05,0.0,96.2,4.11,-74,-6.9,1.02,-0.1,5.9,47,0.49,0.499,"$55,561,100"
San Francisco Giants,1444.1,719,162,627,3.91,4.23,0.15,0.0,99.0,4.04,20,2.6,1.19,-1.2,14.4,141,0.504,0.502,"$94,895,000"
St. Louis Cardinals,1464.2,677,162,525,3.23,4.19,0.01,0.01,100.1,4.19,156,18.2,1.25,-1.2,30.1,279,0.527,0.505,"$59,055,500"
Washington Nationals,1434.2,630,162,635,3.98,4.17,-0.21,0.01,100.5,4.41,67,8.1,1.21,-1.7,19.3,188,0.513,0.503,"$94,508,300"
,21713.1,10210,2430,10225,4.24,4.19,-0.05,0.0,100.0,4.24,0,16.5,1.14,-16.5,194.8,1824,0.502,0.501,"$783,594,906"
