Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.74,-21.4,-2.1,6480,-2.4,109.5,-111.9,1.02,0.5,-2.9,-0.1%,23.3%,-23.4%,0.36,-0.8%,-16.4,-1.6,0.97,-16.3,1.31,65
Boston Red Sox,5.06,-7.3,-1.0,6596,4.3,118.4,-114.0,1.02,4.9,-0.6,5.0%,89.3%,-84.3%,1.26,0.8%,10.7,0.7,0.97,41.6,1.65,77
Chicago White Sox,5.36,19.0,1.5,6543,5.8,113.5,-107.7,0.95,7.6,-1.5,2.6%,102.9%,-100.3%,1.46,-3.1%,61.3,5.3,0.94,54.9,1.35,120
Cleveland Indians,5.37,69.8,6.2,6474,4.0,107.5,-103.5,0.93,6.8,-2.5,1.2%,26.3%,-25.1%,0.37,1.1%,88.9,8.0,0.96,70.9,1.47,82
Detroit Tigers,5.07,-19.8,-1.9,6377,0.6,108.5,-107.8,0.95,3.5,-2.8,2.1%,50.0%,-47.9%,0.7,2.1%,30.6,2.7,0.93,28.1,1.26,72
Kansas City Royals,4.67,-76.3,-7.2,6423,-2.2,109.5,-111.7,1.01,-4.8,2.6,-1.1%,6.8%,-7.9%,0.11,-6.8%,-44.7,-4.2,0.94,-73.3,1.61,76
Los Angeles Angels of Anaheim,4.73,-40.6,-3.9,6503,-3.0,109.7,-112.7,1.0,0.0,-2.9,-3.0%,59.0%,-62.0%,0.9,-2.6%,-29.0,-2.8,0.93,-15.8,1.44,82
Minnesota Twins,4.94,10.6,0.8,6470,2.6,107.8,-105.2,0.96,0.7,2.0,1.6%,70.5%,-68.9%,1.04,0.5%,21.3,1.8,0.96,-2.1,1.3,84
New York Yankees,5.74,104.9,9.5,6715,12.5,122.0,-109.6,0.99,13.5,-0.9,10.0%,86.4%,-76.4%,1.16,1.3%,140.1,12.6,0.99,126.9,1.53,91
Oakland Athletics,4.76,-15.0,-1.5,6426,2.7,114.1,-111.4,1.02,-1.0,3.6,1.2%,80.2%,-79.0%,1.2,1.6%,-10.2,-1.1,0.97,-19.2,2.08,52
Seattle Mariners,4.67,-49.5,-4.7,6459,-6.5,107.7,-114.1,1.02,-3.9,-2.5,-4.9%,38.5%,-43.4%,0.63,-4.5%,-30.3,-3.0,0.94,-55.6,1.64,107
Tampa Bay Devil Rays,4.25,-100.9,-9.5,6326,-11.9,100.4,-112.3,1.0,-6.7,-5.2,-0.6%,17.3%,-18.0%,0.27,0.3%,-99.5,-9.4,0.92,-84.9,1.58,71
Texas Rangers,5.15,3.6,0.2,6427,1.0,107.5,-106.5,0.95,3.5,-2.4,2.1%,61.4%,-59.3%,0.89,0.7%,40.5,3.6,0.95,18.3,1.24,35
Toronto Blue Jays,4.99,70.4,6.4,6398,2.9,109.7,-106.8,0.95,5.6,-2.5,2.3%,54.1%,-51.8%,0.78,0.0%,23.1,2.0,0.95,37.0,1.41,104
League Average,4.97,-4.0,-1.0,6473,1.0,110.0,-110.0,0.98,2.0,-1.0,1%,55%,-53%,0.8,1%,13.0,1.0,0.0,8.0,0.0,80
,4.97,-52.5,-7.1,90617,10.6,1545.7,-1535.2,0.98,30.2,-19.5,18.2%,766.1%,-747.7%,0.8,8.8%,186.2,14.4,0.95,110.2,1.49,1118
