Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.4,-151.2,-14.4,6308,-3.3,104.3,-107.5,0.98,-5.9,2.5,-0.4%,92.3%,-92.8%,1.41,2.9%,-66.4,-6.2,0.93,-81.7,1.26,214
Atlanta Braves,5.0,5.9,0.3,6553,1.2,112.1,-110.9,0.99,2.8,-1.6,-0.1%,85.9%,-86.0%,1.27,-2.2%,55.4,4.9,0.97,31.0,1.21,254
Chicago Cubs,4.64,-93.7,-9.1,6480,-3.6,109.1,-112.7,0.99,-0.5,-3.1,-1.3%,98.9%,-100.2%,1.47,-0.5%,-23.6,-2.4,0.95,-11.3,1.29,221
Cincinnati Reds,4.83,-52.8,-5.2,6522,-1.9,114.1,-116.0,1.03,1.8,-3.6,-2.1%,20.4%,-22.5%,0.32,-7.7%,4.3,0.1,0.96,22.2,1.38,233
Colorado Rockies,5.28,-19.0,-2.1,6712,7.6,122.2,-114.5,1.01,6.8,0.8,9.2%,106.3%,-97.1%,1.45,2.1%,66.0,5.6,0.97,70.0,1.19,250
Florida Marlins,4.88,29.0,2.4,6553,2.8,113.4,-110.5,0.99,6.3,-3.5,0.3%,32.9%,-32.7%,0.49,-2.5%,39.8,3.5,0.96,59.9,1.14,258
Houston Astros,4.46,-80.7,-7.8,6491,-8.1,110.8,-118.9,1.06,-5.7,-2.0,-3.6%,26.2%,-29.7%,0.43,-4.8%,-54.0,-5.4,0.96,-51.1,1.38,244
Los Angeles Dodgers,4.54,-80.1,-7.7,6520,-5.0,108.5,-113.5,1.02,-1.6,-3.3,-5.2%,94.1%,-99.3%,1.48,-2.5%,-31.4,-3.1,0.97,-24.4,1.25,237
Milwaukee Brewers,4.94,-5.3,-0.8,6460,1.7,105.4,-103.7,0.94,4.5,-2.7,0.0%,102.6%,-102.7%,1.55,-2.5%,40.4,3.5,0.94,56.2,1.15,219
New York Mets,4.96,11.0,0.8,6675,5.0,110.3,-105.2,0.96,6.3,-1.1,5.2%,100.2%,-95.0%,1.44,-0.3%,52.6,4.7,0.96,60.0,1.12,232
Philadelphia Phillies,5.51,43.0,3.8,6768,10.3,121.7,-111.4,1.0,14.1,-3.8,10.6%,120.7%,-110.1%,1.67,-2.2%,121.0,10.8,0.98,147.9,1.28,230
Pittsburgh Pirates,4.47,-68.5,-6.6,6384,-7.8,102.1,-109.9,0.98,-2.8,-5.1,-4.0%,24.0%,-28.0%,0.41,-6.5%,-33.5,-3.3,0.94,-38.0,1.17,208
San Diego Padres,4.55,-11.4,-1.2,6469,-3.0,108.1,-111.1,0.99,-1.2,-1.8,1.6%,149.8%,-148.2%,2.24,1.3%,1.1,-0.1,0.94,-18.5,1.19,230
San Francisco Giants,4.22,-156.9,-15.0,6428,-11.1,110.0,-121.1,1.08,-9.0,-1.2,-3.4%,26.2%,-29.7%,0.44,-3.5%,-90.5,-8.7,0.94,-113.4,1.43,231
St. Louis Cardinals,4.48,-59.2,-5.8,6388,-2.2,103.8,-106.0,0.97,-2.9,0.6,-1.6%,47.0%,-48.6%,0.73,-0.2%,-29.5,-3.0,0.97,-42.7,1.13,274
Washington Nationals,4.15,-77.9,-7.5,6372,-7.2,108.2,-115.4,1.06,-7.5,0.6,-2.7%,12.1%,-14.8%,0.22,-7.1%,-68.3,-6.8,0.95,-80.3,1.41,247
League Average,4.71,-48.0,-5.0,6505,-2.0,110.0,-112.0,1.0,0.0,-2.0,0%,71%,-71%,1.07,0%,-1.0,-0.0,0.0,-1.0,0.0,236
,4.71,-767.8,-75.7,104083,-24.5,1764.1,-1788.5,1.0,5.5,-29.9,2.4%,1139.5%,-1137.3%,1.07,0.1%,-16.5,-5.9,0.96,-14.2,1.25,3782
