Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Anaheim Angels,5.25,40.2,3.7,6583,5.3,114.9,-109.6,1.0,2.4,2.9,4.4%,92.5%,-88.0%,1.35,2.0%,75.1,7.0,0.97,31.1,1.51,118
Baltimore Orioles,4.12,-60.3,-5.8,6354,-10.8,105.2,-116.0,1.04,-6.1,-4.3,-1.4%,22.4%,-23.8%,0.36,-2.4%,-105.3,-10.4,0.92,-95.5,1.54,96
Boston Red Sox,5.3,51.3,4.7,6544,3.5,109.0,-105.5,0.96,3.8,-0.2,0.7%,77.1%,-76.4%,1.15,-1.8%,78.5,7.1,0.97,52.5,1.6,99
Chicago White Sox,5.28,50.5,4.6,6406,2.9,100.7,-97.8,0.88,7.9,-4.6,1.0%,38.0%,-36.9%,0.56,-0.4%,86.3,8.0,0.94,70.4,1.41,66
Cleveland Indians,4.56,-30.2,-3.2,6257,-0.2,103.9,-104.2,0.96,-5.3,5.1,-2.2%,30.3%,-32.5%,0.49,-2.3%,-24.6,-2.8,0.95,-55.9,1.94,82
Detroit Tigers,3.57,-100.4,-9.7,6091,-14.1,94.6,-108.7,0.99,-13.9,-0.3,-1.5%,9.9%,-11.4%,0.17,-5.3%,-176.2,-17.7,0.91,-164.0,1.54,40
Kansas City Royals,4.55,-143.8,-14.0,6502,-8.8,108.4,-117.3,1.04,-9.8,1.2,-1.5%,13.2%,-14.7%,0.22,-2.7%,-83.2,-7.8,0.92,-117.5,1.8,100
Minnesota Twins,4.77,22.5,2.0,6421,1.4,112.8,-111.4,1.01,1.0,0.4,2.0%,52.3%,-50.3%,0.78,0.8%,-2.5,-0.4,0.95,5.2,1.5,109
New York Yankees,5.57,120.5,11.2,6602,10.0,117.2,-107.2,0.98,10.7,-0.4,7.8%,68.5%,-60.7%,0.93,1.5%,128.3,11.9,0.97,123.5,1.75,62
Oakland Athletics,4.94,48.2,4.5,6441,7.6,113.7,-106.1,0.98,4.0,3.8,2.9%,74.3%,-71.3%,1.08,1.0%,37.5,3.5,0.96,29.6,1.54,102
Seattle Mariners,5.02,70.8,6.6,6646,4.6,119.2,-114.6,1.06,3.1,1.2,3.4%,89.3%,-85.9%,1.32,0.5%,52.9,4.8,0.99,41.3,2.06,77
Tampa Bay Devil Rays,4.18,-91.3,-8.8,6441,-9.4,111.2,-120.6,1.07,-10.8,2.0,-1.5%,11.9%,-13.4%,0.2,-3.3%,-104.7,-10.3,0.94,-136.1,1.56,43
Texas Rangers,5.2,26.5,2.3,6504,1.8,115.9,-114.1,1.02,5.0,-3.2,-0.5%,18.9%,-19.4%,0.28,-2.6%,43.5,3.8,0.94,48.0,1.82,109
Toronto Blue Jays,5.02,-35.1,-3.5,6400,0.7,105.1,-104.4,0.95,-0.1,0.8,-0.1%,13.1%,-13.1%,0.2,0.8%,22.4,1.9,0.95,-11.1,1.61,76
League Average,4.81,-2.0,-0.0,6442,-0.0,109.0,-110.0,1.0,-1.0,0.0,1%,44%,-43%,0.65,1%,2.0,-0.0,0.0,-13.0,0.0,84
,4.81,-30.6,-5.5,90192,-5.5,1531.8,-1537.3,1.0,-7.9,2.4,13.7%,611.5%,-597.9%,0.65,18.3%,28.1,-1.6,0.95,-178.4,1.66,1179
