Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.3,-52.4,-5.3,6501,-4.6,109.2,-113.7,1.01,-0.1,-4.5,-2.5%,66.5%,-68.9%,1.02,-2.6%,-51.9,-5.1,0.95,-6.2,1.27,273
Atlanta Braves,4.75,-13.5,-1.5,6376,7.2,112.6,-105.4,0.98,6.5,0.9,5.6%,81.6%,-76.0%,1.18,1.2%,40.9,3.6,0.96,49.2,1.13,212
Chicago Cubs,4.34,-53.3,-5.5,6345,-3.9,110.8,-114.6,1.03,0.5,-4.2,-1.3%,45.9%,-47.2%,0.71,-2.3%,-38.9,-3.9,0.94,-3.1,1.26,215
Cincinnati Reds,5.03,35.6,3.2,6511,5.5,114.7,-109.2,0.99,6.1,-0.6,-0.3%,16.3%,-16.7%,0.24,-3.8%,88.3,8.2,0.96,80.0,1.01,229
Colorado Rockies,4.57,-135.1,-13.3,6422,-5.5,105.3,-110.9,0.98,0.0,-5.6,-0.3%,9.0%,-9.4%,0.14,-1.5%,-22.8,-2.3,0.95,-7.0,1.25,237
Florida Marlins,4.43,20.0,1.7,6437,-1.1,104.0,-105.2,0.97,1.1,-2.2,-2.9%,80.6%,-83.5%,1.27,-2.4%,8.7,0.6,0.97,7.6,1.08,217
Houston Astros,4.25,-89.8,-8.9,6362,-7.5,103.9,-111.4,1.01,-3.5,-3.9,-2.2%,84.9%,-87.1%,1.33,0.5%,-37.1,-3.7,0.95,-44.1,1.45,218
Los Angeles Dodgers,4.23,-75.3,-7.5,6299,-4.2,112.1,-116.3,1.08,-4.6,0.7,-1.0%,60.3%,-61.3%,0.95,0.5%,-39.8,-4.1,0.96,-51.5,1.47,260
Milwaukee Brewers,4.48,-27.8,-2.8,6342,-1.1,111.8,-112.8,1.04,0.6,-1.6,-2.3%,37.4%,-39.7%,0.6,-3.3%,-2.2,-0.4,0.96,3.4,1.33,216
New York Mets,4.46,-48.3,-4.9,6411,-0.8,106.1,-106.8,0.99,1.9,-2.7,-2.3%,54.0%,-56.3%,0.86,-3.5%,8.6,0.5,0.95,24.9,1.27,196
Philadelphia Phillies,4.98,-17.9,-1.9,6566,2.0,109.4,-107.5,0.99,4.5,-2.5,0.8%,95.3%,-94.5%,1.45,-2.2%,70.8,6.3,0.98,51.7,1.34,228
Pittsburgh Pirates,4.2,-88.6,-8.7,6370,-9.1,104.1,-113.2,1.01,-2.6,-6.4,-3.1%,21.7%,-24.8%,0.36,-6.0%,-50.7,-5.1,0.95,-28.2,1.24,238
San Diego Padres,4.22,-0.1,-0.2,6496,-2.2,109.6,-111.8,1.04,-2.8,0.7,0.5%,85.5%,-85.0%,1.33,1.6%,-20.5,-2.4,0.97,-21.0,1.35,230
San Francisco Giants,4.01,-120.3,-11.8,6244,-5.0,111.7,-116.8,1.08,-7.8,3.1,-0.2%,41.4%,-41.6%,0.65,3.7%,-87.2,-8.5,0.94,-94.6,1.39,214
St. Louis Cardinals,4.97,-18.9,-2.1,6450,6.6,109.4,-102.8,0.96,6.2,0.7,2.5%,38.8%,-36.3%,0.56,0.6%,75.2,6.8,0.96,69.7,1.21,243
Washington Nationals,3.94,-75.9,-7.5,6292,-9.2,105.8,-115.0,1.06,-7.3,-1.3,-9.9%,79.4%,-89.3%,1.36,-2.5%,-81.9,-8.4,0.95,-74.6,1.56,226
League Average,4.45,-48.0,-5.0,6402,-2.0,109.0,-111.0,1.01,-0.0,-2.0,-1%,56%,-57%,0.88,-1%,-9.0,-1.0,0.0,-3.0,0.0,228
,4.45,-761.7,-76.9,102424,-32.8,1740.5,-1773.5,1.01,-1.3,-31.1,-19.0%,898.6%,-917.6%,0.88,-18.3%,-140.4,-17.9,0.96,-43.8,1.29,3652
