Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Anaheim Angels,4.53,39.3,3.9,6468,8.8,111.0,-102.1,0.98,5.3,3.7,11.7%,116.2%,-104.5%,1.7,3.9%,64.6,6.6,0.93,78.1,115,88,140
Baltimore Orioles,5.12,-25.0,-1.8,6677,1.1,112.6,-111.5,1.01,-0.9,2.0,-0.8%,30.5%,-31.3%,0.47,-0.1%,-24.9,-1.7,0.98,-9.3,155,81,216
Boston Red Sox,4.74,86.6,8.7,6438,8.4,108.9,-100.5,0.95,6.1,2.7,8.5%,91.2%,-82.7%,1.32,2.5%,64.9,6.8,0.93,95.5,133,78,226
Chicago White Sox,5.13,-24.7,-1.9,6382,-4.0,102.2,-106.2,0.93,-2.2,-2.1,-2.0%,65.5%,-67.5%,0.99,-1.2%,-27.7,-2.1,0.93,-3.9,124,69,206
Cleveland Indians,5.29,-76.7,-6.5,6661,-5.1,118.4,-123.6,1.04,-6.3,1.4,-4.0%,53.2%,-57.1%,0.79,-1.5%,-65.3,-5.5,0.96,-61.3,185,98,196
Detroit Tigers,5.21,-70.7,-6.4,6498,-6.8,110.3,-117.1,1.0,-5.2,-1.6,-1.5%,37.6%,-39.0%,0.56,-0.6%,-64.0,-5.8,0.95,-44.6,152,86,194
Kansas City Royals,5.59,-64.7,-5.8,6538,-12.6,101.1,-113.7,0.93,-11.9,-1.7,-3.0%,13.0%,-16.0%,0.21,-10.5%,-114.8,-10.1,0.95,-118.2,129,60,220
Minnesota Twins,4.41,115.3,11.8,6451,14.1,118.8,-104.7,1.02,8.2,5.6,10.9%,83.9%,-73.0%,1.2,3.4%,112.3,11.7,0.92,123.3,176,80,179
New York Yankees,4.99,-23.8,-1.7,6427,6.6,112.4,-105.8,0.99,1.9,4.8,4.1%,46.0%,-41.9%,0.67,5.1%,-9.8,-0.3,0.94,23.0,167,92,177
Oakland Athletics,4.58,64.2,6.3,6502,9.4,126.3,-117.0,1.1,5.7,2.8,4.9%,133.9%,-129.1%,1.96,-0.7%,73.6,7.2,0.94,82.6,169,77,168
Seattle Mariners,5.08,-33.1,-2.7,6554,-2.6,114.8,-117.4,1.03,-2.8,0.2,-0.2%,16.7%,-16.9%,0.25,-1.0%,-21.0,-1.5,0.95,-29.3,160,53,201
Tampa Bay Devil Rays,5.23,-57.1,-5.0,6434,-4.1,101.7,-105.8,0.93,-4.5,0.2,-0.5%,21.0%,-21.5%,0.32,-2.1%,-66.3,-5.9,0.96,-48.1,113,96,192
Texas Rangers,4.9,71.0,7.1,6519,5.1,115.0,-109.9,1.02,-3.6,8.6,4.0%,95.5%,-91.5%,1.42,5.0%,35.9,3.6,0.95,-9.8,151,111,206
Toronto Blue Jays,5.11,-2.6,0.2,6491,-2.0,109.8,-111.7,1.0,-2.4,0.5,-0.6%,18.8%,-19.4%,0.29,-3.8%,-16.4,-1.1,0.96,-5.4,131,101,199
League Average,4.99,-0.0,0.0,6503,1.0,112.0,-110.0,1.0,-1.0,2.0,2%,59%,-57%,0.87,2%,-4.0,0.0,0.0,5.0,147,84,194
,4.99,-2.0,6.2,91040,16.4,1563.4,-1547.0,1.0,-12.7,29.1,31.5%,822.9%,-791.4%,0.87,31.4%,-59.0,2.0,0.95,72.5,2060,1170,2720
