Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.92,-11.9,-0.7,2353,-2.7,37.7,-40.5,0.94,-3.8,0.9,-1.7%,16.0%,-17.7%,0.67,-0.2%,-14.1,-1.0,0.95,-43.9,54,49,97
Atlanta Braves,4.8,14.2,2.1,2356,3.1,38.5,-35.4,0.95,1.0,2.3,2.0%,19.6%,-17.6%,0.8,1.9%,11.3,1.9,0.95,18.4,60,64,104
Chicago Cubs,4.0,37.8,4.1,2219,6.9,40.1,-33.2,0.98,4.9,2.2,3.8%,17.9%,-14.1%,0.72,2.2%,48.7,5.4,0.9,57.6,50,47,91
Cincinnati Reds,4.05,52.6,5.6,2193,4.3,38.1,-33.8,0.97,4.5,-0.1,4.4%,30.9%,-26.5%,1.29,0.7%,42.9,4.4,0.93,53.9,53,41,74
Colorado Rockies,5.88,-17.0,-1.3,2414,0.0,42.6,-42.6,1.0,-2.9,3.0,-0.3%,28.4%,-28.6%,1.11,1.0%,-46.5,-3.8,0.96,-40.8,59,42,88
Los Angeles Dodgers,3.55,78.2,7.9,2244,7.1,44.2,-37.0,1.06,7.2,-0.5,3.4%,14.1%,-10.7%,0.54,2.2%,85.0,8.7,0.91,90.1,68,88,93
Miami Marlins,5.07,-15.1,-0.8,2281,3.0,41.3,-38.4,1.02,-1.7,4.6,2.9%,33.2%,-30.4%,1.36,3.2%,-28.3,-1.8,0.97,-22.6,54,70,91
Milwaukee Brewers,4.4,23.5,2.7,2248,4.3,39.2,-34.9,0.96,3.7,0.8,3.4%,35.1%,-31.7%,1.43,0.1%,24.7,2.9,0.93,45.0,56,38,95
New York Mets,5.13,-38.7,-3.1,2338,-2.9,36.3,-39.2,0.94,-3.3,0.2,-2.4%,23.4%,-25.9%,1.02,-1.0%,-32.2,-2.5,0.96,-36.1,52,49,96
Philadelphia Phillies,5.18,-33.4,-2.8,2249,-4.5,40.8,-45.3,1.07,-2.7,-1.5,-4.5%,35.5%,-40.0%,1.56,-1.2%,-37.9,-3.2,0.96,-36.0,65,49,75
Pittsburgh Pirates,4.97,-9.4,-0.6,2299,-3.5,39.4,-42.9,1.01,-0.8,-2.7,-0.9%,10.0%,-10.9%,0.42,-0.7%,-14.6,-1.1,0.95,2.0,64,55,91
San Diego Padres,4.02,24.6,2.7,2230,1.7,37.4,-35.7,0.95,3.1,-1.3,0.5%,19.7%,-19.2%,0.83,-1.2%,36.7,4.1,0.91,43.1,61,53,104
San Francisco Giants,4.95,-21.6,-1.8,2324,-2.0,38.1,-40.1,0.97,-0.5,-1.5,-1.4%,32.8%,-34.2%,1.39,-0.8%,-15.7,-1.2,0.95,-0.2,70,62,104
St. Louis Cardinals,3.95,16.9,2.2,2036,3.3,34.6,-31.3,0.96,2.8,0.7,3.8%,32.6%,-28.7%,1.5,0.9%,26.6,3.3,0.93,34.3,45,40,92
Washington Nationals,5.02,-28.1,-2.4,2353,-0.3,39.7,-40.0,0.99,-3.8,3.5,-0.6%,15.7%,-16.4%,0.65,1.2%,-22.8,-2.0,0.98,-46.5,58,47,97
League Average,4.66,5.0,1.0,2276,1.0,39.0,-38.0,0.98,1.0,1.0,1%,24%,-24%,1.01,1%,4.0,1.0,0.0,8.0,58,53,93
,4.66,72.6,13.7,34137,17.8,588.0,-570.3,0.98,7.7,10.5,12.2%,364.8%,-352.6%,1.01,7.6%,64.0,14.1,0.94,118.1,869,794,1392
