Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,4.94,-42.4,-3.7,6462,-4.2,105.0,-109.2,0.98,-3.5,-0.8,-1.7%,57.3%,-59.0%,0.89,-0.9%,-53.8,-4.8,0.97,-25.5,147,106,221
Boston Red Sox,4.97,-21.8,-1.8,6417,-2.4,104.2,-106.6,0.95,-3.6,1.1,-0.3%,101.7%,-102.0%,1.54,2.0%,-39.2,-3.4,0.94,-25.3,127,95,220
Chicago White Sox,3.98,142.1,14.4,6395,17.5,127.9,-110.4,1.11,10.4,5.4,7.2%,46.9%,-39.7%,0.67,4.7%,139.5,13.9,0.93,118.9,181,82,149
Cleveland Indians,3.96,95.8,9.6,6222,10.9,113.0,-102.1,1.02,9.6,1.0,11.0%,103.2%,-92.2%,1.54,1.4%,103.7,10.7,0.93,125.3,160,79,170
Detroit Tigers,4.86,-45.6,-4.1,6322,-3.7,105.4,-109.1,0.99,-2.8,-0.9,-0.9%,29.2%,-30.1%,0.46,-1.2%,-43.5,-3.9,0.95,-34.3,151,64,210
Kansas City Royals,5.77,-170.0,-15.8,6579,-17.6,100.9,-118.4,0.94,-16.9,-1.7,-1.7%,8.4%,-10.1%,0.14,-9.4%,-196.7,-18.2,0.98,-186.8,141,91,211
Los Angeles Angels of Anaheim,3.97,99.2,10.0,6355,12.7,120.1,-107.4,1.06,9.4,2.5,12.5%,105.6%,-93.1%,1.55,2.7%,118.1,12.2,0.93,107.3,155,58,165
Minnesota Twins,4.09,116.1,11.9,6210,10.0,116.2,-106.1,1.05,10.6,-1.0,5.0%,74.6%,-69.5%,1.13,-0.5%,112.9,11.6,0.92,130.1,151,96,149
New York Yankees,4.87,-48.1,-3.8,6400,-1.0,102.6,-103.6,0.93,-1.3,0.2,3.2%,103.3%,-100.1%,1.54,2.6%,-43.8,-3.3,0.96,-4.2,131,78,209
Oakland Athletics,4.06,105.2,10.7,6269,8.2,106.0,-97.8,0.97,10.4,-1.9,8.4%,81.3%,-72.9%,1.23,0.9%,102.2,10.6,0.93,128.9,116,80,214
Seattle Mariners,4.64,-35.6,-3.0,6353,-5.3,107.3,-112.7,1.0,-3.1,-2.2,-1.8%,22.5%,-24.3%,0.36,-3.3%,-20.6,-1.7,0.95,-33.2,156,77,200
Tampa Bay Devil Rays,5.78,-165.1,-15.1,6566,-14.7,109.1,-123.7,1.01,-13.0,-1.5,-2.5%,11.3%,-13.8%,0.18,-9.1%,-197.3,-18.1,0.98,-157.6,144,86,171
Texas Rangers,5.3,-52.3,-4.5,6526,-6.4,107.4,-113.8,0.98,-3.7,-2.8,-3.7%,50.1%,-53.7%,0.76,-2.8%,-81.4,-7.1,0.96,-32.1,138,105,211
Toronto Blue Jays,4.35,65.7,7.2,6369,4.7,109.3,-104.6,0.99,3.6,1.2,2.7%,52.7%,-50.0%,0.79,1.4%,61.1,6.8,0.93,58.7,139,103,190
League Average,4.68,3.0,1.0,6389,1.0,110.0,-109.0,1.0,0.0,0.0,3%,61%,-58%,0.91,2%,-3.0,0.0,0.0,12.0,146,86,192
,4.68,43.3,11.8,89445,8.7,1534.2,-1525.6,1.0,6.0,2.6,37.5%,848.1%,-810.6%,0.91,27.1%,-38.9,5.3,0.95,170.0,2037,1200,2690
