Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,5.28,-71.2,-6.5,6574,0.6,113.7,-113.1,1.02,-8.7,9.3,-4.0%,67.9%,-71.8%,1.04,2.2%,-110.0,-10.0,0.96,-109.7,163,76,219
Atlanta Braves,4.16,51.6,5.6,6368,1.8,115.3,-113.5,1.05,4.7,-3.0,4.5%,85.0%,-80.6%,1.27,0.2%,57.4,6.2,0.96,54.7,160,103,221
Chicago Cubs,4.41,40.1,4.3,6384,1.8,113.3,-111.5,1.04,0.1,1.7,-0.8%,46.5%,-47.3%,0.71,-1.2%,30.2,3.2,0.95,9.2,162,82,213
Cincinnati Reds,5.45,-138.0,-12.8,6578,-13.5,103.1,-116.7,0.94,-18.1,3.7,-2.8%,16.0%,-18.8%,0.24,-2.0%,-165.0,-15.3,0.97,-198.4,134,89,268
Colorado Rockies,5.32,-40.5,-3.6,6614,-8.5,111.3,-119.8,1.02,-12.5,4.2,-3.0%,9.0%,-11.9%,0.15,-13.5%,-101.8,-8.8,0.98,-133.4,167,73,219
Florida Marlins,4.52,-34.4,-2.6,6432,2.7,107.1,-104.4,0.99,-0.8,3.6,1.4%,85.5%,-84.1%,1.31,0.9%,-23.8,-1.4,0.97,-17.0,140,87,222
Houston Astros,3.74,117.3,13.0,6169,15.5,110.5,-95.1,0.99,11.7,3.8,13.4%,89.2%,-75.8%,1.34,2.8%,127.9,14.2,0.93,123.3,128,96,210
Los Angeles Dodgers,4.66,-44.0,-4.2,6322,-5.8,104.4,-110.2,0.98,-4.2,-1.7,-4.1%,54.8%,-58.9%,0.87,-1.7%,-38.2,-3.6,0.94,-42.1,142,102,214
Milwaukee Brewers,4.3,44.9,4.7,6404,1.0,114.0,-113.0,1.04,-1.3,2.3,0.0%,38.0%,-38.0%,0.58,0.6%,26.0,2.8,0.95,-9.2,152,83,160
New York Mets,4.0,59.2,6.4,6290,2.8,109.5,-106.7,1.02,3.8,-1.1,0.3%,55.0%,-54.7%,0.86,-2.5%,65.5,7.3,0.96,53.1,124,69,199
Philadelphia Phillies,4.48,31.5,3.5,6283,5.5,105.8,-100.4,0.96,2.7,3.0,2.9%,89.1%,-86.1%,1.37,0.7%,17.0,2.1,0.93,24.9,140,86,216
Pittsburgh Pirates,4.75,-38.8,-3.2,6444,-4.9,104.5,-109.4,0.96,-5.8,0.8,0.1%,23.1%,-23.0%,0.35,2.0%,-47.3,-4.0,0.98,-50.4,142,89,220
San Diego Padres,4.48,-47.9,-3.9,6421,3.2,111.8,-108.6,1.02,-0.3,3.5,0.7%,85.3%,-84.6%,1.29,1.6%,-21.2,-1.4,0.96,-13.1,161,93,202
San Francisco Giants,4.6,-4.0,-0.1,6446,-1.0,114.9,-115.9,1.06,1.0,-1.9,-3.6%,40.1%,-43.7%,0.63,-5.6%,-9.0,-0.4,0.96,7.6,201,102,208
St. Louis Cardinals,3.91,109.5,11.3,6187,12.4,113.3,-101.0,1.02,6.8,5.3,6.4%,42.0%,-35.6%,0.62,6.6%,102.2,10.7,0.94,89.8,144,90,202
Washington Nationals,4.15,38.7,4.4,6464,9.2,123.5,-114.4,1.12,2.9,5.3,8.1%,95.9%,-87.7%,1.45,3.6%,45.3,5.2,0.98,26.8,174,99,197
League Average,4.51,5.0,1.0,6399,1.0,111.0,-110.0,1.01,-1.0,3.0,1%,58%,-56%,0.88,2%,-3.0,0.0,0.0,-12.0,152,89,212
,4.51,73.9,16.3,102380,22.8,1776.2,-1753.5,1.01,-18.0,40.5,19.7%,922.2%,-902.5%,0.88,29.5%,-44.8,6.8,0.96,-184.0,2434,1419,3390
