home_moneyline,away_team_abbr,date,home_team_abbr,home_score,away_score
,DET,2012-03-03 13:05:00,ATL,0.0,2.0
,NYY,2012-03-03 13:05:00,PHI,5.0,8.0
,PIT,2012-03-03 13:05:00,TOR,7.0,1.0
,TB,2012-03-03 13:05:00,MIN,7.0,3.0
,WAS,2012-03-03 13:05:00,HOU,3.0,1.0
,ARI,2012-03-03 15:05:00,SF,6.0,9.0
,CLE,2012-03-03 15:05:00,CIN,6.0,6.0
,OAK,2012-03-03 15:05:00,SEA,2.0,9.0
,ARI,2012-03-03 15:10:00,COL,1.0,1.0
,SEA,2012-03-02 15:05:00,OAK,5.0,8.0
,ATL,2012-03-04 13:05:00,DET,18.0,3.0
,HOU,2012-03-04 13:05:00,WAS,2.0,10.0
,MIN,2012-03-04 13:05:00,TB,3.0,5.0
,PHI,2012-03-04 13:05:00,NYY,7.0,4.0
,TOR,2012-03-04 13:05:00,PIT,5.0,8.0
,MIN,2012-03-04 13:35:00,BOS,8.0,3.0
,KC,2012-03-04 14:05:00,TEX,1.0,6.0
,CIN,2012-03-04 15:05:00,CLE,6.0,8.0
,OAK,2012-03-04 15:05:00,CHC,10.0,12.0
,SD,2012-03-04 15:05:00,SEA,5.0,4.0
,SF,2012-03-04 15:05:00,MIL,1.0,1.0
,SF,2012-03-04 15:10:00,ARI,1.0,11.0
,ATL,2012-03-05 13:05:00,HOU,5.0,10.0
,BAL,2012-03-05 13:05:00,TB,1.0,3.0
,MIA,2012-03-05 13:05:00,STL,3.0,4.0
,NYY,2012-03-05 13:05:00,PHI,9.0,3.0
,TOR,2012-03-05 13:05:00,DET,4.0,2.0
,LAA,2012-03-05 15:05:00,OAK,1.0,9.0
,CLE,2012-03-05 15:05:00,CIN,12.0,7.0
,LAD,2012-03-05 15:05:00,CHW,4.0,6.0
,OAK,2012-03-05 15:05:00,CHC,7.0,8.0
,SEA,2012-03-05 15:05:00,SD,7.0,13.0
,TEX,2012-03-05 15:05:00,KC,7.0,6.0
,ARI,2012-03-05 15:10:00,COL,6.0,5.0
,WAS,2012-03-05 18:10:00,NYM,1.0,3.0
,BOS,2012-03-05 19:05:00,MIN,2.0,10.0
,PIT,2012-03-05 19:05:00,BAL,3.0,10.0
,MIL,2012-03-05 21:35:00,SF,3.0,7.0
,DET,2012-03-06 13:05:00,MIA,1.0,3.0
,MIN,2012-03-06 13:05:00,TB,2.0,3.0
,NYY,2012-03-06 13:05:00,PIT,7.0,4.0
,NYM,2012-03-06 13:05:00,HOU,4.0,1.0
,PHI,2012-03-06 13:05:00,TOR,0.0,7.0
,WAS,2012-03-06 13:05:00,ATL,2.0,5.0
,STL,2012-03-06 13:10:00,NYM,8.0,6.0
,BAL,2012-03-06 13:35:00,BOS,5.0,4.0
,CHW,2012-03-06 15:05:00,LAA,6.0,2.0
,CIN,2012-03-06 15:05:00,SEA,8.0,6.0
,COL,2012-03-06 15:05:00,CHC,11.0,4.0
,KC,2012-03-06 15:05:00,CLE,3.0,2.0
,OAK,2012-03-06 15:05:00,MIL,0.0,6.0
,SD,2012-03-06 15:05:00,KC,7.0,4.0
,SF,2012-03-06 15:05:00,LAD,4.0,8.0
,TEX,2012-03-06 15:10:00,ARI,3.0,16.0
,ATL,2012-03-07 13:05:00,DET,5.0,1.0
,BOS,2012-03-07 13:05:00,TOR,3.0,3.0
,HOU,2012-03-07 13:05:00,PHI,3.0,10.0
,MIN,2012-03-07 13:05:00,BAL,6.0,0.0
,NYM,2012-03-07 13:05:00,MIA,0.0,7.0
,STL,2012-03-07 13:05:00,WAS,3.0,3.0
,TB,2012-03-07 13:05:00,NYY,0.0,4.0
,TOR,2012-03-07 13:05:00,PIT,6.0,8.0
,CHC,2012-03-07 15:05:00,KC,4.0,6.0
,COL,2012-03-07 15:05:00,SF,8.0,6.0
,LAD,2012-03-07 15:05:00,OAK,3.0,3.0
,MIL,2012-03-07 15:05:00,CHW,6.0,10.0
,SD,2012-03-07 15:05:00,CIN,0.0,5.0
,SEA,2012-03-07 15:05:00,LAA,4.0,6.0
,TEX,2012-03-07 15:05:00,SD,2.0,6.0
,CLE,2012-03-07 15:10:00,ARI,2.0,10.0
,ATL,2012-03-08 13:05:00,BAL,2.0,1.0
,BOS,2012-03-08 13:05:00,STL,9.0,3.0
,DET,2012-03-08 13:05:00,TB,1.0,8.0
,HOU,2012-03-08 13:05:00,WAS,8.0,0.0
,NYY,2012-03-08 13:05:00,TOR,6.0,1.0
,PIT,2012-03-08 13:05:00,PHI,5.0,4.0
,TB,2012-03-08 13:05:00,MIN,0.0,1.0
,MIA,2012-03-08 13:10:00,NYM,4.0,5.0
,LAA,2012-03-08 15:05:00,CLE,5.0,6.0
,CHW,2012-03-08 15:05:00,TEX,3.0,6.0
,CIN,2012-03-08 15:05:00,MIL,6.0,8.0
,OAK,2012-03-08 15:05:00,LAD,7.0,2.0
,SEA,2012-03-08 15:05:00,CHC,3.0,10.0
,SF,2012-03-08 15:05:00,SD,2.0,5.0
,KC,2012-03-08 15:10:00,COL,0.0,5.0
,ATL,2012-03-09 13:05:00,NYY,3.0,0.0
,BAL,2012-03-09 13:05:00,TB,3.0,3.0
,NYM,2012-03-09 13:05:00,ATL,3.0,5.0
,PHI,2012-03-09 13:05:00,DET,5.0,7.0
,STL,2012-03-09 13:05:00,MIN,2.0,3.0
,TOR,2012-03-09 13:05:00,HOU,2.0,11.0
,ARI,2012-03-09 15:05:00,SEA,5.0,8.0
,CHC,2012-03-09 15:05:00,CHW,1.0,5.0
,CIN,2012-03-09 15:05:00,SF,6.0,3.0
,CLE,2012-03-09 15:05:00,MIL,12.0,2.0
,KC,2012-03-09 15:05:00,CIN,5.0,1.0
,LAD,2012-03-09 15:05:00,TEX,0.0,9.0
,SD,2012-03-09 15:05:00,LAA,3.0,6.0
,OAK,2012-03-09 15:10:00,COL,4.0,6.0
,PIT,2012-03-09 19:05:00,BOS,4.0,7.0
,WAS,2012-03-09 19:05:00,MIA,3.0,0.0
,BAL,2012-03-10 13:05:00,PHI,0.0,1.0
,HOU,2012-03-10 13:05:00,TOR,5.0,2.0
,MIN,2012-03-10 13:05:00,PIT,2.0,4.0
,NYY,2012-03-10 13:05:00,ATL,3.0,8.0
,NYM,2012-03-10 13:05:00,WAS,8.0,2.0
,STL,2012-03-10 13:05:00,MIA,3.0,1.0
,WAS,2012-03-10 13:05:00,DET,5.0,5.0
,CHC,2012-03-10 15:05:00,MIL,1.0,6.0
,CIN,2012-03-10 15:05:00,OAK,6.0,3.0
,COL,2012-03-10 15:05:00,KC,5.0,2.0
,LAD,2012-03-10 15:05:00,SEA,5.0,5.0
,MIL,2012-03-10 15:05:00,SF,13.0,3.0
,SF,2012-03-10 15:05:00,LAA,9.0,5.0
,TEX,2012-03-10 15:05:00,CHW,3.0,2.0
,SD,2012-03-10 16:05:00,CLE,2.0,5.0
,TB,2012-03-10 19:05:00,BOS,5.0,0.0
,LAD,2012-03-10 21:05:00,CHW,6.0,10.0
,SEA,2012-03-10 21:10:00,ARI,1.0,7.0
,ATL,2012-03-11 13:05:00,TOR,9.0,5.0
,BOS,2012-03-11 13:05:00,BAL,1.0,6.0
,DET,2012-03-11 13:05:00,PHI,4.0,4.0
,NYY,2012-03-11 13:05:00,MIN,5.0,1.0
,PHI,2012-03-11 13:05:00,NYY,3.0,0.0
,PIT,2012-03-11 13:05:00,TB,4.0,3.0
,MIA,2012-03-11 13:10:00,NYM,2.0,4.0
,CHC,2012-03-11 15:05:00,LAD,5.0,0.0
,LAA,2012-03-11 16:05:00,CIN,5.0,4.0
,ARI,2012-03-11 16:05:00,SD,7.0,8.0
,CLE,2012-03-11 16:05:00,LAA,17.0,2.0
,CLE,2012-03-11 16:05:00,TEX,6.0,1.0
,COL,2012-03-11 16:05:00,MIL,5.0,4.0
