"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Inciarte, Ender","542255","575","10.2",34.3,"102.7","82.8","87.5","78.7","434","152","382","75",13.1,"3",0.5,0.4
"Strange-Gordon, Dee","543829","566","2.2",27.7,"104.1","81.6","85.9","79.6","395","122","380","63",11.2,"1",0.2,0.1
"Lindor, Francisco","596019","566","14.6",32.2,"111.7","89.1","92.8","85.4","456","192","401","203",35.9,"40",7.1,5.5
"Betts, Mookie","605141","554","14.3",31.9,"111.7","88.4","92.9","87.4","434","179","396","208",37.9,"25",4.5,3.5
"Cabrera, Melky","466320","554","8.9",33.6,"113.6","88.3","90.9","87.5","420","161","393","194",35.1,"21",3.8,3.2
"Andrus, Elvis","462101","547","7.6",32.5,"108.1","86.5","91.8","82.9","436","160","403","171",31.3,"23",4.2,3.3
"Simmons, Andrelton","592743","530","7.8",31.3,"109.7","86.1","90.8","83.6","438","155","395","151",28.7,"13",2.5,2
"LeMahieu, DJ","518934","527","3.3",31.7,"109.2","89.3","92.5","87.6","433","138","390","218",41.4,"10",1.9,1.5
"Machado, Manny","592518","524","13.6",30.2,"116.3","91.3","96.7","88.6","470","179","406","249",47.5,"55",10.5,8
"Ramírez, José","608070","521","15",35.5,"108.3","88.2","91.9","85.2","440","185","391","180",34.7,"26",5,4
"Longoria, Evan","446334","516","12.7",32.4,"109.9","86.7","92.7","82.4","422","170","394","167",32.4,"27",5.2,4
"Blackmon, Charlie","453568","515","13.4",38.1,"110.8","87.3","91.7","83.1","477","190","411","187",36.4,"45",8.7,6.2
"Altuve, Jose","514888","511","9.7",34.8,"109.1","86.1","91.3","82.2","430","167","393","143",28.1,"34",6.7,5.1
"Canó, Robinson","429664","510","7.5",33.9,"112.7","90.3","94","87.9","443","165","398","224",44,"32",6.3,4.9
"Escobar, Alcides","444876","508","14",34.1,"105.3","84","88.5","80.5","411","172","385","106",21,"11",2.2,1.7
"Arenado, Nolan","571448","507","17.6",37.5,"109.9","88.8","93","84.4","456","207","409","192",37.9,"43",8.5,6.3
"Merrifield, Whit","593160","507","16.4",36.5,"110.5","87.6","92.1","82.8","430","195","396","149",29.6,"26",5.1,4.1
"Abreu, José","547989","506","11.1",34.2,"114.9","90.6","95.5","87.1","454","180","408","228",45.2,"48",9.5,7.1
"Pujols, Albert","405395","504","13.5",31.9,"112.2","88.7","93.3","85.6","459","177","408","197",39.2,"27",5.4,4.2
"Galvis, Freddy","520471","503","15.2",32.8,"106","86.3","90.1","82.9","417","179","387","118",23.5,"12",2.4,1.8
"Phillips, Brandon","408252","502","8.2",31.1,"108.4","84.6","89.2","82.1","434","142","406","124",25.1,"12",2.4,2
"Hosmer, Eric","543333","501","3.9",30.3,"118","89.8","94.2","87.8","458","150","402","196",39.4,"35",7,5.2
"Pillar, Kevin","607680","498","13",33.3,"111.9","86","90.1","84","451","172","402","144",29.1,"17",3.4,2.7
"Jones, Adam","430945","488","11.9",33.6,"110.9","86.9","91.4","83.8","452","167","392","151",31.1,"31",6.4,4.9
"Schoop, Jonathan","570731","487","13",35.3,"116","87.8","92.7","85.3","462","169","402","181",37.2,"34",7,5
"Markakis, Nick","455976","486","8.8",34,"114.4","88.3","91.5","86.5","429","160","391","167",34.7,"16",3.3,2.4
"Cain, Lorenzo","456715","486","10.2",32.1,"112","89.1","92.2","88.2","436","173","399","173",35.6,"17",3.5,2.6
"Rizzo, Anthony","519203","486","15.5",34.2,"113.6","88.4","94.4","82.9","462","186","408","189",39.1,"45",9.3,6.5
"Franco, Maikel","596748","485","11.5",26.6,"113","88.8","93.6","86.8","431","165","391","175",36.2,"29",6,4.7
"Votto, Joey","458015","482","14.1",40.5,"110.9","87.5","92.6","80.4","449","197","398","158",32.8,"44",9.1,6.2
"Gardner, Brett","458731","480","10.3",34.4,"107.9","86.4","90.2","83.7","415","167","387","149",31,"18",3.8,2.6
"Santana, Carlos","467793","479","13",28.4,"112.3","88.6","93.4","85.1","434","173","395","184",38.6,"36",7.5,5.4
"Dozier, Brian","572821","478","16.7",32,"111.8","87.9","94.4","81.5","435","190","395","165",34.7,"40",8.4,5.7
"Castellanos, Nick","592206","477","14.2",42.8,"110.5","89.1","93.2","83.3","448","202","397","200",42,"51",10.7,7.7
"Seager, Kyle","572122","474","21",35.2,"109.1","88.3","92.1","84.5","433","207","396","160",33.9,"41",8.6,6.3
"Gurriel, Yuli","493329","473","10.4",29.2,"114.4","89.9","94.4","87.8","435","170","393","205",43.5,"16",3.4,2.8
"Yelich, Christian","592885","471","4.6",29.5,"112.4","90.6","94.7","88","442","145","397","214",45.8,"33",7,4.8
"Gregorius, Didi","544369","471","17.7",35.5,"106.2","84.5","88.5","82","429","186","377","98",20.9,"17",3.6,3
"Ozuna, Marcell","542303","471","10.2",31,"114.5","90.9","96.8","86.7","468","167","413","214",45.6,"44",9.3,6.5
"Benintendi, Andrew","643217","470","14.7",31.7,"108.5","87.5","91.4","84.9","454","177","398","157",33.4,"26",5.5,4
"Lowrie, Jed","476704","470","18.7",43.2,"106.3","89.1","91.7","86.3","426","202","392","177",37.7,"28",6,4.3
"Panik, Joe","605412","468","11.4",32.9,"108","85","89.9","81.2","426","167","390","111",23.9,"12",2.6,2.1
"Moustakas, Mike","519058","467","18.2",34,"112.9","87.4","92.3","85","440","197","397","157",33.8,"40",8.6,6.7
"Bregman, Alex","608324","467","16.4",34.5,"105.6","87.6","91.8","84.2","430","185","389","159",34.3,"22",4.7,3.5
"Kinsler, Ian","435079","465","19.5",37.2,"105.9","86.3","91.3","81.7","414","198","383","140",30.1,"23",4.9,3.8
"Murphy, Daniel","502517","460","17.3",39.6,"108.4","89.6","92.8","87.1","428","196","389","192",41.8,"22",4.8,3.7
"McCutchen, Andrew","457705","457","14.2",33.7,"109.5","88.4","93.4","83.5","432","183","393","176",38.9,"35",7.7,5.4
"Bogaerts, Xander","593428","457","8.1",26.7,"113.9","87.3","90.8","86.5","437","145","401","138",30.2,"6",1.3,0.9
"Hamilton, Billy","571740","456","10.2",32.2,"103.7","80.5","84.3","78.7","405","148","376","53",11.7,"2",0.4,0.3
"Odor, Rougned","596059","449","15.9",27.2,"112.4","89.1","94.2","85.6","466","180","395","164",36.6,"27",6,4.1
"Rosario, Eddie","592696","448","13.3",32.4,"107.5","87.2","93.2","81.2","445","175","397","142",31.8,"33",7.4,5.6
"Mauer, Joe","408045","445","6.2",35.7,"108.2","90.6","94.8","87.4","413","155","395","206",46.3,"20",4.5,3.4
"Segura, Jean","516416","442","6.7",32.8,"109.1","87.6","90.6","86","428","149","390","152",34.5,"14",3.2,2.5
"Springer, George","543807","441","9.3",31.1,"114.6","89.2","96.1","84.5","473","170","403","189",43.2,"41",9.3,6.5
"Calhoun, Kole","594777","441","12.3",34.9,"110.1","88.3","92","85.6","425","176","397","156",35.5,"25",5.7,3.8
"Dickerson, Corey","572816","438","13.9",35.6,"112.9","87.2","91.1","83.5","449","182","401","138",31.7,"33",7.5,5.3
